WELLNAME = well79
STDEP  =  3940.0000    
ENDEP  =  5121.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, RT, SP

#DEPTH       AC           CAL          GR           RT           SP           
3940.0000    51.7977      23.1980      47.3528      -99999.0000  136.4052     
3940.1250    52.1599      23.2044      44.7749      34.8382      135.9049     
3940.2500    52.5796      23.2096      43.7407      36.0409      135.3427     
3940.3750    53.0002      23.1906      42.0239      36.8000      134.8747     
3940.5000    54.3668      23.1958      37.6462      42.4344      134.4068     
3940.6250    53.7844      23.2010      38.7157      58.7233      133.9391     
3940.7500    52.8142      23.2062      29.4222      105.4052     133.5496     
3940.8750    51.7476      23.2880      18.9632      223.9173     133.0816     
3941.0000    51.0292      23.4215      18.4631      1618.9343    132.6129     
3941.1250    50.3302      23.5539      19.8364      2431.2090    131.9871     
3941.2500    49.7276      23.6599      21.5908      1877.1821    131.3608     
3941.3750    49.0855      23.7923      23.4712      500.6038     130.8127     
3941.5000    48.4636      23.8994      25.3516      225.6357     130.2332     
3941.6250    49.2320      23.9811      26.4976      159.9583     129.4972     
3941.7500    50.7529      24.0629      23.0576      168.3096     128.8868     
3941.8750    52.2353      24.0681      21.5681      208.6334     128.4652     
3942.0000    53.5242      24.0739      20.4084      300.9713     127.9027     
3942.1250    55.6438      24.0042      20.9461      497.7901     127.3865     
3942.2500    57.2034      23.9588      22.1427      573.6503     126.9657     
3942.3750    54.3027      23.9134      23.6444      573.3823     126.4675     
3942.5000    53.1791      23.8437      24.3587      554.6442     126.0154     
3942.6250    53.6378      23.8248      25.3781      449.0608     125.6413     
3942.7500    54.4833      23.9065      25.8144      1103.9834    125.0169     
3942.8750    55.1741      24.0130      22.5511      2314.8440    124.4701     
3943.0000    54.8210      24.1201      18.6299      2505.7842    123.9381     
3943.1250    54.5671      24.2007      18.9926      2350.3066    123.3903     
3943.2500    54.2732      24.2065      24.6739      465.9648     122.8425     
3943.3750    54.1338      24.1363      27.5402      306.3871     122.2634     
3943.5000    54.7083      24.1168      31.6509      211.3098     121.7163     
3943.6250    55.3403      24.1479      33.6072      144.9120     121.0282     
3943.7500    55.0280      24.1537      35.5895      110.4712     120.5121     
3943.8750    54.5219      24.1848      37.9516      87.4291      119.9797     
3944.0000    53.8206      24.2418      39.7307      74.9285      119.2747     
3944.1250    53.6250      24.3224      38.8502      71.1869      118.6956     
3944.2500    53.3119      24.3788      37.8672      74.4169      118.1323     
3944.3750    53.1917      24.4859      36.3553      90.3831      117.4741     
3944.5000    53.1676      24.5671      36.9919      104.4588     116.7687     
3944.6250    53.2605      24.6500      41.5077      90.5318      116.0007     
3944.7500    53.4105      24.6811      45.5171      74.5171      115.4054     
3944.8750    53.7728      24.6604      47.6507      63.0223      114.9048     
3945.0000    54.5604      24.6409      50.0893      56.9924      114.2785     
3945.1250    56.5252      24.6461      51.4626      57.5133      113.5743     
3945.2500    58.4711      24.6012      53.8247      56.4847      112.9480     
3945.3750    60.7257      24.5057      55.7310      58.1354      112.3373     
3945.5000    63.7141      24.3854      57.4088      61.2533      111.5859     
3945.6250    64.8083      24.3147      59.2137      63.8167      111.0064     
