WELLNAME = well95
STDEP  =  3000.0000    
ENDEP  =  4137.0313    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, DEN, GR, RT, SP

#DEPTH       AC           CAL          DEN          GR           RT           SP           
3010.2500    48.0344      22.1988      0.0000       11.1245      757.6978     84.0026      
3010.3750    47.9859      22.1529      0.0000       12.3270      681.4397     84.2211      
3010.5000    47.8888      22.1382      0.0000       13.5295      587.7670     84.3407      
3010.6250    48.0827      22.0921      0.0000       12.4555      497.8666     84.3615      
3010.7500    48.5919      22.0780      0.0000       12.8991      431.4311     84.3625      
3010.8750    49.1010      22.0791      0.0000       11.6986      392.0675     84.3633      
3011.0000    49.4162      22.0807      0.0000       9.8658       365.9356     84.3050      
3011.1250    49.4646      22.0823      0.0000       9.2343       360.4310     84.2270      
3011.2500    49.2948      22.1310      0.0000       9.9310       384.3854     84.0901      
3011.3750    49.0522      22.1956      0.0000       11.0070      414.2391     84.0513      
3011.5000    48.9067      22.2600      0.0000       12.0198      450.2051     83.9931      
3011.6250    48.8096      22.2773      0.0000       11.7046      511.4053     83.9151      
3011.7500    48.9066      22.3268      0.0000       9.4292       586.4677     83.8368      
3011.8750    49.0762      22.3436      0.0000       10.2523      669.2589     83.8181      
3012.0000    49.2700      22.3448      0.0000       9.8736       724.4073     83.8193      
3012.1250    49.3185      22.3464      0.0000       9.5584       625.8971     83.7609      
3012.2500    49.3426      22.3003      0.0000       10.6980      533.4457     83.7422      
3012.3750    49.3910      22.2861      0.0000       11.8372      478.6138     83.7433      
3012.5000    49.4152      22.2874      0.0000       10.8896      444.5172     83.7441      
3012.6250    49.3909      22.2892      0.0000       11.1435      478.5737     83.7456      
3012.7500    49.3423      22.2901      0.0000       10.8915      552.8316     83.7464      
3012.8750    49.2695      22.2448      0.0000       11.4616      660.7322     83.8064      
3013.0000    49.1240      22.2301      0.0000       13.1071      839.0739     83.8275      
3013.1250    48.9542      22.2313      0.0000       14.0565      955.7206     83.8286      
3013.2500    48.7118      22.2326      0.0000       11.4646      871.0804     83.8294      
3013.3750    48.3481      22.2339      0.0000       11.0231      779.3864     83.8304      
3013.5000    48.0087      22.2829      0.0000       12.1624      668.2358     83.8906      
3013.6250    47.5239      22.3002      0.0000       12.6694      597.0334     83.9116      
3013.7500    47.3057      22.3494      0.0000       11.7848      599.8623     83.9718      
3013.8750    47.2814      22.3662      0.0000       12.2918      656.4947     83.9928      
3014.0000    47.1117      22.3674      0.0000       13.5577      783.9056     83.9937      
3014.1250    46.7239      22.3687      0.0000       15.2033      1351.7305    84.0539      
3014.2500    46.4330      22.3705      0.0000       15.7101      2579.5630    84.1339      
3014.3750    46.2875      22.3724      0.0000       15.1420      3454.1382    84.2144      
3014.5000    46.3360      22.3734      0.0000       16.0917      4941.0469    84.2942      
3014.6250    46.6510      22.3745      0.0000       16.2192      5845.1211    84.3148      
3014.7500    47.0387      22.3763      0.0000       13.8800      6258.8750    84.3157      
3014.8750    47.2568      22.4247      0.0000       14.0075      5514.3740    84.3762      
3015.0000    47.1841      22.4425      0.0000       13.3761      4475.3711    84.3970      
3015.1250    47.1598      22.4910      0.0000       12.6813      1678.8673    84.3981      
3015.2500    47.4505      22.5079      0.0000       14.8961      1012.2476    84.4586      
3015.3750    48.0563      22.5570      0.0000       13.3160      608.0160     84.4793      
3015.5000    49.0498      22.6214      0.0000       12.0519      440.5678     84.4806      
3015.6250    49.7524      22.6861      0.0000       12.0529      376.2408     84.4813      
3015.7500    49.3162      22.7511      0.0000       13.3189      345.8216     84.4821      
3015.8750    48.5165      22.7680      0.0000       14.5849      343.0376     84.4831      
3016.0000    48.0803      22.7693      0.0000       13.7006      368.4170     84.4249      
3016.1250    48.5890      22.6759      0.0000       12.6893      430.5048     84.4657      
3016.2500    49.0978      22.5507      0.0000       14.9674      531.5049     84.4862      
3016.3750    48.5162      22.4732      0.0000       14.2096      702.7855     84.4871      
3016.5000    47.5228      22.5538      0.0000       12.5659      1306.0505    84.4881      
3016.6250    46.2629      22.7291      0.0000       13.6422      1726.2988    84.5484      
3016.7500    45.1968      22.9203      0.0000       15.8570      2407.0540    84.5692      
3016.8750    44.9303      23.0639      0.0000       13.2646      3105.6118    84.6295      
3017.0000    45.3906      23.0496      0.0000       9.8499       3151.6084    84.7100      
3017.1250    46.0205      22.9402      0.0000       11.1161      2851.5933    84.7309      
3017.2500    45.8993      22.7678      0.0000       14.3430      2439.1594    84.7908      
3017.3750    45.3664      22.5794      0.0000       15.5459      2044.0875    84.8708      
3017.5000    44.9303      22.4386      0.0000       12.6372      1609.4290    84.8917      
3017.6250    44.9545      22.2190      0.0000       13.7135      1125.0051    84.9520      
3017.7500    45.4148      22.1093      0.0000       13.7777      1156.6931    84.9734      
3017.8750    45.5843      22.0474      0.0000       11.3118      1494.1514    85.0336      
3018.0000    46.2626      22.0332      0.0000       12.7044      2326.6741    85.0539      
3018.1250    46.6986      22.0818      0.0000       11.1241      4249.7646    85.0554      
3018.2500    45.8507      22.1463      0.0000       10.2394      6917.9531    85.0563      
3018.3750    44.9545      22.2586      0.0000       10.8097      7625.1533    85.1165      
3018.5000    44.0825      22.3866      0.0000       12.0126      7190.8589    85.1378      
3018.6250    44.0583      22.5620      0.0000       12.3300      7369.8008    85.1386      
3018.7500    44.0341      22.7058      0.0000       12.5208      7456.4697    85.1985      
3018.8750    44.0099      22.8336      0.0000       14.6725      7193.8794    85.2197      
3019.0000    44.0583      22.8666      0.0000       14.2307      6257.9893    85.2205      
3019.1250    44.3006      22.9154      0.0000       12.5237      5142.8994    85.2214      
3019.2500    44.5428      22.9329      0.0000       11.5757      3041.6021    85.2226      
3019.3750    44.8576      22.8868      0.0000       10.4381      2358.6951    85.2237      
3019.5000    45.0271      22.7773      0.0000       12.0838      1873.9407    85.2244      
3019.6250    44.9545      22.7001      0.0000       11.3259      1710.2161    85.2255      
3019.7500    44.9060      22.6380      0.0000       12.6553      1651.1071    85.2267      
3019.8750    45.0998      22.5765      0.0000       14.0481      1757.1610    85.2274      
3020.0000    45.3419      22.5617      0.0000       12.4675      1890.6576    85.1696      
3020.1250    45.4872      22.5160      0.0000       11.7725      2054.9148    85.1508      
3020.2500    45.3903      22.5015      0.0000       10.3817      2251.5591    85.2107      
3020.3750    45.1724      22.4556      0.0000       10.4460      2657.8408    85.2321      
3020.5000    45.0755      22.4410      0.0000       11.3960      3053.1445    85.1738      
3020.6250    45.0271      22.4426      0.0000       12.6625      2701.1895    85.1546      
3020.7500    45.2450      22.4438      0.0000       14.1816      2610.9446    85.2154      
3020.8750    45.6082      22.4451      0.0000       13.1071      2751.9229    85.2360      
3021.0000    45.8261      22.4466      0.0000       15.3224      2826.7705    85.2370      
3021.1250    45.7777      22.4478      0.0000       14.7540      2897.0371    85.2382      
3021.2500    45.6566      22.4494      0.0000       9.8836       2835.7539    85.2388      
3021.3750    45.5840      22.4511      0.0000       10.6438      2386.1875    85.2398      
3021.5000    45.6566      22.4523      0.0000       9.7590       1994.1467    85.3007      
3021.6250    45.9471      22.4537      0.0000       11.3416      1584.0983    85.3210      
3021.7500    46.2618      22.4548      0.0000       12.4183      1393.5929    85.3218      
3021.8750    46.5039      22.5037      0.0000       11.7232      1272.0894    85.3827      
3022.0000    46.7460      22.5686      0.0000       13.7489      1184.6549    85.4625      
3022.1250    46.7943      22.6331      0.0000       14.6989      1153.2166    85.4834      
3022.2500    46.4796      22.7926      0.0000       15.6490      1247.2783    85.4841      
3022.3750    46.2375      22.9365      0.0000       14.5744      1328.6270    85.5444      
3022.5000    46.2374      22.9694      0.0000       15.1450      1458.8071    85.5653      
3022.6250    46.4795      22.8759      0.0000       16.7908      1583.2079    85.6261      
3022.7500    46.7700      22.7508      0.0000       15.1469      1715.8826    85.6466      
3022.8750    47.0604      22.6260      0.0000       13.2498      1594.5642    85.6475      
3023.0000    47.1572      22.5480      0.0000       11.5426      1514.3624    85.6485      
3023.1250    47.1571      22.4860      0.0000       10.6577      1448.8074    85.6495      
3023.2500    47.0603      22.4243      0.0000       9.1401       1268.3247    85.6506      
3023.3750    46.9634      22.4098      0.0000       8.9512       991.1864     85.7109      
3023.5000    46.8666      22.3638      0.0000       8.2562       810.0170     85.7317      
3023.6250    46.8181      22.3023      0.0000       8.5103       824.3202     85.7332      
3023.7500    46.7697      22.2878      0.0000       9.8401       859.8223     85.7934      
3023.8750    46.7696      22.2417      0.0000       11.1698      918.1263     85.8140      
3024.0000    46.8180      22.2274      0.0000       13.2589      1270.3350    85.8151      
3024.1250    46.8180      22.2763      0.0000       12.3107      1918.9260    85.8755      
3024.2500    46.9632      22.3413      0.0000       12.3117      2546.7378    85.8967      
3024.3750    47.0599      22.3584      0.0000       11.6800      3347.6934    85.8970      
3024.5000    46.8663      22.3593      0.0000       12.6301      2916.8958    86.0169      
3024.6250    46.7210      22.4080      0.0000       12.6312      2539.7195    86.0572      
3024.7500    46.7210      22.4258      0.0000       12.4423      2417.2368    86.1767      
3024.8750    46.7210      22.4745      0.0000       10.4817      2300.3633    86.2767      
3025.0000    46.7209      22.5391      0.0000       11.7482      1842.2340    86.4168      
