WELLNAME = well84
STDEP  =  3500.0000    
ENDEP  =  4555.9242    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, RT, SP

#DEPTH       AC           CAL          GR           RT           SP           
3500.0000    49.6517      27.8355      27.1863      1525.8712    306.6373     
3500.1250    49.9179      27.7689      28.1893      2310.8401    306.7719     
3500.2500    50.5445      28.3123      30.6729      3048.1160    306.6967     
3500.3750    50.4459      28.8872      29.0222      4013.1514    306.5816     
3500.5000    50.2265      29.4306      27.0537      3906.3794    306.5059     
3500.6250    50.1036      30.2283      27.1841      3814.7000    306.4308     
3500.7500    50.1020      30.8353      25.7881      3855.4319    306.3544     
3500.8750    50.1485      29.9795      24.5826      3788.5667    306.2396     
3501.0000    50.1950      30.6817      24.9038      4032.9023    306.1638     
3501.1250    50.2416      31.0023      25.2885      4477.5117    306.0494     
3501.2500    50.4331      30.8779      24.8465      4849.4658    305.9738     
3501.3750    50.7212      31.5802      23.7046      3934.6316    305.8579     
3501.5000    51.0580      32.6323      23.5806      3141.8472    305.7437     
3501.6250    51.4426      32.5397      25.6831      2281.7012    305.5891     
3501.7500    51.5132      33.0827      25.1133      1620.4457    305.4736     
3501.8750    51.4146      33.5624      23.8443      1687.7589    305.3983     
3502.0000    51.2194      32.6431      22.8299      2485.7178    305.3629     
3502.1250    51.0001      31.2467      20.9888      4554.7119    305.2872     
3502.2500    50.4906      30.0727      20.6105      7079.6123    305.2512     
3502.3750    49.7879      28.9943      18.1967      7171.4106    305.2560     
3502.5000    49.6655      28.7109      18.0728      7231.2139    305.2594     
3502.6250    50.1230      29.3498      16.6769      7394.9609    305.3435     
3502.7500    50.5076      30.5289      19.0967      7386.9326    305.3073     
3502.8750    50.2399      32.1214      19.4176      7379.0356    305.2728     
3503.0000    50.1414      32.0604      19.9295      7636.4922    305.2357     
3503.1250    50.2362      33.3032      21.1410      7789.7095    305.2004     
3503.2500    50.3793      33.8783      20.7626      7665.0972    305.2443     
3503.3750    50.4018      32.5138      19.3032      6618.0405    305.2889     
3503.5000    50.1823      31.7214      17.2076      5268.4565    305.3320     
3503.6250    50.0838      32.9960      18.2283      4646.0493    305.4560     
3503.7500    50.2271      34.1434      19.8213      4968.6045    305.4995     
3503.8750    50.0794      33.0969      21.0963      5786.0161    305.5426     
3504.0000    49.8366      32.2730      21.0995      7741.9795    305.5480     
