WELLNAME = well77
STDEP  =  3300.0000    
ENDEP  =  3942.0375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR, GR, K, PE, R1, RM, RT, RXO, SGR, SONPHI, SP, TH, TM, U, VSH1

#DEPTH       AC           CAL          CGR          GR           K            PE           R1           RM           RT           RXO          SGR          SONPHI       SP           TH           TM           U            VSH1         
3304.0000    50.2967      21.1360      0.0000       56.0222      0.0000       0.0000       32.1000      0.0000       9727.8818    483.4355     0.0000       0.0000       -17.9729     0.0000       0.0000       0.0000       0.0000       
3304.1250    50.4505      21.0866      0.0000       58.0432      0.0000       0.0000       31.9111      0.0000       10422.5596   510.7718     0.0000       0.0000       -19.4082     0.0000       0.0000       0.0000       0.0000       
3304.2500    50.0846      21.0624      0.0000       59.9127      0.0000       0.0000       31.7348      0.0000       10182.6572   554.4375     0.0000       0.0000       -21.3170     0.0000       0.0000       0.0000       0.0000       
3304.3750    49.8343      21.0634      0.0000       58.5245      0.0000       0.0000       31.9122      0.0000       10022.7100   617.7469     0.0000       0.0000       -25.0093     0.0000       0.0000       0.0000       0.0000       
3304.5000    49.6995      21.0643      0.0000       57.3130      0.0000       0.0000       32.1779      0.0000       9874.4902    704.5094     0.0000       0.0000       -29.4433     0.0000       0.0000       0.0000       0.0000       
3304.6250    49.8340      21.1154      0.0000       56.4299      0.0000       0.0000       32.4057      0.0000       9764.7783    793.0422     0.0000       0.0000       -32.9461     0.0000       0.0000       0.0000       0.0000       
3304.7500    50.0263      21.2171      0.0000       57.3902      0.0000       0.0000       32.4567      0.0000       9930.1025    806.4724     0.0000       0.0000       -40.3789     0.0000       0.0000       0.0000       0.0000       
3304.8750    50.2956      21.3437      0.0000       58.6535      0.0000       0.0000       32.3815      0.0000       10060.6143   848.1115     0.0000       0.0000       -47.8432     0.0000       0.0000       0.0000       0.0000       
3305.0000    50.3724      21.4953      0.0000       61.2553      0.0000       0.0000       32.3062      0.0000       10250.0049   938.8107     0.0000       0.0000       -50.8881     0.0000       0.0000       0.0000       0.0000       
3305.1250    50.1221      21.6220      0.0000       64.5388      0.0000       0.0000       32.2815      0.0000       10423.5205   987.2805     0.0000       0.0000       -52.3232     0.0000       0.0000       0.0000       0.0000       
3305.2500    49.8717      21.6732      0.0000       66.5850      0.0000       0.0000       32.4083      0.0000       10570.3838   1047.9745    0.0000       0.0000       -51.7695     0.0000       0.0000       0.0000       0.0000       
3305.3750    49.8523      21.5736      0.0000       67.6715      0.0000       0.0000       32.4088      0.0000       10639.6768   1145.0074    0.0000       0.0000       -49.1167     0.0000       0.0000       0.0000       0.0000       
3305.5000    49.9676      21.5495      0.0000       64.3893      0.0000       0.0000       32.2830      0.0000       10629.8916   1108.2821    0.0000       0.0000       -41.3029     0.0000       0.0000       0.0000       0.0000       
3305.6250    50.0445      21.5503      0.0000       62.3193      0.0000       0.0000       32.1320      0.0000       10570.7441   1026.7621    0.0000       0.0000       -31.7847     0.0000       0.0000       0.0000       0.0000       
3305.7500    49.8711      21.6015      0.0000       62.0675      0.0000       0.0000       32.0316      0.0000       10472.8145   1014.4153    0.0000       0.0000       -26.3385     0.0000       0.0000       0.0000       0.0000       
3305.8750    49.6400      21.6779      0.0000       60.8308      0.0000       0.0000       32.0068      0.0000       10385.4570   1051.9806    0.0000       0.0000       -23.5278     0.0000       0.0000       0.0000       0.0000       
3306.0000    49.4475      21.7542      0.0000       59.6699      0.0000       0.0000       32.0452      0.0000       10270.0908   1056.9114    0.0000       0.0000       -22.7218     0.0000       0.0000       0.0000       0.0000       
3306.1250    49.3896      21.8305      0.0000       57.6252      0.0000       0.0000       32.1594      0.0000       10146.5430   955.7311     0.0000       0.0000       -23.3680     0.0000       0.0000       0.0000       0.0000       
3306.2500    49.7935      21.9068      0.0000       59.0905      0.0000       0.0000       32.2862      0.0000       10043.1768   879.6757     0.0000       0.0000       -23.6826     0.0000       0.0000       0.0000       0.0000       
3306.3750    50.1205      21.8825      0.0000       61.6163      0.0000       0.0000       32.4130      0.0000       9940.8477    797.6915     0.0000       0.0000       -22.8134     0.0000       0.0000       0.0000       0.0000       
3306.5000    50.3705      21.8332      0.0000       58.8646      0.0000       0.0000       32.5145      0.0000       9821.2607    709.9894     0.0000       0.0000       -21.1552     0.0000       0.0000       0.0000       0.0000       
3306.6250    50.2934      21.8341      0.0000       55.6331      0.0000       0.0000       32.4140      0.0000       9721.2139    610.5126     0.0000       0.0000       -19.3391     0.0000       0.0000       0.0000       0.0000       
3306.7500    50.1970      21.8351      0.0000       51.8967      0.0000       0.0000       32.2126      0.0000       9667.1270    530.8782     0.0000       0.0000       -17.4757     0.0000       0.0000       0.0000       0.0000       
3306.8750    50.1391      21.8863      0.0000       49.4986      0.0000       0.0000       32.0489      0.0000       9703.3516    498.2899     0.0000       0.0000       -15.5967     0.0000       0.0000       0.0000       0.0000       
3307.0000    50.0620      21.9122      0.0000       49.5246      0.0000       0.0000       31.8853      0.0000       9776.0693    477.8352     0.0000       0.0000       -13.3073     0.0000       0.0000       0.0000       0.0000       
3307.1250    49.9656      21.9888      0.0000       52.3029      0.0000       0.0000       31.7217      0.0000       9840.1660    459.0760     0.0000       0.0000       -9.7869      0.0000       0.0000       0.0000       0.0000       
3307.2500    49.8885      22.0146      0.0000       54.7529      0.0000       0.0000       31.9369      0.0000       9895.4482    488.6613     0.0000       0.0000       -5.1145      0.0000       0.0000       0.0000       0.0000       
3307.3750    49.8306      22.1162      0.0000       52.6578      0.0000       0.0000       32.1015      0.0000       9923.2744    516.2917     0.0000       0.0000       -0.6157      0.0000       0.0000       0.0000       0.0000       
3307.5000    49.7728      22.1926      0.0000       54.6786      0.0000       0.0000       32.2535      0.0000       9951.1836    541.9375     0.0000       0.0000       3.2991       0.0000       0.0000       0.0000       0.0000       
3307.6250    49.8496      22.2435      0.0000       57.6588      0.0000       0.0000       32.2793      0.0000       9969.8516    578.4781     0.0000       0.0000       7.0876       0.0000       0.0000       0.0000       0.0000       
3307.7500    50.2535      22.2947      0.0000       59.8311      0.0000       0.0000       32.1283      0.0000       9979.2588    626.1740     0.0000       0.0000       11.7125      0.0000       0.0000       0.0000       0.0000       
3307.8750    50.5227      22.3710      0.0000       58.3421      0.0000       0.0000       32.1415      0.0000       9997.9854    711.4579     0.0000       0.0000       18.8150      0.0000       0.0000       0.0000       0.0000       
3308.0000    50.1955      22.3972      0.0000       57.9388      0.0000       0.0000       32.3314      0.0000       9914.6055    919.2901     0.0000       0.0000       26.5960      0.0000       0.0000       0.0000       0.0000       
3308.1250    50.0221      22.3730      0.0000       59.4796      0.0000       0.0000       32.4708      0.0000       9410.5850    2099.1001    0.0000       0.0000       33.3511      0.0000       0.0000       0.0000       0.0000       
3308.2500    50.1567      22.2984      0.0000       62.3840      0.0000       0.0000       32.5723      0.0000       7964.8726    3010.6653    0.0000       0.0000       37.8969      0.0000       0.0000       0.0000       0.0000       
3308.3750    51.0223      22.2240      0.0000       65.2631      0.0000       0.0000       32.4466      0.0000       6204.7207    2340.9797    0.0000       0.0000       38.6551      0.0000       0.0000       0.0000       0.0000       
3308.5000    52.2343      22.1495      0.0000       67.4352      0.0000       0.0000       32.2451      0.0000       3078.8467    1815.1781    0.0000       0.0000       37.4408      0.0000       0.0000       0.0000       0.0000       
3308.6250    53.6194      22.1251      0.0000       69.5821      0.0000       0.0000       32.0941      0.0000       2922.3411    1624.6743    0.0000       0.0000       35.7530      0.0000       0.0000       0.0000       0.0000       
3308.7500    53.4845      22.0758      0.0000       71.9309      0.0000       0.0000       32.1326      0.0000       3139.7844    1582.8569    0.0000       0.0000       33.4340      0.0000       0.0000       0.0000       0.0000       
3308.8750    51.8490      22.1020      0.0000       74.0019      0.0000       0.0000       32.1710      0.0000       3709.7795    1708.5769    0.0000       0.0000       30.9257      0.0000       0.0000       0.0000       0.0000       
3309.0000    51.0985      22.1531      0.0000       68.9275      0.0000       0.0000       32.1209      0.0000       5116.5444    1884.2360    0.0000       0.0000       28.7330      0.0000       0.0000       0.0000       0.0000       
3309.1250    50.9444      22.2042      0.0000       64.6106      0.0000       0.0000       31.9826      0.0000       9109.4658    2024.4368    0.0000       0.0000       26.2563      0.0000       0.0000       0.0000       0.0000       
3309.2500    51.2521      22.2051      0.0000       61.4553      0.0000       0.0000       31.7433      0.0000       9888.0850    1641.5463    0.0000       0.0000       22.4699      0.0000       0.0000       0.0000       0.0000       
3309.3750    51.6752      22.2312      0.0000       59.3856      0.0000       0.0000       31.4029      0.0000       10206.4990   1142.4363    0.0000       0.0000       14.7384      0.0000       0.0000       0.0000       0.0000       
3309.5000    51.7712      22.2320      0.0000       59.4873      0.0000       0.0000       30.9743      0.0000       10379.2666   895.8041     0.0000       0.0000       4.8609       0.0000       0.0000       0.0000       0.0000       
3309.6250    51.4440      22.2078      0.0000       58.0236      0.0000       0.0000       31.6060      0.0000       10457.0381   848.6881     0.0000       0.0000       -10.3027     0.0000       0.0000       0.0000       0.0000       
3309.7500    51.2899      22.1838      0.0000       56.0550      0.0000       0.0000       31.6822      0.0000       10515.8389   932.4606     0.0000       0.0000       -23.6989     0.0000       0.0000       0.0000       0.0000       
3309.8750    51.1935      22.1344      0.0000       53.3541      0.0000       0.0000       31.0518      0.0000       10545.4033   1017.8410    0.0000       0.0000       -27.2641     0.0000       0.0000       0.0000       0.0000       
3310.0000    51.0587      22.0850      0.0000       53.1276      0.0000       0.0000       31.4939      0.0000       10565.1514   1054.5455    0.0000       0.0000       -28.5096     0.0000       0.0000       0.0000       0.0000       
3310.1250    50.9046      22.0608      0.0000       54.9967      0.0000       0.0000       32.1509      0.0000       10584.9941   996.2936     0.0000       0.0000       -29.2343     0.0000       0.0000       0.0000       0.0000       
3310.2500    51.0968      22.0366      0.0000       57.4211      0.0000       0.0000       32.5554      0.0000       10604.8516   965.2390     0.0000       0.0000       -29.7538     0.0000       0.0000       0.0000       0.0000       
3310.3750    51.5199      22.0375      0.0000       60.8302      0.0000       0.0000       32.4423      0.0000       10614.8701   991.6979     0.0000       0.0000       -30.0525     0.0000       0.0000       0.0000       0.0000       
3310.5000    51.7698      22.0384      0.0000       63.7343      0.0000       0.0000       32.2156      0.0000       10634.7949   1005.6722    0.0000       0.0000       -29.9251     0.0000       0.0000       0.0000       0.0000       
3310.6250    51.3464      22.0394      0.0000       63.1543      0.0000       0.0000       32.1151      0.0000       10634.9229   1080.5002    0.0000       0.0000       -29.2929     0.0000       0.0000       0.0000       0.0000       
3310.7500    50.7307      22.0405      0.0000       63.5085      0.0000       0.0000       32.2167      0.0000       10635.0283   1233.3840    0.0000       0.0000       -28.0452     0.0000       0.0000       0.0000       0.0000       
3310.8750    50.7113      22.0163      0.0000       65.6551      0.0000       0.0000       32.2929      0.0000       10615.3594   1122.6196    0.0000       0.0000       -25.9612     0.0000       0.0000       0.0000       0.0000       
3311.0000    50.9035      22.0420      0.0000       64.1157      0.0000       0.0000       32.3439      0.0000       10566.1484   1022.7538    0.0000       0.0000       -22.6938     0.0000       0.0000       0.0000       0.0000       
3311.1250    50.7110      22.0178      0.0000       62.2987      0.0000       0.0000       32.3445      0.0000       10507.3438   957.2953     0.0000       0.0000       -17.3594     0.0000       0.0000       0.0000       0.0000       
3311.2500    50.4030      22.0188      0.0000       62.2993      0.0000       0.0000       32.2945      0.0000       10439.1426   936.1407     0.0000       0.0000       -11.6936     0.0000       0.0000       0.0000       0.0000       
3311.3750    50.2874      22.0196      0.0000       61.4416      0.0000       0.0000       32.2445      0.0000       10390.7490   948.4502     0.0000       0.0000       -8.8051      0.0000       0.0000       0.0000       0.0000       
3311.5000    50.4027      21.9955      0.0000       57.4787      0.0000       0.0000       32.1567      0.0000       10361.8457   930.0879     0.0000       0.0000       -10.6343     0.0000       0.0000       0.0000       0.0000       
3311.6250    50.5757      21.9713      0.0000       54.8286      0.0000       0.0000       32.0310      0.0000       10342.6934   896.9098     0.0000       0.0000       -15.0197     0.0000       0.0000       0.0000       0.0000       
3311.7500    50.8064      21.8716      0.0000       58.0860      0.0000       0.0000       31.8800      0.0000       10313.9355   818.6488     0.0000       0.0000       -18.0955     0.0000       0.0000       0.0000       0.0000       
