WELLNAME = well92
STDEP  =  3000.0000    
ENDEP  =  4553.7051    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, RT, SP

#DEPTH       AC           CAL          GR           RT           SP           
3000.0000    -99999.0000  23.7679      72.7368      -99999.0000  74.8783      
3000.1250    -99999.0000  23.7749      70.4808      -99999.0000  74.6673      
3000.2500    -99999.0000  23.7741      68.5544      -99999.0000  74.2938      
3000.3750    -99999.0000  23.7733      64.5249      -99999.0000  74.0631      
3000.5000    -99999.0000  23.7726      60.1407      -99999.0000  73.9199      
3000.6250    -99999.0000  23.7720      57.3021      -99999.0000  73.7449      
3000.7500    -99999.0000  23.7711      54.8942      -99999.0000  73.5300      
3000.8750    -99999.0000  23.7705      52.1823      -99999.0000  73.3072      
3001.0000    -99999.0000  23.7698      48.8624      -99999.0000  73.1559      
3001.1250    -99999.0000  23.8069      45.7957      -99999.0000  72.9570      
3001.2500    -99999.0000  23.8062      42.6023      -99999.0000  72.7579      
3001.3750    -99999.0000  23.8182      40.0170      -99999.0000  72.5668      
3001.5000    -99999.0000  23.8173      38.3695      -99999.0000  72.4473      
3001.6250    -99999.0000  23.8167      36.9244      -99999.0000  72.2801      
3001.7500    -99999.0000  23.8034      35.4541      -99999.0000  72.0889      
3001.8750    -99999.0000  23.7773      33.8063      -99999.0000  71.8979      
3002.0000    -99999.0000  23.7637      32.2093      -99999.0000  71.7307      
3002.1250    -99999.0000  23.7504      30.7642      -99999.0000  71.5000      
3002.2500    -99999.0000  23.7371      28.7871      -99999.0000  71.3408      
3002.3750    -99999.0000  23.6984      27.6208      -99999.0000  71.1658      
3002.5000    -99999.0000  23.6851      25.8718      -99999.0000  71.0224      
3002.6250    -99999.0000  23.6841      24.2746      -99999.0000  70.7758      
3002.7500    -99999.0000  23.6582      23.0324      -99999.0000  70.5849      
3002.8750    -99999.0000  23.6320      22.2462      -99999.0000  70.3542      
3003.0000    -99999.0000  23.6187      21.6880      -99999.0000  70.1235      
3003.1250    -99999.0000  23.6053      21.1550      -99999.0000  69.9484      
3003.2500    -99999.0000  23.6298      20.8756      -99999.0000  69.7654      
3003.3750    -99999.0000  23.6417      20.9762      -99999.0000  69.5507      
3003.5000    -99999.0000  23.6664      21.2034      -99999.0000  69.3754      
3003.6250    -99999.0000  23.6783      21.5068      -99999.0000  69.1684      
3003.7500    -99999.0000  23.6903      21.9368      -99999.0000  69.0647      
3003.8750    -99999.0000  23.7402      22.4934      -99999.0000  68.9529      
3004.0000    -99999.0000  23.7648      22.0873      -99999.0000  68.8251      
3004.1250    -99999.0000  23.8274      20.5662      -99999.0000  68.7214      
3004.2500    -99999.0000  23.8647      18.7412      -99999.0000  68.6254      
3004.3750    -99999.0000  23.9020      16.9414      -99999.0000  68.5054      
3004.5000    -99999.0000  23.9393      15.5470      -99999.0000  68.4254      
3004.6250    -99999.0000  23.9639      16.0783      -99999.0000  68.3133      
3004.7500    -99999.0000  24.0391      17.1417      -99999.0000  68.2334      
3004.8750    -99999.0000  24.0638      18.3318      -99999.0000  68.1214      
3005.0000    -99999.0000  24.1011      19.3446      -99999.0000  68.0651      
3005.1250    -99999.0000  24.1510      20.4840      -99999.0000  67.9611      
3005.2500    -99999.0000  24.2010      21.3702      -99999.0000  67.8811      
3005.3750    -99999.0000  24.2383      22.5856      -99999.0000  67.7927      
3005.5000    -99999.0000  24.3135      23.3198      -99999.0000  67.7446      
3005.6250    -99999.0000  24.3634      24.3832      -99999.0000  67.6405      
3005.7500    -99999.0000  24.4007      25.2440      -99999.0000  67.5843      
3005.8750    -99999.0000  24.3999      26.1554      -99999.0000  67.5281      
3006.0000    -99999.0000  24.3993      25.2931      -99999.0000  67.4637      
3006.1250    -99999.0000  24.3859      24.6336      -99999.0000  67.3755      
3006.2500    -99999.0000  24.3471      25.4690      -99999.0000  67.3272      
3006.3750    -99999.0000  24.3084      26.5324      -99999.0000  67.2708      
3006.5000    -99999.0000  24.2696      24.1245      -99999.0000  67.2063      
3006.6250    -99999.0000  24.2181      24.6558      -99999.0000  67.1659      
3006.7500    -99999.0000  24.1414      23.8189      -99999.0000  67.0857      
3006.8750    -99999.0000  24.0647      22.6526      -99999.0000  66.9896      
3007.0000    -99999.0000  24.0005      21.4356      -99999.0000  66.8936      
3007.1250    -99999.0000  23.9112      20.2946      -99999.0000  66.7977      
