WELLNAME = well94
STDEP  =  3100.0000    
ENDEP  =  3829.1688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, RT, SP

#DEPTH       AC           CAL          GR           RT           SP           
3100.0000    51.1035      21.8627      26.1230      6143.9424    77.8687      
3100.1250    50.6586      21.8058      27.9734      5838.4419    77.9335      
3100.2500    50.3417      21.8186      29.2942      4271.4961    77.9976      
3100.3750    51.3619      21.8439      28.2743      5350.7500    78.0933      
3100.5000    52.5250      21.9325      27.6994      6988.2876    78.1571      
3100.6250    53.0853      22.0592      30.5909      5813.1533    78.1577      
3100.7500    53.0466      22.2363      32.6719      2405.5081    78.0953      
3100.8750    54.0049      22.4386      32.8166      407.2330     78.2229      
3101.0000    53.8619      22.6282      31.0767      243.0498     78.3504      
3101.1250    53.3981      22.6023      34.1924      265.9627     78.5096      
3101.2500    52.8223      22.5267      32.9756      292.6508     78.6687      
3101.3750    53.7227      22.5142      34.4224      275.6681     78.8278      
3101.5000    54.5302      22.5014      32.9954      187.1980     78.9237      
3101.6250    54.2597      22.4762      30.5112      145.8356     79.0828      
3101.7500    52.5131      22.4509      28.9659      143.1606     79.2737      
3101.8750    51.2688      22.4258      28.7706      190.2455     79.4328      
3102.0000    53.4095      22.4384      31.0524      313.7247     79.5285      
3102.1250    52.9882      22.4384      30.2830      582.9139     79.4975      
3102.2500    52.4743      22.4385      29.1555      557.5049     79.5934      
3102.3750    51.8947      22.4385      32.4681      804.2657     79.7527      
3102.5000    52.1651      22.4005      29.7773      1167.7728    79.9117      
3102.6250    52.7215      22.3752      29.1265      1528.9039    80.0390      
3102.7500    52.0569      22.3499      30.3186      3516.7803    80.0398      
3102.8750    51.4038      22.2994      30.1415      4199.2607    80.1038      
3103.0000    51.7979      22.2488      31.8440      4844.6943    80.1678      
3103.1250    51.5545      22.1983      32.2644      5830.8999    80.2003      
3103.2500    51.4231      22.1730      29.5276      5914.1860    80.2327      
3103.3750    52.1958      22.1225      27.7062      5755.0386    80.2012      
3103.5000    51.7707      22.0972      28.9787      6019.0649    80.1070      
3103.6250    51.7591      22.0466      30.4236      6474.8936    80.1077      
3103.7500    52.7366      22.0088      31.9158      7326.2417    80.0449      
3103.8750    52.9105      22.0089      30.8016      5418.8696    80.0136      
3104.0000    52.1918      22.0469      29.9908      3172.7908    79.9192      
3104.1250    51.5388      22.0467      31.0376      2207.4780    79.8566      
3104.2500    51.6006      21.9962      33.1134      1969.0795    79.8574      
3104.3750    52.4892      21.9202      31.1131      1730.5135    79.9214      
3104.5000    52.9760      21.8445      31.9946      1872.4486    79.8898      
3104.6250    52.6630      21.7940      29.8882      2014.3405    79.6688      
3104.7500    52.2882      21.7054      28.4514      1851.3074    79.5427      
3104.8750    52.6436      21.6423      29.0314      1032.8141    79.4800      
3105.0000    52.2649      21.6045      28.2954      706.6395     79.4172      
3105.1250    51.8940      21.5792      28.4524      777.2505     79.3864      
3105.2500    51.7394      21.5793      29.8471      832.3850     79.4187      
3105.3750    51.7394      21.5920      31.3979      1741.5585    79.4193      
3105.5000    51.2448      21.6426      31.4157      3899.0195    79.4200      
3105.6250    51.4843      21.7060      31.3724      6366.9883    79.4205      
3105.7500    52.4115      21.8072      34.4452      4145.9160    79.3898      
3105.8750    53.4624      21.8705      37.2841      1757.3611    79.4219      
3106.0000    54.2582      21.9081      39.5943      741.5558     79.4228      
3106.1250    54.1925      21.9462      42.8749      298.6901     79.5505      
3106.2500    54.0147      21.9715      44.1050      104.7682     79.7732      
3106.3750    54.1460      22.0094      44.9970      30.4548      80.0275      
3106.5000    54.7680      22.0474      44.5789      63.0866      80.2503      
3106.6250    53.8292      22.1106      39.7614      312.7320     80.5997      
3106.7500    52.9560      22.1233      40.7604      794.5379     80.8855      
3106.8750    52.3456      22.1106      39.2838      3031.6670    81.1080      
3107.0000    52.2837      22.1359      37.5049      3838.3130    81.2991      
3107.1250    53.2959      22.1107      36.8786      1530.2625    81.4900      
3107.2500    52.9481      22.1107      35.7606      896.2711     81.7762      
3107.3750    52.5154      22.0980      35.0800      689.9940     82.1258      
3107.5000    52.5038      22.1107      34.9997      499.4762     82.5386      
3107.6250    52.4960      22.1361      30.9729      518.7929     82.9513      
3107.7500    52.9210      22.1233      32.6004      575.8552     83.2057      
3107.8750    52.6350      22.1108      32.8974      666.2228     83.5552      
3108.0000    52.0633      22.1108      32.9042      1061.2305    83.9362      
3108.1250    51.5610      22.0854      34.4010      1327.4562    84.1903      
3108.2500    50.8888      22.0603      35.7199      891.3268     84.3810      
3108.3750    52.1173      22.0351      36.1458      873.8386     84.5086      
3108.5000    53.5427      22.0098      34.3703      979.6755     84.6681      
3108.6250    54.2766      22.0098      36.1296      944.7057     84.9859      
3108.7500    55.0762      22.0351      38.5424      290.1243     85.3037      
3108.8750    56.2660      22.0352      41.6841      179.1075     85.6531      
3109.0000    54.3229      22.0477      38.8099      122.7826     86.0025      
3109.1250    52.4145      22.0352      38.7871      123.8101     86.3201      
3109.2500    51.0779      22.0100      37.0322      170.6414     86.6062      
3109.3750    51.7462      22.0100      36.2794      299.9132     86.8922      
3109.5000    53.5076      21.9973      33.8468      538.9540     87.1782      
3109.6250    53.4960      21.9975      32.3974      681.2184     87.4638      
3109.7500    53.7625      22.0101      32.6602      440.3591     87.4927      
3109.8750    53.3993      22.0101      33.5711      300.6351     87.8074      
3110.0000    52.8430      22.0101      35.1386      204.9655     87.5255      
3110.1250    52.6846      22.0482      32.7030      221.9468     87.6533      
3110.2500    53.1481      22.0607      33.1620      273.8256     87.9394      
3110.3750    52.4876      22.0607      32.1020      444.5584     88.2572      
3110.5000    51.6764      22.0227      33.3962      377.4702     88.5749      
3110.6250    54.1639      22.0102      34.4053      248.4923     88.8926      
3110.7500    55.6626      22.0103      33.1178      210.5600     89.1469      
3110.8750    56.8059      22.0230      32.2247      291.5417     89.3695      
3111.0000    57.1960      22.0609      32.4361      412.5146     89.5288      
3111.1250    56.7286      22.0609      34.7591      1170.0140    89.6880      
3111.2500    56.6551      22.0356      33.2753      2750.7612    89.7838      
3111.3750    57.9799      22.0609      35.7621      5005.4873    89.9431      
3111.5000    59.1966      22.0990      38.5077      4203.2534    90.0389      
3111.6250    60.3823      22.1496      45.4808      3020.4541    90.1664      
3111.7500    60.8998      22.2002      47.8613      1589.9993    90.2307      
3111.8750    60.0655      22.2761      50.8823      400.5395     90.3582      
3112.0000    58.0299      22.3774      42.4935      87.9233      90.5172      
3112.1250    56.1526      22.4784      37.4254      39.2645      90.5816      
3112.2500    54.5767      22.5668      33.2932      67.7985      90.7091      
3112.3750    52.2785      22.5413      30.8080      136.2366     90.8368      
3112.5000    51.6797      22.4528      29.5234      1502.0221    90.9961      
3112.6250    52.3788      22.3391      29.3689      793.4946     91.1553      
3112.7500    52.4020      22.2888      30.0805      587.7616     91.2510      
3112.8750    51.8882      22.2888      29.0659      461.9844     91.4103      
3113.0000    51.5676      22.2888      30.6940      408.5991     91.5697      
3113.1250    51.4015      22.2508      32.3639      425.3839     91.8240      
3113.2500    52.2589      22.2003      30.3576      357.4647     92.0148      
3113.3750    53.4485      22.1878      28.5882      387.5206     92.1423      
3113.5000    52.3631      22.2005      28.2541      428.7480     92.2701      
3113.6250    51.1310      22.2764      27.1939      469.6417     92.4929      
3113.7500    49.6827      22.3525      25.7430      587.8277     92.7155      
3113.8750    50.4281      22.3901      26.9907      768.6661     92.8429      
3114.0000    51.1580      22.4282      24.7540      738.2060     93.0339      
3114.1250    51.5442      22.4660      22.6040      318.6899     93.1932      
3114.2500    52.0269      22.4660      23.3156      266.1949     93.4161      
3114.3750    51.7952      22.4788      22.3205      350.9197     93.7338      
3114.5000    50.8180      22.5294      21.9926      613.3334     93.9563      
3114.6250    50.2078      22.6307      20.2488      1365.5057    94.1156      
3114.7500    50.3854      22.7062      22.2785      2044.4233    94.3065      
3114.8750    51.0613      22.5924      23.3986      5062.9512    94.4658      
3115.0000    50.7484      22.5293      25.9600      5460.7920    94.6568      
3115.1250    49.7636      22.4660      27.9629      3564.4243    94.8477      
3115.2500    49.5511      22.4029      30.0499      2435.2017    94.9435      
3115.3750    50.6479      22.3904      28.6227      1886.8054    95.0712      
3115.5000    50.9491      22.4410      29.8182      1065.6697    95.2940      
3115.6250    50.8835      22.4790      29.3978      991.0674     95.5484      
3115.7500    50.3852      22.4916      26.7865      1255.3169    95.7711      
3115.8750    50.4625      22.5169      26.9022      1644.0677    95.9939      
3116.0000    50.7946      22.4916      28.8046      2423.4917    96.1846      
3116.1250    51.5901      22.4156      29.4103      5935.4136    96.3121      
3116.2500    52.1500      22.3651      31.6235      2190.9990    96.4715      
3116.3750    52.4242      22.2895      34.0579      1179.4225    96.6625      
3116.5000    53.1849      22.2895      36.3920      120.9832     96.9167      
3116.6250    54.4014      22.2895      38.2953      67.2802      97.0760      
3116.7500    55.4633      22.3023      38.2439      52.7849      97.2034      
3116.8750    54.5480      22.3403      39.7923      44.2486      97.2993      
3117.0000    53.8528      22.4289      38.5210      35.8952      97.4269      
3117.1250    53.3238      22.4919      36.2283      29.0790      97.5544      
3117.2500    52.6286      22.4791      33.3978      21.7566      97.6184      
3117.3750    51.9489      22.4033      30.9331      17.5410      97.6510      
3117.5000    51.0839      22.3781      28.9605      96.2834      97.7787      
3117.6250    49.8674      22.3528      26.5424      727.7698     97.9696      
3117.7500    48.9290      22.3023      24.5691      1580.3867    98.0972      
3117.8750    50.5161      22.2137      24.8556      962.7938     98.2565      
3118.0000    51.3734      22.1507      24.0184      430.2067     98.4155      
3118.1250    51.9835      22.1129      26.0982      163.7409     98.5114      
3118.2500    52.0337      22.0621      26.4212      169.5027     98.5756      
3118.3750    50.8327      22.0118      24.8050      402.1023     98.6714      
3118.5000    50.1183      21.9991      26.5827      1223.4487    98.7672      
3118.6250    49.5661      21.9866      27.8757      2768.7534    98.7997      
3118.7500    49.1451      21.9866      28.5086      5215.9102    98.8640      
3118.8750    48.8053      21.9994      29.0688      5272.9790    99.0549      
3119.0000    48.6547      22.0119      27.5969      5267.5532    99.1508      
3119.1250    49.4231      22.0119      28.9957      5438.1309    99.2783      
3119.2500    49.7629      22.0247      30.6950      5861.3921    99.4058      
3119.3750    50.1104      22.0880      32.2428      4823.8677    99.4381      
3119.5000    50.6162      22.1386      31.9099      2974.5950    99.5025      
3119.6250    50.2030      22.1765      32.0395      1687.0151    99.5349      
3119.7500    49.3497      22.1637      33.2047      952.4097     99.5353      
3119.8750    48.8361      22.1510      33.6147      851.2466     99.5363      
3120.0000    48.7781      22.1385      33.3286      971.1653     99.6003      
3120.1250    49.5967      22.1385      31.7088      2902.3848    99.6644      
3120.2500    49.9481      22.1133      30.7704      4068.8225    99.6969      
3120.3750    50.7164      22.0498      29.6271      4925.3037    99.7613      
3120.5000    50.1488      21.9236      29.7100      5410.1968    99.9204      
3120.6250    49.5735      21.7843      30.6951      5399.0815    100.0479     
3120.7500    48.9904      21.6960      29.2748      5360.8994    100.0804     
3120.8750    48.8514      21.6331      29.0032      5338.9092    100.1764     
3121.0000    49.8283      21.5446      31.0585      5389.5288    100.3990     
3121.1250    50.4344      21.5321      30.1398      5465.5703    100.5585     
3121.2500    50.6892      21.5956      28.6750      5891.1670    100.7811     
3121.3750    50.8591      21.8233      30.6529      6643.1709    100.9721     
3121.5000    51.2529      22.0761      32.0176      2142.7317    101.1631     
3121.6250    51.6930      22.2907      31.4182      1264.1121    101.3540     
3121.7500    52.3417      22.4677      34.4625      366.4158     101.4815     
3121.8750    52.9864      22.4545      36.7697      165.1655     101.6408     
3122.0000    52.3416      22.3662      39.5667      141.3217     101.7683     
3122.1250    51.3995      22.2906      36.7700      155.4910     101.8641     
3122.2500    50.5694      22.2779      37.1444      213.4211     101.9599     
3122.3750    49.6582      22.2654      35.2164      990.8127     102.0560     
3122.5000    48.6775      22.2907      34.9703      2073.9194    102.2470     
