WELLNAME = well131
STDEP  =  2500.0000    
ENDEP  =  3961.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, RT, SP

#DEPTH       AC           CAL          GR           RT           SP           
2500.0000    49.3702      23.8940      35.3715      137.5635     28.7315      
2500.1250    48.8928      23.8603      37.3832      160.9944     28.4926      
2500.2500    48.6075      23.7948      39.2697      139.2836     28.4506      
2500.3750    49.7634      23.7298      41.1562      116.2783     28.6054      
2500.5000    50.7271      23.6964      43.5464      99.4513      28.9572      
2500.6250    51.7388      23.6629      46.0622      81.3441      29.3878      
2500.7500    53.1351      23.5980      48.3264      63.0166      29.5819      
2500.8750    54.6271      23.5326      50.5909      55.1344      29.5399      
2501.0000    55.6386      23.4674      47.5622      50.2026      29.4194      
2501.1250    56.1218      23.4338      48.5657      47.4617      29.2197      
2501.2500    56.5570      23.4316      49.8225      44.5618      28.9807      
2501.3750    57.1842      23.3982      47.6759      41.6449      28.7420      
2501.5000    57.9555      23.3332      48.9314      38.4680      28.5030      
2501.6250    59.8315      23.2681      48.1715      35.2869      28.2640      
2501.7500    61.7554      23.2026      44.3866      32.4430      28.0646      
2501.8750    63.4872      23.1689      41.4838      29.2146      27.8650      
2502.0000    64.9310      23.1357      43.1175      30.4069      27.7049      
2502.1250    62.8202      23.1023      44.7519      38.4355      27.6234      
2502.2500    60.0375      23.1631      42.2272      49.9876      27.5420      
2502.3750    57.7829      23.2870      41.8449      61.5141      27.5393      
2502.5000    56.8732      23.4740      43.8570      69.9010      27.6155      
2502.6250    58.6529      23.6924      41.2051      76.3371      27.6917      
2502.7500    61.2009      23.8478      42.2103      78.6509      27.7679      
2502.8750    62.1585      23.9087      43.5927      79.5619      27.8441      
2503.0000    60.9663      23.9066      44.8487      83.9256      27.9593      
2503.1250    59.8166      23.8730      47.4901      86.8856      28.0748      
2503.2500    59.0991      23.7763      46.3525      87.6816      28.1511      
2503.3750    59.4860      23.6481      44.8360      83.3020      28.2272      
2503.5000    60.7980      23.5516      42.4373      76.9383      28.2247      
2503.6250    62.2285      23.5181      40.0386      69.9697      28.0251      
2503.7500    61.9641      23.5159      37.6395      65.6422      27.5893      
2503.8750    61.2257      23.5452      35.9970      63.0900      27.0353      
2504.0000    60.0759      23.5746      34.3545      78.8144      26.6389      
2504.1250    58.9263      23.5725      32.7124      91.5856      26.4395      
2504.2500    57.8531      23.5705      30.6901      107.5820     26.2793      
2504.3750    56.9635      23.6313      31.3176      128.6433     26.1585      
2504.5000    56.0544      23.6922      32.8257      153.9280     26.1953      
2504.6250    55.3846      23.7217      34.4597      181.9141     26.3501      
2504.7500    54.2838      23.7826      34.7079      209.0778     26.5838      
2504.8750    53.7100      23.8436      34.3256      234.2877     26.8174      
2505.0000    52.8491      23.8730      35.5816      266.8376     26.9329      
2505.1250    52.2756      23.8392      34.5692      273.6328     26.9697      
2505.2500    52.5186      23.7426      36.4553      278.1055     26.9278      
2505.3750    53.4339      23.6147      38.0893      291.9628     26.8071      
2505.5000    52.8121      23.5181      39.8494      283.2214     26.6469      
2505.6250    52.0470      23.5160      41.2318      265.9195     26.4474      
2505.7500    51.8579      23.6081      39.8413      265.8486     26.2083      
2505.8750    52.2929      23.7636      37.8207      281.0872     26.0086      
2506.0000    52.0078      23.8876      38.9507      293.0440     25.8092      
2506.1250    51.5790      23.9170      39.3245      306.9521     25.5308      
2506.2500    51.1976      23.8518      35.2876      318.5257     25.1736      
2506.3750    50.8643      23.7553      33.5190      323.6870     24.7771      
2506.5000    50.6276      23.6274      34.5221      321.3734     24.4202      
2506.6250    50.5342      23.4360      35.0228      313.9237     24.0631      
2506.7500    50.5378      23.3079      35.5222      303.7913     23.7060      
2506.8750    50.5401      23.2744      36.0225      292.6388     23.4280      
2507.0000    50.5434      23.2723      36.5228      277.3140     23.1101      
2507.1250    50.6423      23.3017      37.5267      264.0366     22.7920      
2507.2500    50.7409      23.2996      38.7827      249.0609     22.5138      
2507.3750    50.9361      23.2345      39.9126      254.2955     22.1965      
2507.5000    51.1790      23.1377      40.4125      268.8564     21.8788      
2507.6250    51.4696      23.0096      41.2904      284.9066     21.6005      
2507.7500    51.8085      22.9132      43.0496      298.4048     21.3615      
2507.8750    52.1953      22.8795      44.6845      280.9268     21.1620      
2508.0000    52.4861      22.8774      46.3190      245.9471     21.0413      
2508.1250    52.1052      22.8439      47.5750      221.9299     20.9993      
2508.2500    51.8202      22.8102      44.7983      226.6543     20.9968      
2508.3750    51.4875      22.8080      41.5174      267.4632     21.0730      
2508.5000    51.2499      22.8059      41.0091      316.2138     21.3854      
2508.6250    51.0130      22.8038      41.0044      371.1422     21.8947      
2508.7500    50.6332      22.8330      39.1103      419.6526     22.3253      
2508.8750    50.4911      22.8938      36.8376      474.7726     22.5196      
2509.0000    50.3030      22.9547      34.4390      530.8021     22.5563      
2509.1250    50.2571      22.9838      34.5607      601.7917     22.4749      
2509.2500    50.3083      22.9821      35.6907      669.5715     22.2359      
2509.3750    50.3106      22.9803      36.8207      593.4095     21.9182      
2509.5000    50.4096      23.0097      37.8250      499.2955     21.7579      
2509.6250    50.5085      23.0391      38.9550      430.9372     21.8340      
2509.7500    50.6074      23.0368      40.2110      383.5502     22.0679      
2509.8750    50.7066      23.0348      41.8446      346.0932     22.5773      
2510.0000    50.7293      23.0402      40.8835      315.9442     22.6415      
2510.1250    50.8094      23.0596      42.6884      262.1486     22.8432      
2510.2500    50.9894      23.0803      44.1044      231.9312     23.5780      
2510.3750    51.1706      23.0949      42.1181      210.5080     24.0675      
2510.5000    51.4949      23.1409      40.8895      187.9630     24.5590      
2510.6250    51.8204      23.2199      40.0353      169.4793     25.0495      
2510.7500    51.8561      23.2667      42.0803      152.4090     25.5400      
2510.8750    51.8437      23.2829      41.8580      139.6605     26.0306      
2511.0000    52.4566      23.2982      41.1295      128.5476     26.5998      
2511.1250    53.0226      23.3442      43.0488      140.3930     27.1690      
2511.2500    53.0583      23.3941      44.4649      164.2133     27.6605      
2511.3750    52.6612      23.4401      43.8593      183.0055     28.0734      
2511.5000    52.0716      23.4854      42.0045      200.1349     28.3656      
2511.6250    51.3366      23.5008      40.2783      211.3738     28.6194      
2511.7500    50.9875      23.5146      41.6827      201.6275     28.9144      
2511.8750    51.5535      23.5299      43.7280      173.4378     29.2478      
2512.0000    52.7423      23.5760      44.5093      151.7171     29.6598      
2512.1250    53.4526      23.6220      44.6644      131.1987     30.1514      
2512.2500    54.2122      23.6074      45.0712      108.7339     30.6421      
2512.3750    54.7288      23.5913      46.8620      95.9237      31.1318      
2512.5000    54.2836      23.5737      46.8914      88.4906      31.6216      
2512.6250    53.7902      23.4962      46.1658      83.7683      32.0337      
2512.7500    53.5374      23.4180      45.6889      80.4066      32.2894      
2512.8750    53.8136      23.3681      43.7051      77.0148      32.4291      
2513.0000    54.1379      23.3205      44.2377      73.7583      32.5257      
2513.1250    54.4634      23.2737      46.0286      70.4805      32.6214      
2513.2500    54.9319      23.2262      44.6768      67.3488      32.7198      
2513.3750    55.5436      23.1786      45.4611      64.6490      32.7771      
2513.5000    54.5224      23.1617      47.3750      95.1064      32.7548      
2513.6250    53.3076      23.1771      49.4178      150.3470     32.6548      
2513.7500    52.2359      23.1916      45.4175      214.5253     32.5173      
2513.8750    51.4540      23.2062      46.0760      316.3681     32.2628      
2514.0000    50.8644      23.2553      47.6184      449.0519     31.9278      
2514.1250    50.9482      23.3014      46.7639      525.7355     31.7079      
2514.2500    51.6092      23.3459      45.1573      466.4096     31.5282      
2514.3750    51.5006      23.4249      44.8091      363.8486     31.3505      
2514.5000    51.3439      23.5032      46.7261      301.6847     31.3694      
2514.6250    51.8137      23.5500      48.7691      246.5636     31.6242      
2514.7500    52.4266      23.5953      48.7985      206.4857     31.9980      
2514.8750    52.6066      23.6728      43.6650      177.3845     32.4897      
2515.0000    52.4993      23.7211      43.5714      175.5452     33.0976      
2515.1250    52.2945      23.7380      44.4788      202.2296     33.5875      
2515.2500    52.0404      23.7518      45.7667      233.2958     33.8050      
2515.3750    51.8369      23.7334      44.4116      258.1652     33.8632      
2515.5000    51.6789      23.7173      45.4507      279.7563     33.9205      
2515.6250    51.5704      23.7004      44.9707      294.7618     33.9797      
2515.7500    51.4618      23.6843      43.6156      305.5941     34.0370      
2515.8750    51.4025      23.6689      44.1483      318.3541     34.1739      
2516.0000    51.3421      23.6528      45.6880      338.6686     34.3492      
2516.1250    51.3297      23.6674      45.7203      361.0722     34.5629      
