WELLNAME = well118
STDEP  =  3000.0000    
ENDEP  =  4458.8371    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNC, CNL, DEN, GR, RT, SP

#DEPTH       AC           CAL          CNC          CNL          DEN          GR           RT           SP           
3006.6250    48.8405      -99999.0000  -99999.0000  -99999.0000  -99999.0000  18.4250      988.2914     -99999.0000  
3006.7500    49.0816      -99999.0000  -99999.0000  -99999.0000  -99999.0000  17.7148      991.9753     -99999.0000  
3006.8750    48.7343      -99999.0000  -99999.0000  -99999.0000  -99999.0000  16.6236      997.5344     -99999.0000  
3007.0000    48.4448      -99999.0000  -99999.0000  -99999.0000  -99999.0000  15.8370      1004.0571    -99999.0000  
3007.1250    48.5798      -99999.0000  -99999.0000  -99999.0000  -99999.0000  14.7459      1011.5657    -99999.0000  
3007.2500    48.9271      -99999.0000  -99999.0000  -99999.0000  -99999.0000  13.7817      1017.2325    -99999.0000  
3007.3750    48.8113      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.6144      1019.1246    -99999.0000  
3007.5000    48.3482      -99999.0000  -99999.0000  -99999.0000  -99999.0000  13.3262      1011.5710    -99999.0000  
3007.6250    47.9622      -99999.0000  -99999.0000  -99999.0000  -99999.0000  14.0633      988.2754     -99999.0000  
3007.7500    47.8078      -99999.0000  -99999.0000  -99999.0000  -99999.0000  15.1308      976.3433     -99999.0000  
3007.8750    47.6727      -99999.0000  -99999.0000  -99999.0000  -99999.0000  15.4357      1002.1852    -99999.0000  
3008.0000    47.1903      -99999.0000  -99999.0000  -99999.0000  -99999.0000  16.0966      1041.1848    -99999.0000  
3008.1250    46.7658      -99999.0000  -99999.0000  -99999.0000  -99999.0000  16.6812      1081.7629    -99999.0000  
3008.2500    47.4990      -99999.0000  -99999.0000  -99999.0000  -99999.0000  17.1387      1123.8821    -99999.0000  
3008.3750    48.4057      -99999.0000  -99999.0000  -99999.0000  -99999.0000  17.6726      1164.3665    -99999.0000  
3008.5000    48.1838      -99999.0000  -99999.0000  -99999.0000  -99999.0000  17.1909      1204.1313    -99999.0000  
3008.6250    47.9715      -99999.0000  -99999.0000  -99999.0000  -99999.0000  16.4806      1244.0214    -99999.0000  
3008.7500    47.8943      -99999.0000  -99999.0000  -99999.0000  -99999.0000  15.8974      1231.6619    -99999.0000  
3008.8750    47.9039      -99999.0000  -99999.0000  -99999.0000  -99999.0000  15.4411      1087.8303    -99999.0000  
3009.0000    47.5083      -99999.0000  -99999.0000  -99999.0000  -99999.0000  14.8578      914.1324     -99999.0000  
3009.1250    46.9294      -99999.0000  -99999.0000  -99999.0000  -99999.0000  14.2746      707.2809     -99999.0000  
3009.2500    46.5532      -99999.0000  -99999.0000  -99999.0000  -99999.0000  13.7167      463.5696     -99999.0000  
