WELLNAME = well98
STDEP  =  2800.0000    
ENDEP  =  3837.9984    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, RT, SP

#DEPTH       AC           CAL          GR           RT           SP           
2811.7500    48.8082      23.0216      24.3624      773.9687     147.4043     
2811.8750    48.8079      23.0198      23.9822      627.7770     147.4650     
2812.0000    48.5775      23.0427      23.2241      543.6796     147.5018     
2812.1250    48.3183      23.0660      22.0625      516.8719     147.5074     
2812.2500    48.1359      23.0640      22.1866      588.7000     147.5286     
2812.3750    48.0685      23.0620      22.7645      850.7648     147.5339     
2812.5000    48.1067      23.0600      22.1323      1004.7849    147.5081     
2812.6250    48.2407      23.0329      21.5757      861.7074     147.4505     
2812.7500    48.3652      23.0060      21.5989      742.0863     147.3610     
2812.8750    48.2115      22.9535      22.0255      685.3512     147.2876     
2813.0000    48.0003      22.9264      22.5532      727.2552     147.1989     
2813.1250    47.8850      22.8991      23.2824      693.4857     147.0785     
2813.2500    47.9135      22.8468      23.9359      716.8226     146.9735     
2813.3750    48.0284      22.8449      23.4550      899.3080     146.8528     
2813.5000    48.1817      22.8177      23.1506      808.3483     146.7482     
2813.6250    48.3637      22.7902      23.4512      630.4969     146.6512     
2813.7500    48.4786      22.7633      23.4997      486.2857     146.5774     
2813.8750    48.5647      22.7363      23.3212      436.8127     146.5352     
2814.0000    48.6124      22.7594      22.4622      457.7441     146.5016     
2814.1250    48.6026      22.7829      21.4518      423.4599     146.4443     
2814.2500    48.5448      22.8061      21.3743      598.1574     146.4263     
2814.3750    48.3528      22.8290      21.9018      856.7001     146.4003     
2814.5000    48.1127      22.8271      21.6982      830.3710     146.3189     
2814.6250    48.0166      22.8503      21.0660      941.3511     146.2694     
2814.7500    47.9684      22.8485      22.2742      3031.5178    146.1880     
2814.8750    47.9586      22.8717      22.0957      5076.4219    146.1384     
2815.0000    48.0063      22.8950      20.8584      3050.1968    146.0810     
2815.1250    48.1308      22.9181      19.2683      1993.5842    145.9918     
2815.2500    48.3896      22.9164      19.3420      1244.4293    145.9418     
2815.3750    48.5045      22.9145      19.1383      1035.6506    145.9316     
2815.5000    48.2645      22.8871      18.2036      913.0695     145.9294     
2815.6250    47.9381      22.9105      18.7060      991.5434     145.9506     
2815.7500    47.8803      22.8580      19.2838      1745.4485    146.0031     
2815.8750    48.0240      22.8308      18.7524      2629.4204    146.0403     
2816.0000    48.2252      22.8037      19.3557      2149.6189    146.0457     
2816.1250    48.3881      22.7513      19.0763      1791.7737    146.0197     
2816.2500    48.4838      22.6987      18.7467      1601.3721    145.9622     
2816.3750    48.5316      22.6966      18.4169      1585.2920    145.9203     
2816.5000    48.4834      22.6697      18.1127      1842.4688    145.8627     
2816.6250    48.3488      22.6676      17.8080      2311.1782    145.7734     
2816.7500    48.1567      22.6657      17.6298      2337.8857    145.6763     
2816.8750    47.9551      22.6637      17.7539      2455.3848    145.5796     
2817.0000    47.9260      22.6618      18.9621      2636.4419    145.4825     
2817.1250    48.0505      22.6347      20.0946      2429.4585    145.3857     
2817.2500    48.1175      22.6073      19.7650      2197.4028    145.2887     
2817.3750    48.0981      22.6057      19.3344      1998.2834    145.1919     
2817.5000    48.0211      22.5532      18.6015      1865.9877    145.0949     
2817.6250    47.9825      22.5259      18.7004      1659.9189    145.0216     
2817.7500    48.0303      22.4989      19.0514      1416.0051    144.9324     
2817.8750    48.1356      22.4716      19.1504      1175.2747    144.8353     
2818.0000    48.2889      22.4695      20.4594      525.8717     144.7385     
2818.1250    48.3942      22.4425      21.1886      535.0170     144.6414     
2818.2500    48.3268      22.4406      20.5564      565.6821     144.5681     
2818.3750    48.1731      22.4135      19.7728      699.3983     144.5026     
2818.5000    47.9714      22.3860      19.1407      1205.3816    144.4843     
2818.6250    47.8944      22.3838      20.0212      4121.8779    144.4585     
2818.7500    48.0285      22.4073      19.8175      3851.5435    144.4717     
2818.8750    48.1530      22.4304      19.3115      2703.7295    144.5006     
2819.0000    48.2391      22.4284      20.3935      1880.3447    144.5298     
2819.1250    48.3061      22.4260      21.6522      1815.8477    144.5824     
2819.2500    48.3155      22.3994      21.0956      1725.9769    144.6433     
2819.3750    48.3152      22.3724      21.7743      1758.4987    144.7039     
2819.5000    48.3054      22.3449      22.5791      1994.5496    144.7882     
2819.6250    48.2188      22.3181      21.3167      2723.4453    144.9040     
2819.7500    48.1323      22.2910      20.8105      2874.4922    145.0038     
2819.8750    48.0073      22.2637      20.5818      2190.6526    145.0960     
2820.0000    47.9111      22.2114      20.0252      1648.9207    145.1880     
2820.1250    47.8341      22.1838      20.0485      1240.8367    145.2800     
2820.2500    47.7475      22.1821      20.6515      1040.9600    145.3723     
2820.3750    47.6801      22.2556      21.2294      1010.2400    145.4645     
2820.5000    47.6511      22.2537      21.8576      1144.3220    145.5565     
2820.6250    47.6317      22.2770      22.2845      1417.3132    145.6251     
2820.7500    47.6411      22.2751      22.8876      1988.0767    145.6855     
2820.8750    47.6696      22.2732      22.4823      2607.2925    145.7461     
2821.0000    47.7270      22.2709      22.0014      2661.7666    145.8303     
2821.1250    47.7843      22.3446      21.5205      2084.7686    145.9224     
2821.2500    47.8609      22.3425      20.8631      1437.9470    145.9673     
2821.3750    47.9566      22.4164      20.3318      1179.8953    146.0199     
2821.5000    48.0524      22.4399      20.6322      1072.0588    146.0568     
2821.6250    48.1432      22.5395      20.2534      1057.8958    145.7811     
2821.7500    48.1654      22.5877      20.3513      1257.3889    145.6831     
2821.8750    48.0970      22.5865      19.7438      1739.1536    145.6329     
2822.0000    48.0190      22.6103      19.2876      2192.5344    145.5674     
2822.1250    47.9600      22.5840      20.2181      2758.0923    145.5021     
2822.2500    47.9685      22.5325      20.6694      2852.4868    145.5077     
2822.3750    47.9962      22.5313      19.9109      2654.4380    145.4893     
2822.5000    48.0237      22.5049      19.2781      2498.6631    145.3847     
2822.6250    48.0129      22.5037      19.5784      2919.3921    145.3035     
2822.7500    47.9829      22.4773      20.1810      3200.2534    145.2379     
2822.8750    47.9336      22.4509      20.7333      3014.2041    145.2200     
2823.0000    47.8844      22.4246      21.3613      3346.6821    145.1939     
2823.1250    47.8352      22.4233      21.9894      4187.1636    145.1836     
2823.2500    47.7763      22.4222      21.7601      3314.7710    145.1340     
2823.3750    47.7656      22.3956      20.8248      2604.7949    145.1156     
2823.5000    47.8028      22.3946      20.2678      2063.6755    145.1130     
2823.6250    47.9169      22.4187      19.9124      1819.3662    145.1109     
2823.7500    47.8869      22.4426      19.1283      1898.2815    145.1088     
2823.8750    47.7992      22.4414      18.7226      2016.7925    145.0827     
2824.0000    47.8557      22.4151      18.4680      2667.2622    145.0722     
2824.1250    47.9409      22.4138      17.7596      4087.8677    145.0699     
2824.2500    48.0262      22.4127      18.4882      4893.6924    145.0677     
2824.3750    48.1114      22.4115      20.2507      3717.3892    145.0417     
2824.5000    48.1582      22.4355      19.3157      2532.7803    145.0078     
2824.6250    48.1282      22.4092      18.3803      1838.4756    144.9977     
2824.7500    48.0597      22.4078      17.6216      1419.3843    144.9952     
2824.8750    47.9529      22.4320      16.9887      1464.1172    145.0164     
2825.0000    47.8556      22.4813      16.3559      1606.9941    145.0455     
2825.1250    47.7776      22.5052      16.4544      3351.8533    145.0512     
2825.2500    47.6899      22.5041      17.7129      5587.2305    145.0720     
2825.3750    47.6214      22.5278      17.7356      4874.6890    145.1014     
2825.5000    47.5915      22.5773      17.0019      4360.7529    145.1779     
2825.6250    47.5903      22.6265      16.2178      4082.0129    145.2464     
2825.7500    47.5698      22.6757      16.1900      3938.5054    145.3306     
2825.8750    47.5879      22.7251      16.7677      3880.6187    145.3755     
2826.0000    47.5866      22.7239      17.4966      3839.6685    145.4046     
2826.1250    47.5951      22.7731      18.0745      3690.2842    145.4811     
2826.2500    47.6130      22.7720      18.7276      3302.0308    145.5260     
2826.3750    47.6503      22.7707      19.3809      2777.0942    145.5788     
2826.5000    47.7259      22.7697      19.9336      1931.4377    145.6396     
2826.6250    47.8304      22.7685      20.4356      1315.2488    145.7950     
2826.7500    47.9829      22.7672      20.9628      851.0956     145.8871     
2826.8750    48.1258      22.7659      21.4397      680.9164     145.9479     
2827.0000    48.0478      22.7648      21.9669      608.7639     145.9846     
