WELLNAME = well123
STDEP  =  3500.0000    
ENDEP  =  4513.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, GR, RT

#DEPTH       AC           CAL          CNL          GR           RT           
3511.7500    47.0070      22.3588      1.3877       24.8004      1022.8942    
3511.8750    46.6179      22.3629      1.3257       20.1478      1144.4167    
3512.0000    46.4708      22.3657      1.2943       19.1069      1144.7435    
3512.1250    46.3714      22.3678      1.2324       19.6816      1199.6791    
3512.2500    46.4657      22.3707      1.2008       22.3474      1399.7745    
3512.3750    46.6079      22.3736      1.1692       21.3065      2339.4624    
3512.5000    46.6547      22.3773      1.1680       18.6496      3511.9470    
3512.6250    46.6040      22.3802      1.1965       20.9344      3595.8643    
3512.7500    46.2151      22.3826      1.1958       23.6948      3112.2666    
3512.8750    45.8750      22.3866      1.2245       21.7986      2783.2253    
3513.0000    45.7277      22.3896      1.2229       22.1836      2420.2520    
3513.1250    45.8703      22.4236      1.2220       21.2368      2046.4541    
3513.2500    46.3024      22.4901      1.2510       22.7623      1971.9716    
3513.3750    46.5414      22.5569      1.2501       26.4726      2009.6432    
3513.5000    46.4906      22.5925      1.2181       23.3410      1763.9468    
3513.6250    46.7296      22.6272      1.2172       25.1510      1592.2109    
3513.7500    47.0163      22.6612      1.1856       25.8212      1404.0883    
3513.8750    47.1112      22.6951      1.1843       23.9245      1273.3186    
3514.0000    47.1087      22.7291      1.1524       24.6888      1322.0933    
3514.1250    47.0580      22.7328      1.1515       23.8380      1807.8230    
3514.2500    46.9588      22.7363      1.1501       21.5616      2910.6499    
3514.3750    46.8598      22.7389      1.1179       18.6205      3998.6023    
3514.5000    46.7611      22.7102      1.1171       16.9134      4934.1733    
3514.6250    46.6616      22.6816      1.1158       19.9589      4958.5146    
3514.7500    46.6116      22.6841      1.1145       23.3851      3837.0881    
3514.8750    46.5609      22.6873      1.1135       25.7650      2605.5420    
3515.0000    46.6065      22.6906      1.1121       24.5340      1942.3445    
3515.1250    46.6043      22.6932      1.1110       25.8689      1942.8948    
3515.2500    46.5044      22.6958      1.0793       28.1542      1846.1128    
3515.3750    46.4549      22.6991      1.0477       27.9686      1620.4619    
3515.5000    46.1628      22.6708      1.0162       24.9315      1518.2985    
3515.6250    46.4017      22.6419      1.0148       22.3700      1345.1792    
3515.7500    46.6407      22.6448      1.0134       22.3745      1137.4662    
3515.8750    46.8314      22.6481      1.0427       23.8995      1327.1669    
3516.0000    46.7804      22.6513      1.1020       24.1891      1892.5657    
3516.1250    46.5851      22.6222      1.1310       24.7637      3345.0667    
3516.2500    46.4863      22.5939      1.1602       25.3380      4070.3123    
3516.3750    46.5800      22.5968      1.2497       27.7183      4090.3940    
3516.5000    46.7707      22.6006      1.3091       26.2027      1586.6519    
3516.6250    46.9618      22.6037      1.3983       24.4960      1233.5736    
3516.7500    46.8143      22.6054      1.4581       23.1704      1205.4398    
3516.8750    46.6668      22.6086      1.5174       24.6946      1145.3966    
3517.0000    46.5678      22.5801      1.4859       24.1288      1048.4941    
3517.1250    46.6144      22.5516      1.4542       24.7985      1229.1040    
3517.2500    46.8531      22.5239      1.3622       24.0427      1288.1134    
3517.3750    47.1406      22.4956      1.1791       22.8117      1099.4606    
3517.5000    47.3795      22.4974      1.0263       24.8119      965.0319     
3517.6250    47.2808      22.5009      0.9644       26.3365      883.3904     
3517.7500    47.0850      22.5044      0.9325       26.1509      970.0236     
3517.8750    46.9863      22.5062      0.9012       23.2092      1202.5665    
3518.0000    46.7905      22.4781      0.8690       21.5985      1667.5114    
3518.1250    46.6915      22.4816      0.8681       20.7476      2377.9180    
3518.2500    46.7376      22.5151      0.8367       22.8420      3060.0767    
