WELLNAME = well97
STDEP  =  3500.0000    
ENDEP  =  4565.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, RT, SP

#DEPTH       AC           CAL          GR           RT           SP           
3500.0000    50.5963      24.3327      29.5171      841.4460     142.3417     
3500.1250    50.4773      24.3315      27.3658      1272.0186    142.2466     
3500.2500    50.2810      24.3112      25.1133      1269.1763    142.1041     
3500.3750    50.1428      24.2657      24.3033      1356.9158    142.0170     
3500.5000    50.0045      24.2327      24.2778      1634.8058    142.0010     
3500.6250    49.8661      24.1872      23.1894      2048.6321    142.0008     
3500.7500    49.7083      24.1542      21.6961      1977.9545    141.9769     
3500.8750    49.6283      24.1465      20.1523      2120.9712    142.0163     
3501.0000    49.7212      24.1450      18.9121      2120.4460    142.0794     
3501.1250    49.8720      24.1629      18.4817      1122.2190    142.1899     
3501.2500    50.0037      24.1869      17.1403      832.9794     142.2451     
3501.3750    50.2320      24.2109      17.8234      823.6249     142.2291     
3501.5000    50.2483      24.2348      18.6330      849.3131     142.1261     
3501.6250    50.1482      24.2398      17.6459      930.9148     141.9994     
3501.7500    49.9908      24.2193      16.4817      2159.8628    141.8964     
3501.8750    49.8523      24.2118      15.9248      2123.4600    141.8251     
3502.0000    49.8108      24.2105      16.3801      2305.0991    141.7142     
3502.1250    50.0965      24.1900      16.7595      2296.8877    141.5163     
3502.2500    50.3247      24.1444      17.1895      2509.0034    141.2710     
3502.3750    50.3020      24.1117      17.8473      2733.0273    141.1127     
3502.5000    50.2023      24.0852      17.0627      2023.5768    141.0334     
3502.6250    50.1410      24.0396      15.8225      1932.8315    140.9463     
3502.7500    50.0793      24.0067      16.4803      1631.4270    140.8275     
3502.8750    50.0765      23.9422      17.2899      1412.6460    140.7720     
3503.0000    50.0347      23.9031      18.1754      1452.6809    140.7164     
3503.1250    50.0318      23.8576      18.3524      1465.4644    140.7004     
3503.2500    50.1056      23.8246      17.5931      1369.2520    140.7003     
3503.3750    50.1202      23.7792      17.3145      1869.3822    140.7713     
3503.5000    50.1374      23.7271      18.1494      1757.4686    140.9134     
3503.6250    50.2686      23.7129      20.6038      1641.1536    141.0477     
3503.7500    50.3429      23.7118      19.6167      1648.6873    141.1978     
3503.8750    50.3396      23.7297      19.0346      1871.8204    141.2609     
3504.0000    50.1244      23.7726      18.7054      1572.3035    141.2686     
3504.1250    49.9860      23.7649      20.1476      1492.7659    141.2684     
3504.2500    49.8669      23.7194      21.7416      1625.8311    141.2682     
3504.3750    49.8636      23.7055      20.8557      1652.1824    141.1969     
3504.5000    49.9568      23.7989      22.8546      1071.1381    141.1492     
3504.6250    50.0308      23.9427      22.0953      1000.6187    141.1649     
3504.7500    50.1047      24.0740      20.7793      852.0077     141.2201     
3504.8750    50.1977      24.1801      21.7406      778.2982     141.2594     
3505.0000    50.4257      24.2418      23.2840      814.1767     141.2909     
3505.1250    50.6732      24.2342      25.1563      714.2985     141.3224     
3505.2500    50.9591      24.2265      26.4213      546.4973     141.3301     
3505.3750    51.0914      24.2251      28.0405      381.1400     141.3300     
