WELLNAME = well119
STDEP  =  3500.0000    
ENDEP  =  4785.1062    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, RT, SP

#DEPTH       AC           CAL          GR           RT           SP           
3500.0000    48.1809      23.2628      29.6119      5802.6538    67.4719      
3500.1250    48.3281      23.2617      31.1031      6064.4634    67.2495      
3500.2500    48.5181      23.2354      29.0535      5450.8804    67.0271      
3500.3750    48.6184      23.2091      30.5700      4937.7275    66.7414      
3500.5000    48.7458      23.1828      32.0359      5616.5083    66.5190      
3500.6250    48.8276      23.1563      29.3541      7423.3462    66.2331      
3500.7500    48.9053      23.1555      28.0380      6047.9893    66.0424      
3500.8750    48.9949      23.1293      27.4806      4702.8013    65.9464      
3501.0000    49.0609      23.0775      28.2130      2752.8315    65.8820      
3501.1250    49.1347      23.0766      29.6538      1678.9604    65.8493      
3501.2500    49.2088      23.0756      29.6021      898.3796     65.8479      
3501.3750    49.2901      23.0743      31.6498      737.6917     65.8469      
3501.5000    49.2908      23.0735      33.4698      795.0885     65.8141      
3501.6250    49.3226      23.0726      32.9377      867.1229     65.8128      
3501.7500    49.3928      23.0966      33.0885      972.9318     65.8118      
3501.8750    49.4588      23.1211      34.6554      1046.2285    65.8418      
3502.0000    49.5409      23.1452      35.7421      917.1080     65.8411      
3502.1250    49.5835      23.1697      37.0816      761.6387     65.9027      
3502.2500    49.6421      23.2190      34.8802      715.8117     65.9336      
3502.3750    49.6929      23.2183      33.0077      688.7971     65.9008      
3502.5000    49.7784      23.2425      32.1468      588.2996     65.8364      
3502.6250    49.7907      23.2666      30.2743      611.0370     65.7405      
3502.7500    49.7798      23.2658      28.1995      598.3805     65.6127      
3502.8750    49.7495      23.2648      29.0328      575.7158     65.3899      
3503.0000    49.6809      23.2889      29.4115      645.4877     65.2309      
3503.1250    49.5504      23.3127      29.1071      710.3040     65.0403      
3503.2500    49.4088      23.3123      26.6275      748.4382     64.6276      
3503.3750    49.2439      23.3870      28.3969      845.4053     64.4689      
3503.5000    49.0871      23.4367      27.6625      1054.0564    64.1198      
3503.6250    48.8872      23.5114      26.1188      1588.1969    63.8343      
3503.7500    48.6681      23.5862      27.1801      2888.1267    63.4853      
3503.8750    48.5462      23.6360      23.8407      6263.9102    63.1997      
3504.0000    48.2695      23.6855      22.3670      6387.0293    62.9771      
3504.1250    48.1276      23.7600      22.9789      6409.2861    62.9129      
3504.2500    47.8981      23.7845      24.5460      6400.7119    62.8485      
3504.3750    47.7096      23.8339      26.0372      6408.7476    62.8474      
3504.5000    47.4986      23.8584      25.3028      6408.3940    62.8778      
3504.6250    47.3734      23.8576      25.4030      6414.0776    63.0979      
3504.7500    47.5591      23.9069      27.2482      6419.7310    63.4444      
3504.8750    47.6404      23.9314      28.3854      6419.4980    63.7910      
3505.0000    47.6872      23.9554      27.3727      6413.1895    64.1376      
3505.1250    47.7382      23.9546      25.7532      6406.9512    64.4210      
3505.2500    47.8043      23.9786      27.1938      6400.6396    64.8306      
3505.3750    47.8126      24.0031      27.0664      6396.7778    65.1457      
3505.5000    47.8251      24.0023      27.5459      6390.4956    65.5238      
3505.6250    47.8643      24.0263      27.0897      6387.9194    65.7757      
3505.7500    47.9690      24.0507      25.7989      6381.6655    66.1539      
3505.8750    48.0817      24.0495      25.5703      6371.7998    66.5951      
3506.0000    48.2290      24.0735      27.2639      6372.8647    66.8786      
3506.1250    48.3335      24.0980      26.5041      6386.7700    67.2251      
3506.2500    48.4188      24.1220      24.6823      6386.5205    67.5086      
3506.3750    48.4389      24.1215      27.3366      6386.2197    67.8864      
3506.5000    48.4741      24.1202      28.8786      6385.9414    68.0754      
3506.6250    48.5367      24.1193      29.4340      6402.4736    68.4219      
3506.7500    48.5952      24.1184      28.5478      6563.7329    68.8313      
3506.8750    48.6922      24.1172      30.3172      6958.0044    69.0519      
3507.0000    48.6731      24.1417      29.1276      6390.5098    69.3983      
3507.1250    48.5508      24.1658      27.4827      4879.6895    69.6499      
3507.2500    48.4552      24.2153      28.0381      4523.5044    69.8387      
3507.3750    48.4140      24.2397      29.0487      5950.0840    70.0588      
3507.5000    48.4458      24.3145      29.9330      6412.0229    70.2156      
3507.6250    48.4926      24.3897      29.5780      6275.6255    70.3093      
3507.7500    48.5820      24.4388      30.0575      6271.7275    70.4030      
3507.8750    48.5244      24.4127      31.0934      6482.4014    70.4334      
3508.0000    48.4598      24.3866      31.8765      6837.1655    70.4007      
3508.1250    48.4495      24.3854      31.0662      7258.1367    70.2731      
3508.2500    48.5314      24.3593      30.6859      7741.8232    70.0822      
3508.3750    48.5385      24.3074      29.2939      5825.3682    69.7649      
3508.5000    48.3315      24.2560      28.3572      5078.6934    69.4793      
3508.6250    48.2717      24.2298      28.1033      4654.2402    69.1303      
3508.7500    48.6628      24.2032      26.3827      3868.6108    68.7492      
3508.8750    48.9698      24.1769      26.6597      3482.3665    68.5905      
3509.0000    48.6847      24.1506      27.4680      2401.1555    68.3998      
3509.1250    48.3622      24.1242      27.9984      2199.2646    68.0187      
3509.2500    48.1203      24.0980      26.9858      2454.9724    67.8914      
3509.3750    48.2740      24.0965      29.2862      3051.6545    67.7638      
3509.5000    48.6854      24.0961      30.4991      2676.1602    67.6677      
3509.6250    48.7351      24.0949      29.4613      2281.3206    67.6036      
3509.7500    48.5819      24.0941      27.9682      2267.4893    67.6025      
3509.8750    48.4403      24.1181      28.3971      2092.2383    67.5696      
3510.0000    48.3489      24.1425      30.7985      1662.7688    67.6001      
3510.1250    48.2804      24.1668      29.3055      1912.1666    67.6622      
3510.2500    48.2307      24.1906      27.5850      2548.0015    67.7873      
3510.3750    48.1896      24.1901      26.6482      2105.7979    67.9126      
3510.5000    48.1786      24.1891      27.0520      2176.0386    68.1956      
3510.6250    48.1525      24.1623      26.5452      2519.0308    68.2896      
3510.7500    48.1534      24.1618      28.6684      4024.6147    68.5413      
3510.8750    48.1851      24.1355      30.0079      6406.6880    68.7614      
3511.0000    48.2050      24.1092      29.9311      6393.4019    69.0131      
3511.1250    48.2443      24.0829      29.6518      6389.5264    69.2648      
3511.2500    48.2644      24.0813      29.8533      6396.4526    69.4533      
3511.3750    48.2918      24.0555      28.9166      6411.7129    69.6102      
3511.5000    48.3120      24.0544      30.6606      6445.0122    69.7040      
3511.6250    48.3010      24.0533      28.6871      6500.2739    69.7029      
3511.7500    48.2942      24.0523      28.7367      6603.7832    69.7015      
3511.8750    48.2949      24.0507      28.9127      6759.3760    69.7003      
3512.0000    48.2530      24.0503      28.4312      6967.1924    69.6993      
3512.1250    48.2194      24.0745      26.4324      7258.4839    69.6664      
3512.2500    48.2397      24.0482      23.9782      3775.2090    69.6971      
3512.3750    48.2402      24.0725      22.0048      4065.8828    69.7590      
3512.5000    48.2410      24.0716      23.4453      4649.9888    69.7896      
3512.6250    48.2613      24.0454      24.5824      5309.2715    69.9148      
3512.7500    48.2619      24.0697      23.5445      6424.2119    70.0400      
3512.8750    48.2747      24.0684      24.9598      6441.6187    70.1339      
3513.0000    48.2826      24.0675      24.0989      6411.3999    70.2588      
3513.1250    48.3026      24.0662      22.4287      6394.4375    70.3527      
3513.2500    48.3033      24.0658      23.2625      6388.2324    70.5092      
3513.3750    48.3042      24.0641      22.1740      6409.4116    70.6348      
3513.5000    48.3047      24.0636      21.9454      6421.0771    70.8549      
3513.6250    48.3057      24.0880      23.7398      6423.1631    71.0752      
3513.7500    48.3063      24.1123      24.6747      6416.8672    71.4531      
3513.8750    48.3072      24.1362      25.1037      6494.5283    71.7051      
3514.0000    48.3079      24.1101      25.1281      6903.7866    72.1149      
3514.1250    48.3280      24.0839      25.3294      5784.7690    72.6194      
3514.2500    48.3595      24.0571      26.6686      2997.9641    73.0609      
3514.3750    48.3990      24.0058      27.4771      2989.2407    73.5339      
3514.5000    48.4188      24.0047      27.5520      4116.9604    73.9753      
3514.6250    48.4388      24.0039      27.4246      4737.6226    74.3534      
3514.7500    48.4473      24.0277      28.9663      6317.9653    74.6368      
3514.8750    48.4480      24.0273      26.7145      6225.8262    74.8570      
3515.0000    48.4254      24.0257      27.6745      6239.6699    75.0770      
3515.1250    48.3916      24.0253      26.2826      6310.8276    75.2971      
3515.2500    48.3733      24.0488      24.5619      6477.3032    75.4223      
3515.3750    48.3506      24.0484      23.5747      6648.8057    75.6106      
3515.5000    48.3170      24.0222      25.3694      6988.1494    75.7361      
3515.6250    48.3176      24.0209      27.7456      7396.6953    75.8928      
3515.7500    48.3068      24.0200      29.0091      4693.7036    76.0809      
3515.8750    48.2499      23.9682      25.8217      4027.2273    76.2066      
3516.0000    48.2432      23.9674      25.9472      4958.3833    76.4266      
3516.1250    48.2436      23.9662      23.8219      6358.6436    76.5206      
3516.2500    48.2444      23.9654      25.7933      6661.1714    76.7407      
3516.3750    48.2837      23.9389      27.2339      7029.2515    76.9291      
3516.5000    48.3347      23.9380      28.3964      6942.5190    77.1175      
3516.6250    48.4357      23.9119      29.1539      4646.4941    77.3376      
3516.7500    48.6291      23.9106      30.1140      2809.1113    77.4946      
3516.8750    48.7880      23.8844      31.6556      2431.0168    77.7145      
3517.0000    48.9427      23.8835      33.1467      2177.6548    77.8400      
3517.1250    48.8617      23.9079      34.7390      1894.0656    78.0601      
3517.2500    48.7931      23.9065      35.6232      2009.3336    78.2170      
3517.3750    48.6976      23.9308      33.2703      1878.3372    78.3423      
3517.5000    48.6757      23.9546      31.7773      1464.1533    78.3727      
3517.6250    48.7072      23.9541      30.5371      1239.2021    78.2449      
