WELLNAME = well60
STDEP  =  3675.0000    
ENDEP  =  4505.8125    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, RT, SP

#DEPTH       AC           CAL          GR           RT           SP           
3675.0000    51.0235      25.9876      34.9805      -99999.0000  156.1831     
3675.1250    50.8100      25.9760      36.3022      -99999.0000  156.3590     
3675.2500    51.1576      25.9640      33.3572      -99999.0000  156.5189     
3675.3750    51.4084      25.9648      31.5804      -99999.0000  156.6788     
3675.5000    51.3689      25.9405      31.1244      -99999.0000  156.8865     
3675.6250    51.0779      25.9162      33.0045      -99999.0000  157.0782     
3675.7500    50.8645      25.9042      34.7831      -99999.0000  157.2381     
3675.8750    50.6315      25.8801      33.7432      -99999.0000  157.4139     
3676.0000    50.3211      25.8684      33.1853      -99999.0000  157.5421     
3676.1250    50.1270      25.8560      32.6020      -99999.0000  157.6228     
3676.2500    50.4552      25.8315      34.2030      -99999.0000  157.5605     
3676.3750    50.8609      25.8200      35.2451      -99999.0000  157.2919     
3676.5000    51.2858      25.8208      35.8555      -99999.0000  156.8487     
3676.6250    51.5754      25.7962      35.7041      -99999.0000  156.3104     
3676.7500    52.0005      25.7592      38.0669      -99999.0000  155.7562     
3676.8750    52.5222      25.7348      40.2772      -99999.0000  155.2019     
3677.0000    52.9665      25.7231      42.2337      -99999.0000  154.6159     
3677.1250    53.4497      25.7240      44.0631      -99999.0000  153.8712     
3677.2500    53.6424      25.7248      43.6323      -99999.0000  153.1265     
3677.3750    52.8676      25.7258      41.6270      -99999.0000  152.3818     
3677.5000    52.1704      25.7271      39.6725      -99999.0000  151.6053     
3677.6250    51.5310      25.7281      37.4134      -99999.0000  150.7335     
3677.7500    50.9111      25.7288      37.5161      -99999.0000  149.6237     
3677.8750    50.4848      25.7297      37.0851      -99999.0000  148.5616     
3678.0000    50.8904      25.7306      34.8769      -99999.0000  147.6740     
3678.1250    51.2766      25.7317      32.8970      -99999.0000  146.8341     
3678.2500    51.6241      25.7453      31.2218      -99999.0000  146.0258     
3678.3750    51.8364      25.7588      31.5784      -99999.0000  145.5191     
3678.5000    52.1259      25.7724      32.7475      -99999.0000  145.4569     
3678.6250    52.3575      25.8116      32.0882      -99999.0000  145.6487     
3678.7500    52.6471      25.8379      33.3082      -99999.0000  145.9833     
3678.8750    52.5495      25.8769      34.0709      -99999.0000  146.3497     
3679.0000    52.3167      25.9159      34.7067      -99999.0000  146.7319     
3679.1250    52.0450      25.9421      32.2952      -99999.0000  147.1617     
3679.2500    51.7734      25.9939      32.5249      -99999.0000  147.6233     
3679.3750    51.4824      26.0076      33.3384      -99999.0000  148.0373     
3679.5000    51.2108      25.9705      34.2536      -99999.0000  148.3559     
3679.6250    50.9198      25.9461      33.3656      -99999.0000  148.7859     
3679.7500    50.6676      25.9469      33.2143      -99999.0000  149.1683     
3679.8750    50.9378      25.9353      34.8914      -99999.0000  149.4393     
3680.0000    51.7110      25.9235      36.6191      -99999.0000  149.6943     
3680.1250    52.1168      25.9117      37.9660      -99999.0000  150.0130     
3680.2500    52.3289      25.8875      39.7446      -99999.0000  150.3475     
3680.3750    52.0378      25.8758      41.6756      -99999.0000  150.6185     
3680.5000    51.7662      25.8638      41.2448      -99999.0000  150.9850     
3680.6250    51.5526      25.8521      40.4079      -99999.0000  151.2718     
3680.7500    51.4554      25.8658      39.5961      -99999.0000  151.5428     
3680.8750    51.7835      25.8793      38.1242      -99999.0000  151.8773     
3681.0000    52.0535      25.8802      35.3064      -99999.0000  152.1960     
3681.1250    52.1498      25.8814      33.6820      -99999.0000  152.4988     
3681.2500    52.3620      25.8951      34.1401      -99999.0000  152.8335     
3681.3750    52.1291      25.9085      33.1253      -99999.0000  153.0886     
3681.5000    51.6445      25.9094      33.0247      -99999.0000  152.6136     
3681.6250    51.2568      25.9103      34.5241      -99999.0000  152.0594     
3681.7500    50.7144      25.9114      35.5661      -99999.0000  152.2353     
3681.8750    50.9458      25.9128      36.2019      -99999.0000  152.7128     
3682.0000    51.7773      25.9135      35.2380      -99999.0000  153.2061     
3682.1250    52.1006      25.9142      36.8643      -99999.0000  153.6676     
3682.2500    52.6446      25.9153      38.0586      -99999.0000  154.1450     
3682.3750    53.1693      25.9164      37.0950      -99999.0000  154.5588     
3682.5000    52.7646      25.9049      37.8576      -99999.0000  154.6552     
3682.6250    52.4759      25.9058      38.5948      -99999.0000  154.2280     
3682.7500    52.6716      25.9192      39.5353      -99999.0000  153.6261     
3682.8750    53.0607      25.9204      40.6538      -99999.0000  153.0877     
3683.0000    53.1593      25.9212      41.3149      -99999.0000  152.5970     
3683.1250    52.5222      25.9343      39.6907      -99999.0000  152.2014     
3683.2500    52.3693      25.9481      38.2949      -99999.0000  151.7585     
3683.3750    52.6809      25.9491      39.0324      -99999.0000  151.3629     
3683.5000    52.9731      25.9628      40.0998      -99999.0000  150.9831     
3683.6250    52.5684      25.9764      40.9388      -99999.0000  150.4449     
3683.7500    52.8994      25.9773      40.4827      -99999.0000  149.8906     
3683.8750    53.0950      25.9783      40.7631      -99999.0000  149.3521     
