WELLNAME = well90
STDEP  =  3000.0000    
ENDEP  =  4255.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR, GR, K, MSFL, PE, R1, RT, RXO, SONPHI, SP, TH, U, VSH1

#DEPTH       AC           CAL          CGR          GR           K            MSFL         PE           R1           RT           RXO          SONPHI       SP           TH           U            VSH1         
3004.5000    61.6248      24.1049      0.0000       51.0361      0.0000       0.0000       0.0000       39.8172      32.0254      37.0496      0.0000       163.6918     0.0000       0.0000       0.0000       
3004.6250    62.0413      24.0421      0.0000       54.3488      0.0000       0.0000       0.0000       36.4530      31.5864      36.4230      0.0000       163.6047     0.0000       0.0000       0.0000       
3004.7500    62.9497      23.9668      0.0000       58.9820      0.0000       0.0000       0.0000       33.2135      30.9253      36.5734      0.0000       163.5566     0.0000       0.0000       0.0000       
3004.8750    64.4448      23.9163      0.0000       63.4159      0.0000       0.0000       0.0000       31.0452      30.1251      36.2051      0.0000       163.6173     0.0000       0.0000       0.0000       
3005.0000    63.8964      23.8658      0.0000       68.7468      0.0000       0.0000       0.0000       29.4126      28.6754      35.7905      0.0000       163.6392     0.0000       0.0000       0.0000       
3005.1250    63.3857      23.7904      0.0000       71.2374      0.0000       0.0000       0.0000       27.9170      28.0653      36.5936      0.0000       163.7076     0.0000       0.0000       0.0000       
3005.2500    62.9886      23.8023      0.0000       73.1550      0.0000       0.0000       0.0000       26.5274      28.7963      38.8064      0.0000       163.7760     0.0000       0.0000       0.0000       
3005.3750    62.7997      23.8515      0.0000       74.2752      0.0000       0.0000       0.0000       24.8511      29.5878      39.9072      0.0000       163.8135     0.0000       0.0000       0.0000       
3005.5000    62.7432      23.8757      0.0000       73.6266      0.0000       0.0000       0.0000       22.4149      30.4992      40.4978      0.0000       163.8900     0.0000       0.0000       0.0000       
3005.6250    62.3272      23.9625      0.0000       73.6257      0.0000       0.0000       0.0000       20.8819      31.3358      40.7770      0.0000       163.9353     0.0000       0.0000       0.0000       
3005.7500    61.5327      24.0990      0.0000       72.9520      0.0000       0.0000       0.0000       19.3489      31.9459      40.5339      0.0000       164.0112     0.0000       0.0000       0.0000       
3005.8750    61.0978      24.2230      0.0000       70.7836      0.0000       0.0000       0.0000       18.0215      32.4482      39.4312      0.0000       164.0331     0.0000       0.0000       0.0000       
3006.0000    60.9088      24.1974      0.0000       68.2411      0.0000       0.0000       0.0000       17.1487      33.0044      38.5337      0.0000       164.0551     0.0000       0.0000       0.0000       
3006.1250    59.1871      24.0723      0.0000       64.6524      0.0000       0.0000       0.0000       16.4814      33.8958      40.4057      0.0000       164.0610     0.0000       0.0000       0.0000       
3006.2500    56.5193      23.9097      0.0000       58.0985      0.0000       0.0000       0.0000       15.8827      35.9874      45.0779      0.0000       164.0596     0.0000       0.0000       0.0000       
3006.3750    52.1862      23.6724      0.0000       52.9649      0.0000       0.0000       0.0000       15.2903      41.7919      57.8013      0.0000       164.0816     0.0000       0.0000       0.0000       
3006.5000    50.1995      23.3604      0.0000       50.2979      0.0000       0.0000       0.0000       14.6729      52.6096      66.0063      0.0000       164.0880     0.0000       0.0000       0.0000       
3006.6250    48.8940      23.2352      0.0000       48.6024      0.0000       0.0000       0.0000       14.1427      74.6152      75.7411      0.0000       164.1095     0.0000       0.0000       0.0000       
3006.7500    48.8185      23.5958      0.0000       46.9072      0.0000       0.0000       0.0000       13.7184      194.9355     277.1902     0.0000       164.0688     0.0000       0.0000       0.0000       
3006.8750    49.2728      23.9192      0.0000       43.8165      0.0000       0.0000       0.0000       13.2753      409.7145     764.1521     0.0000       164.0054     0.0000       0.0000       0.0000       
3007.0000    50.2192      24.0680      0.0000       40.4767      0.0000       0.0000       0.0000       13.5736      338.1003     290.6168     0.0000       163.9417     0.0000       0.0000       0.0000       
3007.1250    51.3358      24.0923      0.0000       36.6634      0.0000       0.0000       0.0000       14.0713      216.0522     179.5598     0.0000       163.9244     0.0000       0.0000       0.0000       
3007.2500    52.0551      24.0791      0.0000       32.5758      0.0000       0.0000       0.0000       14.6686      158.5194     143.5934     0.0000       163.8762     0.0000       0.0000       0.0000       
3007.3750    52.2067      24.0662      0.0000       30.8556      0.0000       0.0000       0.0000       15.2970      136.2006     132.4800     0.0000       163.8356     0.0000       0.0000       0.0000       
3007.5000    51.8473      23.9783      0.0000       28.9111      0.0000       0.0000       0.0000       16.0064      140.4504     149.2551     0.0000       163.8264     0.0000       0.0000       0.0000       
3007.6250    51.2041      23.8530      0.0000       28.7354      0.0000       0.0000       0.0000       16.7345      201.5099     189.8337     0.0000       163.8250     0.0000       0.0000       0.0000       
3007.7500    50.7312      23.7778      0.0000       29.4321      0.0000       0.0000       0.0000       17.4004      252.9875     234.1945     0.0000       163.8702     0.0000       0.0000       0.0000       
3007.8750    50.3718      23.6900      0.0000       32.4460      0.0000       0.0000       0.0000       18.1035      320.1642     268.2370     0.0000       163.9076     0.0000       0.0000       0.0000       
3008.0000    50.0502      23.7393      0.0000       34.7374      0.0000       0.0000       0.0000       18.7383      383.9443     331.2356     0.0000       163.9136     0.0000       0.0000       0.0000       
3008.1250    50.1829      23.7137      0.0000       37.4026      0.0000       0.0000       0.0000       19.4726      424.9739     310.7968     0.0000       163.8888     0.0000       0.0000       0.0000       
3008.2500    51.0157      23.6259      0.0000       38.5477      0.0000       0.0000       0.0000       20.1198      320.4082     279.4534     0.0000       163.8563     0.0000       0.0000       0.0000       
3008.3750    52.4353      23.5257      0.0000       37.5749      0.0000       0.0000       0.0000       20.8978      142.1351     182.9028     0.0000       163.8236     0.0000       0.0000       0.0000       
3008.5000    53.9873      23.5001      0.0000       39.1436      0.0000       0.0000       0.0000       21.7505      98.1420      101.7700     0.0000       163.7909     0.0000       0.0000       0.0000       
3008.6250    55.1609      23.5119      0.0000       38.0961      0.0000       0.0000       0.0000       22.5970      65.6841      68.3726      0.0000       163.7582     0.0000       0.0000       0.0000       
3008.7500    56.0506      23.5238      0.0000       41.2347      0.0000       0.0000       0.0000       23.4872      52.4878      52.7789      0.0000       163.7023     0.0000       0.0000       0.0000       
3008.8750    55.9183      23.5606      0.0000       43.9996      0.0000       0.0000       0.0000       24.3400      58.3998      58.4793      0.0000       163.6617     0.0000       0.0000       0.0000       
3009.0000    55.3129      23.6223      0.0000       45.1449      0.0000       0.0000       0.0000       24.8937      65.9464      68.0638      0.0000       163.6525     0.0000       0.0000       0.0000       
3009.1250    54.4047      23.7212      0.0000       45.5176      0.0000       0.0000       0.0000       24.4009      83.2999      79.4482      0.0000       163.6507     0.0000       0.0000       0.0000       
3009.2500    53.5343      23.7580      0.0000       46.8872      0.0000       0.0000       0.0000       23.0858      99.5441      95.4782      0.0000       163.6257     0.0000       0.0000       0.0000       
3009.3750    52.6639      23.7947      0.0000       50.2004      0.0000       0.0000       0.0000       21.8329      113.2717     110.6719     0.0000       163.6166     0.0000       0.0000       0.0000       
3009.5000    52.8912      23.8440      0.0000       46.5114      0.0000       0.0000       0.0000       20.8604      128.8462     126.1955     0.0000       163.5913     0.0000       0.0000       0.0000       
3009.6250    53.3267      23.8558      0.0000       44.6914      0.0000       0.0000       0.0000       20.2990      144.8950     145.4427     0.0000       163.5821     0.0000       0.0000       0.0000       
3009.7500    53.1187      23.8676      0.0000       44.5906      0.0000       0.0000       0.0000       20.5537      137.4473     143.7019     0.0000       163.5572     0.0000       0.0000       0.0000       
3009.8750    53.2325      23.8548      0.0000       42.6957      0.0000       0.0000       0.0000       20.6963      113.0313     123.3028     0.0000       163.5245     0.0000       0.0000       0.0000       
3010.0000    54.0276      23.7918      0.0000       39.6297      0.0000       0.0000       0.0000       20.6271      90.7710      99.2524      0.0000       163.4687     0.0000       0.0000       0.0000       
3010.1250    55.3148      23.7288      0.0000       38.2582      0.0000       0.0000       0.0000       20.4520      67.8114      67.0693      0.0000       163.4283     0.0000       0.0000       0.0000       
3010.2500    56.4884      23.7034      0.0000       41.0979      0.0000       0.0000       0.0000       20.9559      57.9621      59.9394      0.0000       163.3489     0.0000       0.0000       0.0000       
3010.3750    57.4918      23.6403      0.0000       43.7134      0.0000       0.0000       0.0000       21.7776      52.9624      55.3538      0.0000       163.3007     0.0000       0.0000       0.0000       
3010.5000    57.5488      23.6025      0.0000       43.3883      0.0000       0.0000       0.0000       22.4746      49.0690      52.4219      0.0000       163.2209     0.0000       0.0000       0.0000       
3010.6250    57.4355      23.5770      0.0000       43.4871      0.0000       0.0000       0.0000       23.0409      46.2619      50.8528      0.0000       163.1729     0.0000       0.0000       0.0000       
3010.7500    58.0414      23.6636      0.0000       46.2771      0.0000       0.0000       0.0000       23.4575      43.9591      49.8792      0.0000       163.1402     0.0000       0.0000       0.0000       
3010.8750    59.0637      23.8000      0.0000       49.9892      0.0000       0.0000       0.0000       23.8182      42.3501      49.2858      0.0000       163.1308     0.0000       0.0000       0.0000       
3011.0000    59.7074      23.9241      0.0000       53.3524      0.0000       0.0000       0.0000       24.2225      43.1375      49.2410      0.0000       163.1059     0.0000       0.0000       0.0000       
3011.1250    59.5184      24.0606      0.0000       55.0460      0.0000       0.0000       0.0000       24.2281      47.8104      53.3561      0.0000       163.0732     0.0000       0.0000       0.0000       
3011.2500    58.1748      24.1720      0.0000       55.1447      0.0000       0.0000       0.0000       23.4735      54.0581      61.6131      0.0000       163.0405     0.0000       0.0000       0.0000       
3011.3750    56.9068      24.2088      0.0000       55.1687      0.0000       0.0000       0.0000       22.6256      64.5255      72.4284      0.0000       163.0548     0.0000       0.0000       0.0000       
3011.5000    55.8282      24.2706      0.0000       53.9466      0.0000       0.0000       0.0000       21.8024      65.8820      76.1706      0.0000       163.1075     0.0000       0.0000       0.0000       
3011.6250    56.6045      24.2700      0.0000       54.3692      0.0000       0.0000       0.0000       21.0978      60.3958      72.1113      0.0000       163.1214     0.0000       0.0000       0.0000       
3011.7500    57.6268      24.1697      0.0000       53.3216      0.0000       0.0000       0.0000       20.4056      54.9267      67.1248      0.0000       163.1436     0.0000       0.0000       0.0000       
3011.8750    59.2927      24.1815      0.0000       54.1680      0.0000       0.0000       0.0000       20.1308      59.6326      64.5166      0.0000       163.1964     0.0000       0.0000       0.0000       
3012.0000    58.8008      24.3554      0.0000       51.8743      0.0000       0.0000       0.0000       20.7219      67.2774      70.0659      0.0000       163.2339     0.0000       0.0000       0.0000       
3012.1250    57.5518      24.7286      0.0000       48.8827      0.0000       0.0000       0.0000       21.4315      72.6994      82.2705      0.0000       163.2868     0.0000       0.0000       0.0000       
3012.2500    57.2112      24.9523      0.0000       47.0127      0.0000       0.0000       0.0000       20.9074      59.0341      77.2297      0.0000       163.3010     0.0000       0.0000       0.0000       
3012.3750    59.9846      24.8396      0.0000       48.2079      0.0000       0.0000       0.0000       20.1903      47.5741      57.3586      0.0000       163.2994     0.0000       0.0000       0.0000       
3012.5000    62.5214      24.6520      0.0000       49.9763      0.0000       0.0000       0.0000       19.5914      37.7278      43.8754      0.0000       163.2745     0.0000       0.0000       0.0000       
