WELLNAME = well52
STDEP  =  3835.0000    
ENDEP  =  4631.8750    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, DEN, GR, RT, SP

#DEPTH       AC           CAL          CNL          DEN          GR           RT           SP           
3844.1250    63.7736      7.9219       15.4024      0.0001       74.7607      34.9809      220.6592     
3844.2500    63.6119      7.9363       15.4347      0.0001       73.6137      33.6346      220.5166     
3844.3750    63.8545      7.9291       15.2252      0.0001       73.2319      34.7853      220.3899     
3844.5000    64.0162      7.9219       15.2999      0.0001       73.7424      33.4465      220.2949     
3844.6250    63.6927      7.9255       15.5521      2.7118       73.7430      33.0735      220.1841     
3844.7500    63.2884      7.9255       15.7257      2.7086       73.4887      33.0735      220.1051     
3844.8750    63.3693      7.9327       15.8215      2.7108       75.4654      34.5908      220.0418     
3845.0000    62.8033      7.9183       15.7244      2.7086       77.1233      34.0138      219.9469     
3845.1250    62.7224      7.9327       15.2242      2.7108       75.8491      34.5908      219.8678     
3845.2500    62.6415      7.9111       15.2253      2.7194       77.6347      37.4155      219.8205     
3845.3750    62.7224      7.9219       15.3977      2.7140       78.8463      37.8374      219.7732     
3845.5000    63.2076      7.9435       15.7015      2.7129       77.1895      41.6215      219.7101     
3845.6250    64.2588      7.9651       16.1438      2.6925       75.9790      38.9132      219.6628     
3845.7500    65.5526      7.9579       16.8149      2.6806       77.1907      35.9755      219.6314     
3845.8750    67.0890      7.9651       17.4119      2.6806       78.7214      34.0138      219.5999     
3846.0000    67.9785      8.0012       18.1171      2.6774       79.4869      33.4465      219.5685     
3846.1250    67.8976      7.9868       17.8722      2.6742       79.9336      32.5218      219.5213     
3846.2500    67.1698      7.9904       17.2823      2.6817       77.8306      31.9794      219.4740     
3846.3750    65.8760      7.9832       16.6248      2.7000       80.4447      32.3400      219.4267     
3846.5000    63.7736      8.0012       15.7866      2.6989       79.4253      31.9794      219.3793     
3846.6250    62.7224      8.0373       15.3400      2.7151       76.3662      32.5218      219.3320     
3846.7500    61.4286      7.9832       14.7469      2.7151       73.8807      32.1592      219.2847     
3846.8750    61.2669      7.9615       14.3491      2.7043       71.2678      30.9214      219.2373     
3847.0000    61.1051      7.9291       13.9798      2.7172       68.2724      41.6215      219.1742     
3847.1250    61.5094      7.9219       13.7560      2.7387       68.9103      68.1716      219.1110     
3847.2500    61.4286      7.9111       13.5847      2.7344       67.1900      60.9400      219.0478     
3847.3750    61.4286      7.9147       13.6807      2.7172       65.5970      49.8012      218.9846     
3847.5000    61.5094      7.9219       13.5897      2.7086       64.4500      49.5228      218.9055     
3847.6250    61.7520      7.9147       13.5219      2.7161       63.5582      46.5606      218.8265     
3847.7500    62.6415      7.9363       13.8818      2.7151       62.6664      48.4244      218.7316     
3847.8750    63.7736      7.9147       14.3765      2.7172       62.5395      47.6167      218.6208     
3848.0000    63.6927      7.9255       14.9053      2.6957       61.9664      46.5606      218.5576     
3848.1250    63.2884      7.9471       14.1186      2.6925       60.6284      48.4244      218.4785     
3848.2500    62.1563      7.9688       12.7582      2.6989       59.6090      47.0857      218.3836     
3848.3750    60.6200      7.9724       12.2824      2.7021       57.8885      47.3505      218.3203     
3848.5000    59.2453      7.9471       12.1275      2.7011       55.1481      48.1536      218.2095     
3848.6250    59.2453      7.9291       12.2011      2.7194       52.8539      47.3505      218.0987     
3848.7500    59.2453      7.9255       12.2436      2.7151       50.1135      47.6167      217.9561     
3848.8750    59.4879      7.9111       12.1307      2.7215       47.6916      47.6167      217.7976     
3849.0000    60.1348      7.9291       12.0168      2.7452       45.3974      47.3505      217.6233     
3849.1250    60.2965      7.9219       11.8435      2.7452       43.7407      47.8845      217.4330     
3849.2500    60.1348      7.9255       11.5496      2.7548       44.1238      48.1536      217.2587     
3849.3750    59.8113      7.9183       11.2557      2.7538       48.1403      48.1536      217.0843     
3849.5000    59.4070      7.9111       11.1922      2.7505       50.7544      47.3505      216.9099     
3849.6250    58.7601      7.9147       11.6104      2.7323       53.6873      47.0857      216.7197     
3849.7500    59.5687      7.9183       12.0562      2.7409       56.6839      47.0857      216.5453     
3849.8750    61.4286      7.9327       12.7112      2.7333       59.1705      47.8845      216.3234     
3850.0000    60.8625      7.9183       13.1680      2.7290       62.3585      48.1536      216.1332     
3850.1250    60.9434      7.9111       13.4643      2.7215       62.6777      47.6167      215.9747     
3850.2500    61.1860      7.8966       13.1705      2.7301       61.5309      46.3003      215.8162     
3850.3750    61.3477      7.8966       12.9852      2.7280       49.6113      44.0218      215.6577     
3850.5000    59.9731      7.8858       13.6704      2.7559       43.1735      41.8555      215.4834     
3850.6250    61.4286      7.8786       13.9726      2.7355       38.3295      47.6167      215.3407     
3850.7500    63.2076      7.8858       14.2199      2.7312       33.9955      36.3812      215.1505     
