WELLNAME = well116
STDEP  =  3500.0000    
ENDEP  =  5129.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR, CNL, DEN, GR, K, PE, P_AC, R1, RT, RXO, SGR, SONPHI, SP, TH, U, VSH, VSH1

#DEPTH       AC           CAL          CGR          CNL          DEN          GR           K            PE           P_AC         R1           RT           RXO          SGR          SONPHI       SP           TH           U            VSH          VSH1         
3503.0000    51.9455      23.5764      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.3768      33.3045      1554.5620    2220.9431    -99999.0000  0.0000       120.2553     -99999.0000  -99999.0000  0.0000       0.0000       
3503.1250    52.1959      23.6277      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.9260      33.3618      1739.2252    2419.7236    -99999.0000  0.0000       120.5096     -99999.0000  -99999.0000  0.0000       0.0000       
3503.2500    52.1280      23.6407      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.7771      33.4761      1914.3652    2519.8032    -99999.0000  0.0000       120.7559     -99999.0000  -99999.0000  0.0000       0.0000       
3503.3750    51.7805      23.6790      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.0146      33.4065      1836.3132    2488.2573    -99999.0000  0.0000       120.7959     -99999.0000  -99999.0000  0.0000       0.0000       
3503.5000    51.4618      23.7302      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  53.3155      33.2353      1583.2101    2521.1240    -99999.0000  0.0000       120.3123     -99999.0000  -99999.0000  0.0000       0.0000       
3503.6250    51.1528      23.7623      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  52.6375      33.4068      1396.5637    2518.9238    -99999.0000  0.0000       119.7732     -99999.0000  -99999.0000  0.0000       0.0000       
3503.7500    51.0849      23.7689      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  52.4887      33.6354      1342.3618    2367.2715    -99999.0000  0.0000       119.2421     -99999.0000  -99999.0000  0.0000       0.0000       
3503.8750    51.4800      23.7503      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  53.3553      33.6292      1506.9894    2206.2759    -99999.0000  0.0000       118.6316     -99999.0000  -99999.0000  0.0000       0.0000       
3504.0000    51.4603      23.7443      -99999.0000  -99999.0000  -99999.0000  32.4538      -99999.0000  -99999.0000  53.3122      33.5785      1698.0696    2248.2476    -99999.0000  0.0000       118.0449     -99999.0000  -99999.0000  0.0000       0.0000       
3504.1250    51.2766      23.7065      -99999.0000  -99999.0000  -99999.0000  34.9928      -99999.0000  -99999.0000  52.9092      33.8833      1917.1318    2627.0635    -99999.0000  0.0000       117.4502     -99999.0000  -99999.0000  0.0000       0.0000       
3504.2500    51.2570      23.6561      -99999.0000  -99999.0000  -99999.0000  33.8761      -99999.0000  -99999.0000  52.8661      34.1754      2114.3721    3021.9102    -99999.0000  0.0000       116.8476     -99999.0000  -99999.0000  0.0000       0.0000       
3504.3750    51.6134      23.5676      -99999.0000  -99999.0000  -99999.0000  31.9723      -99999.0000  -99999.0000  53.6481      34.4358      2198.7102    3734.1426    -99999.0000  0.0000       116.2688     -99999.0000  -99999.0000  0.0000       0.0000       
3504.5000    51.9410      23.5044      -99999.0000  -99999.0000  -99999.0000  35.3746      -99999.0000  -99999.0000  54.3667      34.6390      2253.8286    3971.5981    -99999.0000  0.0000       115.7218     -99999.0000  -99999.0000  0.0000       0.0000       
3504.6250    51.8731      23.4540      -99999.0000  -99999.0000  -99999.0000  35.2480      -99999.0000  -99999.0000  54.2178      34.8550      2349.7192    3700.8413    -99999.0000  0.0000       115.2540     -99999.0000  -99999.0000  0.0000       0.0000       
3504.7500    51.6701      23.4036      -99999.0000  -99999.0000  -99999.0000  34.3343      -99999.0000  -99999.0000  53.7725      34.9884      2542.9604    3982.2493    -99999.0000  0.0000       115.0005     -99999.0000  -99999.0000  0.0000       0.0000       
3504.8750    51.5540      23.3341      -99999.0000  -99999.0000  -99999.0000  30.4249      -99999.0000  -99999.0000  53.5178      35.1155      2829.0342    4324.3252    -99999.0000  0.0000       115.0009     -99999.0000  -99999.0000  0.0000       0.0000       
3505.0000    51.6501      23.2774      -99999.0000  -99999.0000  -99999.0000  29.9937      -99999.0000  -99999.0000  53.7286      35.2172      3235.0596    4683.2202    -99999.0000  0.0000       115.1837     -99999.0000  -99999.0000  0.0000       0.0000       
3505.1250    51.7751      23.2460      -99999.0000  -99999.0000  -99999.0000  31.6442      -99999.0000  -99999.0000  54.0028      35.2935      3517.5317    5058.2832    -99999.0000  0.0000       115.5729     -99999.0000  -99999.0000  0.0000       0.0000       
3505.2500    51.8711      23.1829      -99999.0000  -99999.0000  -99999.0000  31.8983      -99999.0000  -99999.0000  54.2135      35.3444      3192.4692    5299.4307    -99999.0000  0.0000       115.9699     -99999.0000  -99999.0000  0.0000       0.0000       
3505.3750    51.5910      23.1642      -99999.0000  -99999.0000  -99999.0000  29.7915      -99999.0000  -99999.0000  53.5990      35.3382      3561.5513    5060.4297    -99999.0000  0.0000       116.4701     -99999.0000  -99999.0000  0.0000       0.0000       
3505.5000    51.4364      23.1645      -99999.0000  -99999.0000  -99999.0000  32.6860      -99999.0000  -99999.0000  53.2597      35.0718      4502.5864    4838.2061    -99999.0000  0.0000       116.9386     -99999.0000  -99999.0000  0.0000       0.0000       
3505.6250    51.2720      23.1267      -99999.0000  -99999.0000  -99999.0000  34.6032      -99999.0000  -99999.0000  52.8991      34.9323      5680.4004    5207.0913    -99999.0000  0.0000       117.3356     -99999.0000  -99999.0000  0.0000       0.0000       
3505.7500    51.3294      23.0954      -99999.0000  -99999.0000  -99999.0000  34.9715      -99999.0000  -99999.0000  53.0251      35.3513      4749.7168    5598.0029    -99999.0000  0.0000       117.6692     -99999.0000  -99999.0000  0.0000       0.0000       
