WELLNAME = well60
STDEP  =  3675.0000    
ENDEP  =  4820.0000    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3680.7500    51.4554      25.8658      39.5961      52.7501      20.1596      -99999.0000  -99999.0000  0.0509       151.5428     0.2114       21.1400      
3680.8750    51.7835      25.8793      38.1242      53.0183      20.1093      -99999.0000  -99999.0000  0.0538       151.8773     0.2009       20.0887      
3681.0000    52.0535      25.8802      35.3064      53.2389      20.0844      -99999.0000  -99999.0000  0.0562       152.1960     0.1808       18.0760      
3681.1250    52.1498      25.8814      33.6820      53.3176      20.0595      -99999.0000  -99999.0000  0.0570       152.4988     0.1692       16.9157      
3681.2500    52.3620      25.8951      34.1401      53.4910      20.0600      -99999.0000  -99999.0000  0.0589       152.8335     0.1724       17.2429      
3681.3750    52.1291      25.9085      33.1253      53.3007      20.0733      -99999.0000  -99999.0000  0.0568       153.0886     0.1652       16.5181      
3681.5000    51.6445      25.9094      33.0247      52.9046      20.0991      -99999.0000  -99999.0000  0.0526       152.6136     0.1645       16.4462      
3681.6250    51.2568      25.9103      34.5241      52.5878      20.2013      -99999.0000  -99999.0000  0.0492       152.0594     0.1752       17.5172      
3681.7500    50.7144      25.9114      35.5661      52.1445      20.3797      -99999.0000  -99999.0000  0.0443       152.2353     0.1826       18.2615      
3681.8750    50.9458      25.9128      36.2019      52.3337      20.4943      -99999.0000  -99999.0000  0.0464       152.7128     0.1872       18.7156      
3682.0000    51.7773      25.9135      35.2380      53.0131      20.6726      -99999.0000  -99999.0000  0.0538       153.2061     0.1803       18.0271      
3682.1250    52.1006      25.9142      36.8643      53.2774      20.8764      -99999.0000  -99999.0000  0.0566       153.6676     0.1919       19.1888      
3682.2500    52.6446      25.9153      38.0586      53.7220      21.0291      -99999.0000  -99999.0000  0.0613       154.1450     0.2004       20.0419      
3682.3750    53.1693      25.9164      37.0950      54.1508      21.2075      -99999.0000  -99999.0000  0.0658       154.5588     0.1935       19.3536      
3682.5000    52.7646      25.9049      37.8576      53.8201      21.2587      -99999.0000  -99999.0000  0.0624       154.6552     0.1990       19.8983      
3682.6250    52.4759      25.9058      38.5948      53.5841      21.0053      -99999.0000  -99999.0000  0.0599       154.2280     0.2042       20.4248      
3682.7500    52.6716      25.9192      39.5353      53.7440      20.7772      -99999.0000  -99999.0000  0.0616       153.6261     0.2110       21.0967      
3682.8750    53.0607      25.9204      40.6538      54.0620      20.5999      -99999.0000  -99999.0000  0.0000       153.0877     0.2190       21.8955      
3683.0000    53.1593      25.9212      41.3149      54.1426      20.3465      -99999.0000  -99999.0000  0.0000       152.5970     0.2237       22.3678      
3683.1250    52.5222      25.9343      39.6907      53.6220      20.1946      -99999.0000  -99999.0000  0.0603       152.2014     0.2121       21.2077      
3683.2500    52.3693      25.9481      38.2949      53.4970      19.9920      -99999.0000  -99999.0000  0.0589       151.7585     0.2021       20.2107      
3683.3750    52.6809      25.9491      39.0324      53.7516      19.7385      -99999.0000  -99999.0000  0.0616       151.3629     0.2074       20.7374      
