WELLNAME = well97
STDEP  =  3500.0000    
ENDEP  =  4565.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH1

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH1         
3500.0000    50.5963      24.3327      29.5171      14.3282      841.4460     486.8168     0.0000       142.3417     0.0000       
3500.1250    50.4773      24.3315      27.3658      14.3282      1272.0186    493.1383     0.0000       142.2466     0.0000       
3500.2500    50.2810      24.3112      25.1133      14.1080      1269.1763    515.1827     0.0000       142.1041     0.0000       
3500.3750    50.1428      24.2657      24.3033      14.1990      1356.9158    535.1779     0.0000       142.0170     0.0000       
3500.5000    50.0045      24.2327      24.2778      14.3888      1634.8058    569.8403     0.0000       142.0010     0.0000       
3500.6250    49.8661      24.1872      23.1894      14.5862      2048.6321    621.1970     0.0000       142.0008     0.0000       
3500.7500    49.7083      24.1542      21.6961      14.7380      1977.9545    676.1720     0.0000       141.9769     0.0000       
3500.8750    49.6283      24.1465      20.1523      14.7683      2120.9712    700.3824     0.0000       142.0163     0.0000       
3501.0000    49.7212      24.1450      18.9121      14.8594      2120.4460    701.4362     0.0000       142.0794     0.0000       
3501.1250    49.8720      24.1629      18.4817      15.0568      1122.2190    714.8824     0.0000       142.1899     0.0000       
3501.2500    50.0037      24.1869      17.1403      15.2997      832.9794     596.9117     0.0000       142.2451     0.0000       
3501.3750    50.2320      24.2109      17.8234      15.2389      823.6249     596.5284     0.0000       142.2291     0.0000       
3501.5000    50.2483      24.2348      18.6330      15.3376      849.3131     599.9143     0.0000       142.1261     0.0000       
3501.6250    50.1482      24.2398      17.6459      15.2313      930.9148     620.9944     0.0000       141.9994     0.0000       
3501.7500    49.9908      24.2193      16.4817      15.3300      2159.8628    687.0752     0.0000       141.8964     0.0000       
3501.8750    49.8523      24.2118      15.9248      15.4135      2123.4600    771.5054     0.0000       141.8251     0.0000       
3502.0000    49.8108      24.2105      16.3801      15.5197      2305.0991    840.0873     0.0000       141.7142     0.0000       
3502.1250    50.0965      24.1900      16.7595      15.6336      2296.8877    853.0513     0.0000       141.5163     0.0000       
3502.2500    50.3247      24.1444      17.1895      15.8005      2509.0034    851.5986     0.0000       141.2710     0.0000       
3502.3750    50.3020      24.1117      17.8473      16.0207      2733.0273    870.4160     0.0000       141.1127     0.0000       
3502.5000    50.2023      24.0852      17.0627      15.8157      2023.5768    842.0652     0.0000       141.0334     0.0000       
3502.6250    50.1410      24.0396      15.8225      15.6031      1932.8315    806.3291     0.0000       140.9463     0.0000       
3502.7500    50.0793      24.0067      16.4803      15.6031      1631.4270    793.4999     0.0000       140.8275     0.0000       
3502.8750    50.0765      23.9422      17.2899      15.6789      1412.6460    753.2643     0.0000       140.7720     0.0000       
3503.0000    50.0347      23.9031      18.1754      15.6030      1452.6809    740.4384     0.0000       140.7164     0.0000       
3503.1250    50.0318      23.8576      18.3524      15.5498      1465.4644    737.1301     0.0000       140.7004     0.0000       
3503.2500    50.1056      23.8246      17.5931      15.5574      1369.2520    714.0880     0.0000       140.7003     0.0000       
3503.3750    50.1202      23.7792      17.3145      15.6333      1869.3822    699.7014     0.0000       140.7713     0.0000       
3503.5000    50.1374      23.7271      18.1494      15.6484      1757.4686    751.5988     0.0000       140.9134     0.0000       
3503.6250    50.2686      23.7129      20.6038      15.5649      1641.1536    771.4003     0.0000       141.0477     0.0000       
3503.7500    50.3429      23.7118      19.6167      15.4586      1648.6873    763.7144     0.0000       141.1978     0.0000       
3503.8750    50.3396      23.7297      19.0346      15.4662      1871.8204    784.2531     0.0000       141.2609     0.0000       
3504.0000    50.1244      23.7726      18.7054      15.6483      1572.3035    800.5508     0.0000       141.2686     0.0000       
3504.1250    49.9860      23.7649      20.1476      15.9064      1492.7659    747.2775     0.0000       141.2684     0.0000       
3504.2500    49.8669      23.7194      21.7416      16.2024      1625.8311    755.7026     0.0000       141.2682     0.0000       
3504.3750    49.8636      23.7055      20.8557      16.2783      1652.1824    743.5878     0.0000       141.1969     0.0000       
3504.5000    49.9568      23.7989      22.8546      16.1341      1071.1381    682.4869     0.0000       141.1492     0.0000       
3504.6250    50.0308      23.9427      22.0953      16.0505      1000.6187    623.9054     0.0000       141.1649     0.0000       
3504.7500    50.1047      24.0740      20.7793      15.9746      852.0077     602.7382     0.0000       141.2201     0.0000       
3504.8750    50.1977      24.1801      21.7406      15.9898      778.2982     583.0640     0.0000       141.2594     0.0000       
3505.0000    50.4257      24.2418      23.2840      16.0353      814.1767     563.4905     0.0000       141.2909     0.0000       
3505.1250    50.6732      24.2342      25.1563      16.1719      714.2985     571.9791     0.0000       141.3224     0.0000       
3505.2500    50.9591      24.2265      26.4213      16.0580      546.4973     549.7728     0.0000       141.3301     0.0000       
3505.3750    51.0914      24.2251      28.0405      15.7999      381.1400     420.2155     0.0000       141.3300     0.0000       
3505.5000    51.1461      24.2048      28.0909      15.4962      366.6448     357.0893     0.0000       141.3298     0.0000       
3505.6250    51.0076      24.1781      27.7364      15.1849      370.0928     369.5730     0.0000       141.3533     0.0000       
3505.7500    50.8307      24.1517      27.9133      14.8357      356.1905     369.1111     0.0000       141.3848     0.0000       
3505.8750    50.6727      24.1253      28.9506      14.5245      437.2456     387.0326     0.0000       141.3925     0.0000       
3506.0000    50.5540      24.0798      28.7226      14.3043      498.5956     406.5515     0.0000       141.3923     0.0000       
3506.1250    50.5122      24.0847      27.3561      14.4106      465.9320     396.9524     0.0000       141.3922     0.0000       
3506.2500    50.7209      24.1276      26.7739      14.5775      461.8110     386.3069     0.0000       141.3683     0.0000       
3506.3750    50.9877      24.1578      26.0905      14.5851      532.8212     407.1347     0.0000       141.3365     0.0000       
3506.5000    51.2737      24.2197      25.3818      14.5547      490.8743     411.6012     0.0000       141.2810     0.0000       
3506.6250    51.5601      24.2372      25.9383      14.5927      420.9548     364.1364     0.0000       141.1938     0.0000       
3506.7500    51.8464      24.2548      25.8622      14.7065      384.2274     339.5611     0.0000       141.1462     0.0000       
3506.8750    51.8623      24.3166      25.6596      14.8735      368.0676     328.3102     0.0000       141.0670     0.0000       
3507.0000    51.7821      24.3531      26.2919      15.1467      350.2265     315.7216     0.0000       140.9957     0.0000       
3507.1250    51.8753      24.3958      27.0508      15.4124      308.8057     295.0175     0.0000       140.9559     0.0000       
3507.2500    52.1420      24.4262      27.3289      15.3972      259.0776     257.6256     0.0000       140.9241     0.0000       
3507.3750    52.4476      24.4311      27.7336      15.4123      217.9342     222.5279     0.0000       140.8923     0.0000       
3507.5000    52.7532      24.4109      27.6069      15.4199      190.3308     193.8167     0.0000       140.7182     0.0000       
3507.6250    53.1549      24.4033      26.6199      15.2832      169.2161     183.6665     0.0000       140.5678     0.0000       
3507.7500    53.4800      24.4208      25.8606      14.9720      171.3718     180.7430     0.0000       140.4649     0.0000       
3507.8750    53.6504      24.4067      26.8978      14.7898      177.0506     186.4590     0.0000       140.4410     0.0000       
3508.0000    53.5893      24.4182      28.1374      14.7822      185.1227     194.0667     0.0000       140.3696     0.0000       
3508.1250    53.4508      24.4233      28.1625      14.6911      195.0175     206.2581     0.0000       140.2746     0.0000       
3508.2500    53.3318      24.3841      27.2261      14.5392      211.5047     223.7937     0.0000       140.1795     0.0000       
3508.3750    53.1548      24.3696      28.7946      14.3418      236.8195     236.3466     0.0000       140.1082     0.0000       
3508.5000    52.8814      24.3496      28.9715      14.2887      267.4334     245.4212     0.0000       140.0448     0.0000       
3508.6250    52.5501      24.3609      29.2496      14.3418      298.4400     259.1264     0.0000       139.9576     0.0000       
3508.7500    52.1993      24.3278      30.3121      14.3797      328.9313     270.1489     0.0000       139.8863     0.0000       
3508.8750    51.8872      24.3140      30.3371      14.3645      304.2347     258.8362     0.0000       139.7755     0.0000       
3509.0000    51.7490      24.3128      28.6671      14.2431      279.9526     245.8990     0.0000       139.7199     0.0000       
3509.1250    51.7843      24.3116      27.7307      14.2354      260.1419     236.2294     0.0000       139.7119     0.0000       
3509.2500    51.9932      24.3101      27.1233      14.4024      240.0187     227.6733     0.0000       139.6880     0.0000       
3509.3750    52.3180      24.3279      26.7436      14.6225      233.4698     220.5539     0.0000       139.6562     0.0000       
3509.5000    52.5465      24.3138      26.8699      14.7895      242.7629     224.3958     0.0000       139.6244     0.0000       
3509.6250    52.8135      24.3062      25.6299      14.7591      252.7666     234.2978     0.0000       139.5926     0.0000       
3509.7500    52.7910      24.3048      25.8068      14.8350      263.6957     244.0710     0.0000       139.5371     0.0000       
3509.8750    52.4014      24.3033      24.2633      14.7439      277.8851     251.3229     0.0000       139.5211     0.0000       
3510.0000    52.0314      24.3023      23.6306      14.7970      293.6744     261.9873     0.0000       139.5210     0.0000       
3510.1250    51.8545      24.3011      24.0605      14.9336      296.5175     262.1397     0.0000       139.5208     0.0000       
3510.2500    51.7549      24.2997      24.3892      15.1688      276.8545     241.8575     0.0000       139.5680     0.0000       
3510.3750    51.7902      24.3172      24.1613      15.0777      274.4579     244.9201     0.0000       139.6311     0.0000       
3510.5000    51.9217      24.3600      24.5407      14.8728      284.4556     243.8263     0.0000       139.7179     0.0000       
3510.6250    52.0925      24.3902      24.7429      14.8120      309.6102     253.4617     0.0000       139.7178     0.0000       
3510.7500    52.0892      24.3952      23.7307      14.6147      351.0513     271.9706     0.0000       139.6385     0.0000       
3510.8750    51.8342      24.3561      24.6160      14.3566      428.5326     307.3742     0.0000       139.5672     0.0000       
3511.0000    51.5805      24.2853      24.7423      14.3414      534.8452     355.3019     0.0000       139.4326     0.0000       
3511.1250    51.2878      24.2082      24.0084      14.4172      658.0052     389.2634     0.0000       139.3218     0.0000       
3511.2500    50.8983      24.1691      22.6673      14.4931      863.3654     419.0767     0.0000       139.2742     0.0000       
3511.3750    50.5668      24.1236      21.1492      14.5235      943.0358     443.8062     0.0000       139.2424     0.0000       
3511.5000    50.3128      24.0529      22.2621      14.4703      947.8178     458.6661     0.0000       139.2106     0.0000       
3511.6250    50.0775      23.9758      21.6295      14.2805      721.6992     431.0576     0.0000       139.2025     0.0000       
3511.7500    49.9585      23.9367      21.0980      14.3109      545.9980     393.2186     0.0000       139.2024     0.0000       
3511.8750    50.0518      23.9291      20.1364      14.2881      560.9323     386.4924     0.0000       139.1785     0.0000       
3512.0000    50.3960      23.9656      20.6169      14.2046      586.2328     396.5026     0.0000       139.1230     0.0000       
3512.1250    50.6437      23.9958      21.5022      14.1135      618.2790     386.7786     0.0000       139.0596     0.0000       
3512.2500    50.8336      24.0009      21.2744      14.0907      801.5935     441.3551     0.0000       138.9487     0.0000       
3512.3750    50.6951      24.0562      20.8694      14.1590      968.9535     496.0432     0.0000       138.8458     0.0000       
3512.5000    50.5373      24.0928      20.7427      14.2424      930.0082     507.0320     0.0000       138.7745     0.0000       
3512.6250    50.1671      24.0977      19.4776      14.3259      905.9122     495.2667     0.0000       138.7348     0.0000       
3512.7500    49.7392      24.1152      19.0727      14.3411      952.6436     513.5338     0.0000       138.7267     0.0000       
3512.8750    49.9867      24.1202      18.6171      14.4701      815.7356     505.8706     0.0000       138.6791     0.0000       
3513.0000    50.3118      24.1189      18.9964      14.5915      725.3862     462.9052     0.0000       138.5920     0.0000       
3513.1250    50.4051      24.1175      19.6287      14.7053      652.0638     447.1493     0.0000       138.5681     0.0000       
