WELLNAME = well123
STDEP  =  3500.0000    
ENDEP  =  4513.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, GR, P_AC, R1, RT, RXO, SONPHI, VSH, VSH1

#DEPTH       AC           CAL          CNL          GR           P_AC         R1           RT           RXO          SONPHI       VSH          VSH1         
3505.8750    46.8298      22.3132      1.9324       23.8341      46.9869      45.8344      1854.1031    2073.8733    0.0181       0.0988       0.0000       
3506.0000    46.9236      22.3477      1.9918       23.7436      47.1129      45.8986      1567.7791    1828.8885    0.0190       0.0982       0.0000       
3506.1250    47.0180      22.3505      1.9905       24.7929      47.2395      45.8995      1421.7351    1745.8494    0.0199       0.1057       0.0000       
3506.2500    47.1604      22.3538      1.9893       23.0873      47.4305      45.9644      1415.4441    1829.7372    0.0213       0.0935       0.0000       
3506.3750    47.2547      22.3889      1.9881       23.3764      47.5571      46.0296      1490.3969    2009.2273    0.0222       0.0955       0.0000       
3506.5000    47.3003      22.4233      1.9869       25.0913      47.6183      46.0304      1675.3281    2237.5486    0.0227       0.1078       0.0000       
3506.6250    47.1533      22.4259      1.9551       24.1455      47.4210      46.0944      1954.7478    2389.1895    0.0212       0.1010       0.0000       
3506.7500    46.9578      22.4289      1.9231       26.4306      47.1587      46.0956      2457.7354    2587.1438    0.0194       0.1174       0.0000       
3506.8750    46.8591      22.4321      1.8919       27.0048      47.0262      46.1605      2788.4543    2894.5369    0.0184       0.1215       0.0000       
3507.0000    46.7118      22.4350      1.8598       23.6833      46.8286      46.2253      3268.8213    3314.9124    0.0170       0.0977       0.0000       
3507.1250    46.6608      22.4697      1.8590       23.8783      46.7603      46.2893      4326.4341    3691.4995    0.0165       0.0991       0.0000       
3507.2500    46.7069      22.5045      1.8577       22.9320      46.8221      46.4188      4267.2578    3727.0715    0.0169       0.0924       0.0000       
3507.3750    46.9459      22.5074      1.8262       24.5519      47.1427      46.4188      2651.6272    3107.6211    0.0192       0.1039       0.0000       
3507.5000    47.1848      22.5424      1.8248       22.2757      47.4633      46.4833      2242.0391    2555.0374    0.0215       0.0877       0.0000       
3507.6250    47.4235      22.5768      1.8541       23.7052      47.7836      46.5482      1995.6893    2382.8943    0.0238       0.0979       0.0000       
3507.7500    47.6147      22.6112      1.8828       25.8953      48.0400      46.6131      1671.7047    1878.6399    0.0257       0.1135       0.0000       
3507.8750    47.8053      22.6460      1.9121       27.3252      48.2959      46.6131      1293.5750    1559.0785    0.0275       0.1238       0.0000       
3508.0000    47.9472      22.6492      1.9411       26.1893      48.4863      46.6146      1068.5651    1413.8885    0.0288       0.1156       0.0000       
3508.1250    47.8970      22.6521      1.9399       28.6645      48.4189      46.6791      991.9091     1318.6667    0.0284       0.1333       0.0000       
3508.2500    47.6047      22.6549      1.8475       24.0125      48.0267      46.6800      992.1667     1294.6129    0.0256       0.1001       0.0000       
3508.3750    47.2643      22.6585      1.7857       24.9673      47.5700      46.6184      1064.3900    1375.8762    0.0223       0.1069       0.0000       
3508.5000    47.1173      22.6297      1.7238       27.9172      47.3727      46.6189      1253.5858    1561.0518    0.0209       0.1280       0.0000       
3508.6250    47.1634      22.5692      1.6923       28.4918      47.4346      46.5567      1497.2273    1812.9652    0.0213       0.1321       0.0000       
3508.7500    47.2092      22.5088      1.6606       30.3969      47.4961      46.4314      1442.7296    1706.6796    0.0218       0.1457       0.0000       
3508.8750    47.2068      22.4491      1.6292       30.2113      47.4928      46.2423      1512.0873    1822.4321    0.0218       0.1444       0.0000       
3509.0000    47.2041      22.3889      1.5973       28.8853      47.4892      46.1798      1756.0963    1945.9327    0.0217       0.1349       0.0000       
3509.1250    47.1534      22.3275      1.5961       29.7446      47.4212      45.9908      1756.5042    1964.7888    0.0212       0.1410       0.0000       
3509.2500    46.9096      22.2675      1.5643       29.1794      47.0940      45.8651      1937.9202    2011.5902    0.0189       0.1370       0.0000       
3509.3750    46.7143      22.2394      1.5633       25.1926      46.8320      45.6136      2314.6128    2261.2280    0.0170       0.1085       0.0000       
3509.5000    46.5673      22.2103      1.5623       22.7258      46.6347      45.6136      2675.4658    2425.7563    0.0156       0.0909       0.0000       
3509.6250    46.6131      22.1812      1.5602       25.2011      46.6962      45.5514      2765.0916    2566.0750    0.0160       0.1086       0.0000       
3509.7500    46.9969      22.2162      1.5900       22.4492      47.2112      45.4891      3008.0996    2664.3059    0.0197       0.0889       0.0000       
3509.8750    47.3322      22.2194      1.5880       23.4990      47.6610      45.8073      2591.4011    2438.8555    0.0230       0.0964       0.0000       
3510.0000    47.5233      22.1904      1.6176       26.2593      47.9175      45.9353      2232.4849    2242.9856    0.0248       0.1161       0.0000       
3510.1250    47.4239      22.1929      1.6164       28.7346      47.7840      45.9999      1987.1489    2072.3894    0.0238       0.1338       0.0000       
3510.2500    47.2766      22.2280      1.6456       28.4539      47.5864      46.1281      1897.0303    2053.7178    0.0224       0.1318       0.0000       
3510.3750    47.1776      22.2632      1.7049       29.5037      47.4536      46.1290      2112.4719    2213.3938    0.0215       0.1393       0.0000       
3510.5000    47.1757      22.2659      1.7036       28.3683      47.4510      46.1939      2352.4998    2430.6191    0.0215       0.1312       0.0000       
3510.6250    47.1250      22.2694      1.7022       27.8967      47.3830      46.1948      2375.1089    2583.3091    0.0210       0.1278       0.0000       
3510.7500    47.0745      22.2721      1.6403       28.6623      47.3153      46.1959      2397.9961    2489.2161    0.0205       0.1333       0.0000       
3510.8750    47.1201      22.2741      1.5786       26.1005      47.3764      46.1980      1795.9792    1999.4781    0.0209       0.1150       0.0000       
3511.0000    47.1652      22.2775      1.5469       23.5387      47.4370      46.2623      1185.8276    1511.5146    0.0214       0.0967       0.0000       
3511.1250    47.2115      22.3125      1.5153       25.6334      47.4991      46.2632      805.2408     1214.1368    0.0218       0.1117       0.0000       
3511.2500    47.3061      22.3477      1.5139       22.8824      47.6261      46.3271      696.9271     1021.8593    0.0227       0.0920       0.0000       
3511.3750    47.4002      22.3506      1.4823       24.6920      47.7524      46.3917      649.9797     944.1436     0.0236       0.1049       0.0000       
3511.5000    47.4463      22.3527      1.4508       24.5068      47.8142      46.4563      779.9294     1148.8760    0.0241       0.1036       0.0000       
3511.6250    47.3954      22.3555      1.4193       23.8461      47.7458      46.5843      914.2989     1372.1838    0.0236       0.0989       0.0000       
3511.7500    47.0070      22.3588      1.3877       24.8004      47.2247      46.5223      1022.8942    1506.7725    0.0198       0.1057       0.0000       
3511.8750    46.6179      22.3629      1.3257       20.1478      46.7026      46.4598      1144.4167    1616.4424    0.0161       0.0725       0.0000       
3512.0000    46.4708      22.3657      1.2943       19.1069      46.5053      46.3342      1144.7435    1594.3820    0.0146       0.0650       0.0000       
3512.1250    46.3714      22.3678      1.2324       19.6816      46.3718      46.2097      1199.6791    1718.4286    0.0136       0.0692       0.0000       
3512.2500    46.4657      22.3707      1.2008       22.3474      46.4984      46.2097      1399.7745    1887.0226    0.0146       0.0882       0.0000       
3512.3750    46.6079      22.3736      1.1692       21.3065      46.6892      46.2109      2339.4624    2274.8669    0.0160       0.0808       0.0000       
3512.5000    46.6547      22.3773      1.1680       18.6496      46.7520      46.1487      3511.9470    3367.5029    0.0164       0.0618       0.0000       
3512.6250    46.6040      22.3802      1.1965       20.9344      46.6840      46.0867      3595.8643    3399.9475    0.0159       0.0781       0.0000       
3512.7500    46.2151      22.3826      1.1958       23.6948      46.1622      46.0245      3112.2666    3156.1450    0.0121       0.0978       0.0000       
3512.8750    45.8750      22.3866      1.2245       21.7986      45.7058      45.9620      2783.2253    2889.0933    0.0088       0.0843       0.0000       
3513.0000    45.7277      22.3896      1.2229       22.1836      45.5082      45.8997      2420.2520    2547.6660    0.0073       0.0870       0.0000       
3513.1250    45.8703      22.4236      1.2220       21.2368      45.6996      45.9006      2046.4541    2236.1865    0.0087       0.0803       0.0000       
3513.2500    46.3024      22.4901      1.2510       22.7623      46.2793      45.8384      1971.9716    2444.2007    0.0130       0.0912       0.0000       
3513.3750    46.5414      22.5569      1.2501       26.4726      46.5999      45.7762      2009.6432    2333.3621    0.0153       0.1177       0.0000       
3513.5000    46.4906      22.5925      1.2181       23.3410      46.5319      45.7776      1763.9468    2176.0657    0.0148       0.0953       0.0000       
3513.6250    46.7296      22.6272      1.2172       25.1510      46.8525      45.7785      1592.2109    1982.6747    0.0171       0.1082       0.0000       
3513.7500    47.0163      22.6612      1.1856       25.8212      47.2372      45.9065      1404.0883    1798.1545    0.0199       0.1130       0.0000       
3513.8750    47.1112      22.6951      1.1843       23.9245      47.3645      45.9711      1273.3186    1773.5227    0.0208       0.0995       0.0000       
3514.0000    47.1087      22.7291      1.1524       24.6888      47.3612      46.2892      1322.0933    2088.7695    0.0208       0.1049       0.0000       
3514.1250    47.0580      22.7328      1.1515       23.8380      47.2932      46.2904      1807.8230    2358.8132    0.0203       0.0988       0.0000       
3514.2500    46.9588      22.7363      1.1501       21.5616      47.1601      46.1648      2910.6499    2777.9482    0.0194       0.0826       0.0000       
3514.3750    46.8598      22.7389      1.1179       18.6205      47.0272      46.0392      3998.6023    3870.1011    0.0184       0.0616       0.0000       
3514.5000    46.7611      22.7102      1.1171       16.9134      46.8947      45.9778      4934.1733    4171.2798    0.0174       0.0494       0.0000       
3514.6250    46.6616      22.6816      1.1158       19.9589      46.7613      45.9778      4958.5146    3854.0510    0.0165       0.0711       0.0000       
3514.7500    46.6116      22.6841      1.1145       23.3851      46.6942      45.9165      3837.0881    3511.4478    0.0160       0.0956       0.0000       
3514.8750    46.5609      22.6873      1.1135       25.7650      46.6262      45.9170      2605.5420    2667.0483    0.0155       0.1126       0.0000       
3515.0000    46.6065      22.6906      1.1121       24.5340      46.6873      45.9179      1942.3445    2441.3953    0.0159       0.1038       0.0000       
3515.1250    46.6043      22.6932      1.1110       25.8689      46.6844      45.9197      1942.8948    2308.9792    0.0159       0.1133       0.0000       
3515.2500    46.5044      22.6958      1.0793       28.1542      46.5503      45.9206      1846.1128    2074.5383    0.0149       0.1297       0.0000       
3515.3750    46.4549      22.6991      1.0477       27.9686      46.4839      45.9848      1620.4619    2133.9900    0.0145       0.1283       0.0000       
3515.5000    46.1628      22.6708      1.0162       24.9315      46.0919      45.9866      1518.2985    1847.1124    0.0116       0.1067       0.0000       
3515.6250    46.4017      22.6419      1.0148       22.3700      46.4126      45.9878      1345.1792    1644.1112    0.0139       0.0884       0.0000       
3515.7500    46.6407      22.6448      1.0134       22.3745      46.7332      46.0521      1137.4662    1584.2366    0.0163       0.0884       0.0000       
3515.8750    46.8314      22.6481      1.0427       23.8995      46.9890      46.1166      1327.1669    1848.4453    0.0181       0.0993       0.0000       
3516.0000    46.7804      22.6513      1.1020       24.1891      46.9207      46.1812      1892.5657    2270.3044    0.0176       0.1014       0.0000       
3516.1250    46.5851      22.6222      1.1310       24.7637      46.6586      46.2461      3345.0667    2867.6079    0.0157       0.1055       0.0000       
3516.2500    46.4863      22.5939      1.1602       25.3380      46.5261      46.3101      4070.3123    3795.1660    0.0148       0.1096       0.0000       
3516.3750    46.5800      22.5968      1.2497       27.7183      46.6517      46.3115      4090.3940    3708.4988    0.0157       0.1266       0.0000       
3516.5000    46.7707      22.6006      1.3091       26.2027      46.9076      46.3755      1586.6519    2158.9346    0.0175       0.1157       0.0000       
3516.6250    46.9618      22.6037      1.3983       24.4960      47.1641      46.3767      1233.5736    1758.6355    0.0194       0.1035       0.0000       
3516.7500    46.8143      22.6054      1.4581       23.1704      46.9662      46.4418      1205.4398    1817.4944    0.0180       0.0941       0.0000       
3516.8750    46.6668      22.6086      1.5174       24.6946      46.7682      46.4424      1145.3966    1663.7285    0.0165       0.1050       0.0000       
3517.0000    46.5678      22.5801      1.4859       24.1288      46.6354      46.4445      1048.4941    1558.9227    0.0156       0.1009       0.0000       
3517.1250    46.6144      22.5516      1.4542       24.7985      46.6979      46.4448      1229.1040    1818.8998    0.0160       0.1057       0.0000       
3517.2500    46.8531      22.5239      1.3622       24.0427      47.0182      46.4459      1288.1134    1688.4883    0.0183       0.1003       0.0000       
3517.3750    47.1406      22.4956      1.1791       22.8117      47.4040      46.4471      1099.4606    1495.9324    0.0211       0.0915       0.0000       
3517.5000    47.3795      22.4974      1.0263       24.8119      47.7246      46.3852      965.0319     1369.3746    0.0234       0.1058       0.0000       
3517.6250    47.2808      22.5009      0.9644       26.3365      47.5921      46.3232      883.3904     1503.7446    0.0225       0.1167       0.0000       
3517.7500    47.0850      22.5044      0.9325       26.1509      47.3294      46.3241      970.0236     1658.9348    0.0206       0.1154       0.0000       
3517.8750    46.9863      22.5062      0.9012       23.2092      47.1969      46.1982      1202.5665    1908.7784    0.0196       0.0944       0.0000       
3518.0000    46.7905      22.4781      0.8690       21.5985      46.9342      46.0726      1667.5114    2206.2920    0.0177       0.0828       0.0000       
3518.1250    46.6915      22.4816      0.8681       20.7476      46.8013      45.9467      2377.9180    2799.7544    0.0168       0.0768       0.0000       
3518.2500    46.7376      22.5151      0.8367       22.8420      46.8632      45.8210      3060.0767    3343.7483    0.0172       0.0917       0.0000       
3518.3750    46.7832      22.5178      0.8354       22.7514      46.9244      45.6954      2762.2544    3118.6033    0.0177       0.0911       0.0000       
3518.5000    46.8293      22.5213      0.8038       22.0906      46.9862      45.8868      2636.9395    3361.1052    0.0181       0.0864       0.0000       
3518.6250    46.8753      22.5239      0.8024       21.9054      47.0481      45.9516      3120.1206    3393.4844    0.0186       0.0850       0.0000       
3518.7500    46.9212      22.5265      0.8010       20.1987      47.1096      45.9525      3106.4714    3106.3931    0.0190       0.0728       0.0000       
3518.8750    46.8220      22.5299      0.8001       21.3437      46.9764      45.8903      2870.2507    3165.6421    0.0180       0.0810       0.0000       
3519.0000    46.6264      22.5331      0.7988       22.2980      46.7140      45.8281      3093.4373    3380.1941    0.0161       0.0878       0.0000       
3519.1250    46.4311      22.5369      0.7970       20.1175      46.4520      45.7664      2967.1379    3334.1470    0.0142       0.0723       0.0000       
3519.2500    46.2355      22.5399      0.7960       18.3154      46.1896      45.7039      2690.8230    3197.7739    0.0123       0.0594       0.0000       
3519.3750    46.0885      22.5422      0.7947       16.5141      45.9923      45.7048      2604.9614    3095.8140    0.0109       0.0465       0.0000       
3519.5000    46.0376      22.5460      0.7938       18.7995      45.9240      45.7060      2498.4807    2927.9954    0.0104       0.0629       0.0000       
3519.6250    46.1317      22.5491      0.7919       20.5142      46.0502      45.7705      2362.9827    2847.8203    0.0113       0.0751       0.0000       
3519.7500    46.1778      22.5514      0.7911       19.4732      46.1121      45.8348      2594.8320    3055.0513    0.0117       0.0677       0.0000       
3519.8750    46.1753      22.5544      0.7899       20.4280      46.1088      46.0262      2375.1938    2916.7571    0.0117       0.0745       0.0000       
3520.0000    46.2212      22.3762      0.7883       21.3833      46.1703      46.1547      2267.5020    2836.6733    0.0122       0.0813       0.0000       
3520.1250    46.2229      22.2320      0.7888       21.2992      46.1727      46.2187      2462.7935    2926.7996    0.0122       0.0807       0.0000       
3520.2500    46.0756      22.3010      0.7872       21.5896      45.9750      46.4107      2846.8574    3259.2188    0.0107       0.0828       0.0000       
3520.3750    46.2178      22.3680      0.7854       21.2157      46.1657      46.4747      2874.5620    2942.3733    0.0121       0.0801       0.0000       
3520.5000    46.3114      22.4351      0.7532       22.2672      46.2913      46.5392      3246.3794    3201.2781    0.0131       0.0876       0.0000       
3520.6250    46.4538      22.5343      0.7213       20.3711      46.4824      46.6038      3752.5151    3700.3845    0.0145       0.0741       0.0000       
3520.7500    46.4028      22.6020      0.7497       22.1842      46.4140      46.5416      3372.0742    3435.6870    0.0140       0.0870       0.0000       
3520.8750    46.2552      22.6054      0.7784       24.1852      46.2159      46.5430      4504.2266    3989.9080    0.0125       0.1013       0.0000       
3521.0000    46.1561      22.6084      0.8370       24.4762      46.0830      46.4805      6543.5806    4765.1860    0.0115       0.1034       0.0000       
3521.1250    46.1051      22.6440      0.8965       25.5271      46.0146      46.4820      6545.7041    5160.1938    0.0110       0.1109       0.0000       
3521.2500    46.2950      22.6798      0.9555       27.5292      46.2694      46.4829      4551.1743    4050.3335    0.0129       0.1252       0.0000       
3521.3750    46.4372      22.6832      1.0448       26.7750      46.4601      46.5480      2764.2097    2950.7024    0.0143       0.1198       0.0000       
3521.5000    46.4835      22.6866      1.1338       25.2592      46.5224      46.5486      2578.3772    2791.1099    0.0147       0.1090       0.0000       
3521.6250    46.5286      22.6901      1.1623       24.4100      46.5828      46.6772      2427.4868    2591.2632    0.0152       0.1029       0.0000       
3521.7500    46.4781      22.6937      1.1306       22.6084      46.5150      46.6778      2417.0547    2741.3889    0.0147       0.0901       0.0000       
3521.8750    46.3305      22.6975      1.0379       21.8537      46.3170      46.7423      3038.6692    3124.8962    0.0132       0.0847       0.0000       
3522.0000    46.2795      22.6697      0.9752       20.9094      46.2486      46.7441      3562.1858    3629.1282    0.0127       0.0779       0.0000       
3522.1250    46.4697      22.6418      0.9129       23.4813      46.5037      46.7444      3215.8716    3230.9041    0.0146       0.0963       0.0000       
3522.2500    46.5641      22.6454      0.9111       24.0575      46.6304      46.6188      3564.7407    3402.3113    0.0155       0.1004       0.0000       
3522.3750    46.7062      22.6495      0.9091       23.6824      46.8211      46.3663      3914.4924    3633.0352    0.0169       0.0977       0.0000       
3522.5000    46.7518      22.6532      0.9679       20.3610      46.8823      46.2407      4400.1348    3952.7341    0.0174       0.0740       0.0000       
3522.6250    46.6522      22.6568      1.0270       21.6026      46.7486      46.1151      5015.8970    4200.9985    0.0164       0.0829       0.0000       
3522.7500    46.4563      22.6606      1.0553       22.3689      46.4858      46.1163      5040.9761    4222.4551    0.0145       0.0883       0.0000       
3522.8750    46.3087      22.6638      1.0542       24.7512      46.2878      46.2442      4768.1558    4344.1484    0.0130       0.1054       0.0000       
3523.0000    46.1614      22.6353      0.9004       24.6614      46.0901      46.4362      4573.8071    3995.2209    0.0116       0.1047       0.0000       
3523.1250    45.9658      22.5766      0.6863       22.0054      45.8276      46.4368      3270.3040    3316.3794    0.0097       0.0858       0.0000       
