WELLNAME = well121
STDEP  =  3000.0000    
ENDEP  =  4019.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          CNL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3005.6250    63.1315      22.8223      13.5616      147.9331     52.4118      12.4829      15.3872      14.9756      0.0000       0.0000       0.0000       0.0000       
3005.7500    67.0852      22.7899      14.7518      156.5440     53.4200      11.8732      17.1226      16.5725      0.0000       0.0000       0.0000       0.0000       
3005.8750    71.2203      22.6747      15.3352      156.0064     54.4745      12.1143      20.9475      19.6186      0.0000       0.0000       0.0000       0.0000       
3006.0000    73.5782      22.5089      13.8184      146.7750     55.0758      12.5331      23.7766      23.1959      0.0000       0.0000       0.0000       0.0000       
3006.1250    68.1382      22.3684      12.8488      122.0225     53.6885      12.3551      27.8764      26.9682      0.0000       0.0000       0.0000       0.0000       
3006.2500    64.0582      22.2599      11.7781      109.5472     52.6481      12.1518      32.6433      31.3671      0.0000       0.0000       0.0000       0.0000       
3006.3750    62.0274      22.1384      11.2013      101.9685     52.1302      11.8342      35.9774      35.5326      0.0000       0.0000       0.0000       0.0000       
3006.5000    62.8439      22.0869      10.8565      95.1840      52.3384      11.6943      37.3534      39.5346      0.0000       0.0000       0.0000       0.0000       
3006.6250    61.5385      22.0417      10.3511      89.1728      52.0056      12.1638      43.3741      44.1160      0.0000       0.0000       0.0000       0.0000       
3006.7500    59.5077      22.0663      9.8872       82.7452      51.4877      12.4050      47.5836      47.6692      0.0000       0.0000       0.0000       0.0000       
3006.8750    58.0028      22.0781      9.2866       78.4000      51.1039      12.9634      49.6196      49.8938      0.0000       0.0000       0.0000       0.0000       
3007.0000    57.6768      22.1153      8.5550       80.8378      51.0208      13.3822      50.3926      50.8086      0.0000       0.0000       0.0000       0.0000       
3007.1250    57.5864      22.1463      9.3943       80.5383      50.9977      14.3850      50.2972      50.2527      0.0000       0.0000       0.0000       0.0000       
3007.2500    57.0427      22.1710      8.9304       78.9303      50.8591      14.9816      46.7134      48.1403      0.0000       0.0000       0.0000       0.0000       
3007.3750    56.8435      22.2146      8.3654       78.7499      50.8083      15.6162      42.3260      43.2312      0.0000       0.0000       0.0000       0.0000       
3007.5000    57.6963      22.2454      7.9670       79.3433      51.0258      15.7176      38.6187      38.5322      0.0000       0.0000       0.0000       0.0000       
3007.6250    57.9869      22.2891      8.1517       81.8405      51.0999      15.5905      34.3674      33.2745      0.0000       0.0000       0.0000       0.0000       
3007.7500    57.9871      22.3390      7.9735       85.5278      51.0999      15.3108      30.3059      30.1682      0.0000       0.0000       0.0000       0.0000       
3007.8750    58.8943      22.4081      8.2475       89.6910      51.3313      15.3108      27.7133      27.1572      0.0000       0.0000       0.0000       0.0000       
3008.0000    60.1460      22.4835      8.9439       94.1518      51.6505      15.6661      23.9268      24.2333      0.0000       0.0000       0.0000       0.0000       
3008.1250    61.0894      22.5397      9.3786       98.8509      51.8910      15.9834      24.9564      22.4943      0.0000       0.0000       0.0000       0.0000       
3008.2500    61.0353      22.5707      8.9623       102.3003     51.8772      15.6023      26.9311      25.3104      0.0000       0.0000       0.0000       0.0000       
3008.3750    60.4191      22.6142      8.3795       98.6691      51.7201      15.1450      29.8095      28.1111      0.0000       0.0000       0.0000       0.0000       
3008.5000    59.7484      22.6262      8.4690       94.6808      51.5491      14.9671      32.9596      33.0632      0.0000       0.0000       0.0000       0.0000       
3008.6250    62.4329      22.6254      8.6954       92.2394      52.2336      15.4747      38.2956      40.9880      0.0000       0.0000       0.0000       0.0000       
3008.7500    61.9073      22.6246      8.5945       88.2511      52.0996      15.8682      46.3564      49.5056      0.0000       0.0000       0.0000       0.0000       
3008.8750    59.6769      22.6047      8.3270       83.9056      51.5308      16.1855      57.3943      58.1929      0.0000       0.0000       0.0000       0.0000       
3009.0000    56.9567      22.5977      7.9048       79.8577      50.8372      16.7440      48.9986      51.2326      0.0000       0.0000       0.0000       0.0000       
3009.1250    56.0865      22.5778      8.0598       76.4047      50.6153      17.3279      30.1165      34.1294      0.0000       0.0000       0.0000       0.0000       
3009.2500    55.4884      22.5707      8.6313       79.1397      50.4627      17.4674      17.9428      19.3862      0.0000       0.0000       0.0000       0.0000       
3009.3750    54.7270      22.5509      8.3697       81.1019      50.2686      16.2610      15.1673      15.1692      0.0000       0.0000       0.0000       0.0000       
3009.5000    56.2870      22.5246      9.5244       83.8373      50.6664      12.4388      14.7408      15.4604      0.0000       0.0000       0.0000       0.0000       
3009.6250    76.8365      22.5175      12.3392      87.2867      55.9066      12.7561      19.0471      20.2502      0.0000       0.0000       0.0000       0.0000       
3009.7500    75.9664      22.5167      14.4697      90.4981      55.6847      13.0861      25.9006      27.7076      0.0000       0.0000       0.0000       0.0000       
3009.8750    73.8629      22.5159      15.0532      92.8768      55.1483      13.7080      37.0450      37.6663      0.0000       0.0000       0.0000       0.0000       
3010.0000    66.5359      22.4961      14.0717      88.6501      53.2799      14.2285      47.5563      48.2982      0.0000       0.0000       0.0000       0.0000       
3010.1250    59.7529      22.4698      12.3046      84.6022      51.5502      14.9394      44.9372      49.3977      0.0000       0.0000       0.0000       0.0000       
3010.2500    54.3665      22.4436      9.6153       78.2929      50.1767      14.9391      42.3272      48.0159      0.0000       0.0000       0.0000       0.0000       
3010.3750    57.4865      22.4366      10.2463      85.0153      50.9723      14.6850      37.6354      45.1015      0.0000       0.0000       0.0000       0.0000       
3010.5000    60.4251      22.3978      11.6093      91.2616      51.7216      14.5197      32.0231      38.0895      0.0000       0.0000       0.0000       0.0000       
3010.6250    62.5475      22.3462      12.3594      98.1625      52.2629      14.7989      24.2636      28.5216      0.0000       0.0000       0.0000       0.0000       
3010.7500    62.4572      22.2563      13.0856      99.7078      52.2398      15.0400      17.2061      16.9939      0.0000       0.0000       0.0000       0.0000       
3010.8750    61.5144      22.1921      12.1874      96.8499      51.9994      14.1764      13.4994      14.2078      0.0000       0.0000       0.0000       0.0000       
3011.0000    66.9561      22.1405      10.8904      100.8351     53.3871      10.9255      12.1793      13.0327      0.0000       0.0000       0.0000       0.0000       
3011.1250    75.9347      22.0699      12.3129      104.7014     55.6767      11.4078      11.9599      12.5508      0.0000       0.0000       0.0000       0.0000       
3011.2500    78.3474      22.0120      14.0627      109.0440     56.2919      11.9536      14.1375      14.4040      0.0000       0.0000       0.0000       0.0000       
3011.3750    77.5679      21.9603      15.3306      114.2195     56.0931      12.8169      17.5666      17.3980      0.0000       0.0000       0.0000       0.0000       
3011.5000    70.9117      21.9780      15.2713      109.1596     54.3958      13.0452      21.5302      21.1749      0.0000       0.0000       0.0000       0.0000       
3011.6250    65.3437      21.9462      13.2662      98.6251      52.9759      12.8927      24.8566      24.2514      0.0000       0.0000       0.0000       0.0000       
3011.7500    58.1977      21.9454      11.7431      89.5186      51.1536      12.5496      28.2097      27.8815      0.0000       0.0000       0.0000       0.0000       
3011.8750    59.7035      21.9446      10.5353      82.4950      51.5376      12.3971      30.7140      31.3429      0.0000       0.0000       0.0000       0.0000       
3012.0000    59.7220      21.9438      9.8869       77.9108      51.5423      12.1556      32.7053      34.7101      0.0000       0.0000       0.0000       0.0000       
3012.1250    58.8879      21.9621      9.8039       77.1952      51.3296      12.0666      30.2628      34.0201      0.0000       0.0000       0.0000       0.0000       
3012.2500    57.6186      21.9676      9.0960       79.1566      51.0060      11.9648      26.8745      30.5648      0.0000       0.0000       0.0000       0.0000       
3012.3750    58.1631      21.9478      9.3046       81.7137      51.1448      12.1804      23.6480      27.5151      0.0000       0.0000       0.0000       0.0000       
3012.5000    59.7597      21.9025      9.5429       83.8548      51.5519      12.4342      21.2972      24.4278      0.0000       0.0000       0.0000       0.0000       
3012.6250    60.8665      21.8890      10.1918      87.5426      51.8342      12.6627      20.2474      22.3127      0.0000       0.0000       0.0000       0.0000       
3012.7500    61.8644      21.8501      10.9122      91.8851      52.0887      12.9799      19.7701      20.8668      0.0000       0.0000       0.0000       0.0000       
3012.8750    62.7899      21.7985      10.1686      91.9430      52.3247      12.7258      20.1209      21.6285      0.0000       0.0000       0.0000       0.0000       
3013.0000    63.0805      21.7660      10.2998      90.0369      52.3988      12.3954      21.6432      23.3953      0.0000       0.0000       0.0000       0.0000       
3013.1250    62.4459      21.6827      9.8121       93.4870      52.2370      12.1031      24.0972      25.8714      0.0000       0.0000       0.0000       0.0000       
3013.2500    61.7208      21.5994      9.3779       89.3194      52.0520      12.0267      26.2263      29.0458      0.0000       0.0000       0.0000       0.0000       
3013.3750    60.7054      21.5033      8.9319       84.6758      51.7931      12.4329      28.6559      31.6213      0.0000       0.0000       0.0000       0.0000       
3013.5000    59.9801      21.4010      8.4977       80.9844      51.6082      12.8898      30.9956      33.4714      0.0000       0.0000       0.0000       0.0000       
3013.6250    58.8377      21.2986      8.0695       80.8039      51.3168      13.0674      33.3406      36.2410      0.0000       0.0000       0.0000       0.0000       
3013.7500    57.9492      21.1962      7.3675       80.0882      51.0903      13.2324      35.9057      39.1598      0.0000       0.0000       0.0000       0.0000       
3013.8750    57.0063      21.1129      6.6953       76.4562      50.8498      13.7020      38.1708      41.1776      0.0000       0.0000       0.0000       0.0000       
3014.0000    56.9886      21.0169      6.1123       73.0621      50.8453      13.8670      40.1293      41.9701      0.0000       0.0000       0.0000       0.0000       
3014.1250    56.8256      20.9526      5.4520       70.1443      50.8037      14.2097      38.4092      40.4599      0.0000       0.0000       0.0000       0.0000       
3014.2500    56.2818      20.9200      4.8214       67.3452      50.6651      14.8317      35.9908      38.7214      0.0000       0.0000       0.0000       0.0000       
3014.3750    55.8649      20.9129      4.7919       64.6056      50.5588      15.0475      34.2216      36.5509      0.0000       0.0000       0.0000       0.0000       
3014.5000    55.3392      20.8929      5.5123       66.7464      50.4247      15.3521      37.1132      34.8812      0.0000       0.0000       0.0000       0.0000       
3014.6250    55.9018      20.8857      5.8220       67.3994      50.5682      15.7202      56.5916      44.2614      0.0000       0.0000       0.0000       0.0000       
3014.7500    59.3669      20.8660      5.5069       66.1479      51.4518      16.0630      80.2700      59.7147      0.0000       0.0000       0.0000       0.0000       
3014.8750    57.8798      20.8589      5.7988       67.5743      51.0726      16.5454      102.9941     77.6372      0.0000       0.0000       0.0000       0.0000       
3015.0000    56.3382      20.8580      5.3170       64.9539      50.6795      17.0024      119.4958     104.7711     0.0000       0.0000       0.0000       0.0000       
3015.1250    55.0687      20.8382      4.7935       60.9050      50.3557      17.5737      114.9374     93.3367      0.0000       0.0000       0.0000       0.0000       
3015.2500    53.7086      20.8502      3.9427       58.4631      50.0089      18.0308      33.0815      31.9265      0.0000       0.0000       0.0000       0.0000       
3015.3750    52.6749      20.8748      3.2228       61.4368      49.7453      17.9544      21.1419      24.1975      0.0000       0.0000       0.0000       0.0000       
3015.5000    51.9859      20.8993      3.1516       65.0060      49.5696      16.6080      18.4607      21.9937      0.0000       0.0000       0.0000       0.0000       
3015.6250    53.2379      20.8858      3.7887       69.6465      49.8888      15.5791      16.3713      19.1054      0.0000       0.0000       0.0000       0.0000       
3015.7500    56.3946      20.8787      4.5745       75.1202      50.6938      14.2454      14.5441      16.9294      0.0000       0.0000       0.0000       0.0000       
3015.8750    61.4199      20.8207      5.3068       79.9391      51.9753      15.1088      24.1560      22.7929      0.0000       0.0000       0.0000       0.0000       
3016.0000    60.9849      20.7818      4.3013       80.4731      51.8644      15.2103      32.5014      34.3109      0.0000       0.0000       0.0000       0.0000       
3016.1250    58.5363      20.7365      2.8851       63.7472      51.2400      14.2830      41.2789      54.2995      0.0000       0.0000       0.0000       0.0000       
3016.2500    56.4141      20.7040      1.4271       56.1273      50.6988      13.5208      54.3517      78.4308      0.0000       0.0000       0.0000       0.0000       
3016.3750    55.1809      20.6778      1.5464       50.3523      50.3843      13.8000      154.9084     124.3657     0.0000       0.0000       0.0000       0.0000       
3016.5000    57.5033      20.6706      0.6777       48.6243      50.9765      14.7650      558.6877     310.0258     0.0000       0.0000       0.0000       0.0000       
3016.6250    55.8528      20.6889      -0.2029      44.7539      50.5557      15.6285      820.4000     694.1846     0.0000       0.0000       0.0000       0.0000       
3016.7500    51.9347      20.6944      -0.2503      40.2880      49.5565      16.7967      868.4410     1040.6682    0.0000       0.0000       0.0000       0.0000       
3016.8750    47.6537      20.7508      -0.0596      35.1081      48.4648      17.3301      944.1115     1049.5665    0.0000       0.0000       0.0000       0.0000       
3017.0000    48.6518      20.8262      0.0538       35.4631      48.7194      18.1935      1054.4255    1152.2358    0.0000       0.0000       0.0000       0.0000       
3017.1250    50.9923      20.8825      0.1075       40.0442      49.3162      19.0190      682.9413     720.4091     0.0000       0.0000       0.0000       0.0000       
3017.2500    50.9201      20.9134      0.1732       44.8631      49.2978      21.2923      115.9847     187.4765     0.0000       0.0000       0.0000       0.0000       
3017.3750    49.9770      20.9380      0.2925       48.4920      49.0573      22.4225      51.7608      69.2777      0.0000       0.0000       0.0000       0.0000       
3017.5000    48.8344      20.9627      0.7034       52.8351      48.7659      22.1556      39.4242      49.4201      0.0000       0.0000       0.0000       0.0000       
3017.6250    49.8144      20.9682      1.3108       57.8328      49.0158      21.7110      29.2276      40.5571      0.0000       0.0000       0.0000       0.0000       
3017.7500    55.2753      20.9865      2.1681       64.4376      50.4084      21.3552      25.5668      36.0293      0.0000       0.0000       0.0000       0.0000       
3017.8750    58.1601      20.9920      3.2754       73.6613      51.1441      20.8342      25.2362      36.2927      0.0000       0.0000       0.0000       0.0000       
3018.0000    61.7526      20.9911      4.0435       81.7543      52.0601      20.5166      24.5656      39.0035      0.0000       0.0000       0.0000       0.0000       
3018.1250    63.8211      20.9903      3.6747       85.0259      52.5876      20.2370      19.2194      34.3596      0.0000       0.0000       0.0000       0.0000       
3018.2500    60.5015      20.9704      3.3536       81.8697      51.7411      19.4112      12.4659      25.3639      0.0000       0.0000       0.0000       0.0000       
3018.3750    56.4017      20.9632      2.9610       78.8920      50.6957      18.4331      11.7649      17.7141      0.0000       0.0000       0.0000       0.0000       
3018.5000    55.4768      20.9434      2.7588       82.2233      50.4598      16.2229      13.5624      20.6814      0.0000       0.0000       0.0000       0.0000       
3018.6250    60.2123      20.8790      2.9377       90.0189      51.6674      15.0160      18.3583      26.8287      0.0000       0.0000       0.0000       0.0000       
3018.7500    62.6618      20.8020      3.6641       97.2788      52.2920      13.9362      44.8348      39.9847      0.0000       0.0000       0.0000       0.0000       
3018.8750    59.3603      20.7442      3.7536       101.0270     51.4501      12.2339      116.0065     71.9581      0.0000       0.0000       0.0000       0.0000       
3019.0000    54.3897      20.6736      2.3075       84.4782      50.1826      12.7037      274.1594     634.5505     0.0000       0.0000       0.0000       0.0000       
3019.1250    51.8138      20.5775      0.6054       70.9650      49.5257      13.2116      2016.6177    2108.1870    0.0000       0.0000       0.0000       0.0000       
3019.2500    49.9091      20.4751      -0.4539      45.7853      49.0400      13.7322      2137.6333    2765.5757    0.0000       0.0000       0.0000       0.0000       
3019.3750    48.8935      20.3919      -0.8167      35.1289      48.7810      14.2401      1810.0327    2141.8799    0.0000       0.0000       0.0000       0.0000       
3019.5000    49.7102      20.3148      -0.9117      30.4841      48.9893      14.9639      1231.6995    1255.5045    0.0000       0.0000       0.0000       0.0000       
3019.6250    48.6763      20.2949      -0.9710      34.1131      48.7256      15.3702      652.2051     821.8546     0.0000       0.0000       0.0000       0.0000       
3019.7500    49.0395      20.2942      -1.0541      36.0158      48.8182      15.8654      531.3579     660.8699     0.0000       0.0000       0.0000       0.0000       
3019.8750    49.4571      20.3315      -1.0955      33.6920      48.9247      16.2082      468.3011     552.1414     0.0000       0.0000       0.0000       0.0000       
3020.0000    49.6309      20.1790      -0.9640      33.8422      48.9691      16.9521      358.6335     451.5384     0.0000       0.0000       0.0000       0.0000       
3020.1250    50.5736      20.0856      -0.7851      34.1390      49.2094      17.4722      271.1524     341.5797     0.0000       0.0000       0.0000       0.0000       
3020.2500    50.5555      20.0346      -0.6542      34.3169      49.2048      18.0939      324.2620     350.0825     0.0000       0.0000       0.0000       0.0000       
3020.3750    49.7941      20.0217      -0.5174      34.3759      49.0107      18.3603      372.7136     433.7544     0.0000       0.0000       0.0000       0.0000       
3020.5000    49.6310      20.0215      -0.3924      34.5539      48.9691      18.7790      335.9530     389.8292     0.0000       0.0000       0.0000       0.0000       
3020.6250    50.0842      20.0213      -0.2734      36.3972      49.0846      19.3372      411.9893     439.1685     0.0000       0.0000       0.0000       0.0000       
3020.7500    50.6281      20.0211      -0.1664      39.0137      49.2233      19.7051      623.7913     596.8884     0.0000       0.0000       0.0000       0.0000       
3020.8750    50.9726      20.0209      -0.0533      40.5000      49.3112      20.2253      868.7140     797.1211     0.0000       0.0000       0.0000       0.0000       
3021.0000    51.2083      20.0397      0.0062       39.1912      49.3713      20.8723      947.5872     1060.6702    0.0000       0.0000       0.0000       0.0000       
3021.1250    50.8276      20.0459      -0.2317      38.2391      49.2742      21.1007      655.6696     726.9329     0.0000       0.0000       0.0000       0.0000       
3021.2500    49.9393      20.0647      -0.3030      39.4281      49.0477      21.5955      522.4489     616.3317     0.0000       0.0000       0.0000       0.0000       
3021.3750    49.7580      20.0709      -0.0175      41.5093      49.0015      22.1537      478.5823     538.1735     0.0000       0.0000       0.0000       0.0000       
3021.5000    50.3019      20.0897      0.1728       43.2337      49.1402      22.6485      437.2199     503.6740     0.0000       0.0000       0.0000       0.0000       
3021.6250    50.6645      20.0768      0.4584       45.1365      49.2326      23.1306      471.5150     572.0252     0.0000       0.0000       0.0000       0.0000       
