WELLNAME = well79
STDEP  =  3940.0000    
ENDEP  =  5121.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH1

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH1         
3940.0000    51.7977      23.1980      47.3528      7.8694       -99999.0000  -99999.0000  0.0000       136.4052     0.0000       
3940.1250    52.1599      23.2044      44.7749      7.3279       34.8382      48.2377      0.0000       135.9049     0.0000       
3940.2500    52.5796      23.2096      43.7407      7.8373       36.0409      56.1445      0.0000       135.3427     0.0000       
3940.3750    53.0002      23.1906      42.0239      8.1314       36.8000      52.7016      0.0000       134.8747     0.0000       
3940.5000    54.3668      23.1958      37.6462      8.0074       42.4344      62.4432      0.0000       134.4068     0.0000       
3940.6250    53.7844      23.2010      38.7157      7.7188       58.7233      77.0950      0.0000       133.9391     0.0000       
3940.7500    52.8142      23.2062      29.4222      7.2910       105.4052     104.1311     0.0000       133.5496     0.0000       
3940.8750    51.7476      23.2880      18.9632      6.9647       223.9173     211.6938     0.0000       133.0816     0.0000       
3941.0000    51.0292      23.4215      18.4631      7.5636       1618.9343    3832.2148    0.0000       132.6129     0.0000       
3941.1250    50.3302      23.5539      19.8364      7.9964       2431.2090    5400.5127    0.0000       131.9871     0.0000       
3941.2500    49.7276      23.6599      21.5908      8.4814       1877.1821    3949.8123    0.0000       131.3608     0.0000       
3941.3750    49.0855      23.7923      23.4712      8.7496       500.6038     1161.0637    0.0000       130.8127     0.0000       
3941.5000    48.4636      23.8994      25.3516      9.1716       225.6357     472.1616     0.0000       130.2332     0.0000       
3941.6250    49.2320      23.9811      26.4976      9.4528       159.9583     305.1206     0.0000       129.4972     0.0000       
3941.7500    50.7529      24.0629      23.0576      9.6966       168.3096     295.1357     0.0000       128.8868     0.0000       
3941.8750    52.2353      24.0681      21.5681      9.8632       208.6334     357.0489     0.0000       128.4652     0.0000       
3942.0000    53.5242      24.0739      20.4084      10.0944      300.9713     481.0711     0.0000       127.9027     0.0000       
3942.1250    55.6438      24.0042      20.9461      10.2999      497.7901     851.1727     0.0000       127.3865     0.0000       
3942.2500    57.2034      23.9588      22.1427      10.5440      573.6503     1138.3595    0.0000       126.9657     0.0000       
3942.3750    54.3027      23.9134      23.6444      10.6983      573.3823     1073.7327    0.0000       126.4675     0.0000       
3942.5000    53.1791      23.8437      24.3587      10.9547      554.6442     860.4843     0.0000       126.0154     0.0000       
