WELLNAME = well94
STDEP  =  3100.0000    
ENDEP  =  3829.1688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH1

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH1         
3100.0000    51.1035      21.8627      26.1230      26.1336      6143.9424    3604.6604    0.0000       77.8687      0.0000       
3100.1250    50.6586      21.8058      27.9734      26.2287      5838.4419    2620.4685    0.0000       77.9335      0.0000       
3100.2500    50.3417      21.8186      29.2942      26.7865      4271.4961    2631.6575    0.0000       77.9976      0.0000       
3100.3750    51.3619      21.8439      28.2743      27.1421      5350.7500    3290.7700    0.0000       78.0933      0.0000       
3100.5000    52.5250      21.9325      27.6994      27.5993      6988.2876    3234.7075    0.0000       78.1571      0.0000       
3100.6250    53.0853      22.0592      30.5909      28.0311      5813.1533    2420.2036    0.0000       78.1577      0.0000       
3100.7500    53.0466      22.2363      32.6719      28.5135      2405.5081    1020.1644    0.0000       78.0953      0.0000       
3100.8750    54.0049      22.4386      32.8166      29.0964      407.2330     302.2827     0.0000       78.2229      0.0000       
3101.0000    53.8619      22.6282      31.0767      29.0458      243.0498     310.2969     0.0000       78.3504      0.0000       
3101.1250    53.3981      22.6023      34.1924      28.9715      265.9627     327.4593     0.0000       78.5096      0.0000       
3101.2500    52.8223      22.5267      32.9756      29.5297      292.6508     342.6899     0.0000       78.6687      0.0000       
3101.3750    53.7227      22.5142      34.4224      29.6308      275.6681     329.6901     0.0000       78.8278      0.0000       
3101.5000    54.5302      22.5014      32.9954      29.5044      187.1980     224.3395     0.0000       78.9237      0.0000       
3101.6250    54.2597      22.4762      30.5112      29.3267      145.8356     190.3090     0.0000       79.0828      0.0000       
3101.7500    52.5131      22.4509      28.9659      28.7690      143.1606     210.5912     0.0000       79.2737      0.0000       
3101.8750    51.2688      22.4258      28.7706      28.4665      190.2455     322.4932     0.0000       79.4328      0.0000       
3102.0000    53.4095      22.4384      31.0524      28.6448      313.7247     440.6621     0.0000       79.5285      0.0000       
3102.1250    52.9882      22.4384      30.2830      28.8734      582.9139     633.3923     0.0000       79.4975      0.0000       
3102.2500    52.4743      22.4385      29.1555      29.0770      557.5049     598.8284     0.0000       79.5934      0.0000       
3102.3750    51.8947      22.4385      32.4681      29.4072      804.2657     849.7607     0.0000       79.7527      0.0000       
3102.5000    52.1651      22.4005      29.7773      29.6867      1167.7728    1351.2260    0.0000       79.9117      0.0000       
3102.6250    52.7215      22.3752      29.1265      29.9414      1528.9039    1631.5182    0.0000       80.0390      0.0000       
3102.7500    52.0569      22.3499      30.3186      30.2715      3516.7803    1872.2161    0.0000       80.0398      0.0000       
3102.8750    51.4038      22.2994      30.1415      30.6523      4199.2607    2331.6411    0.0000       80.1038      0.0000       
3103.0000    51.7979      22.2488      31.8440      31.0587      4844.6943    3509.6724    0.0000       80.1678      0.0000       
3103.1250    51.5545      22.1983      32.2644      31.4140      5830.8999    4172.7749    0.0000       80.2003      0.0000       
3103.2500    51.4231      22.1730      29.5276      31.8458      5914.1860    4800.2227    0.0000       80.2327      0.0000       
3103.3750    52.1958      22.1225      27.7062      31.9986      5755.0386    6660.7275    0.0000       80.2012      0.0000       
3103.5000    51.7707      22.0972      28.9787      32.2528      6019.0649    8175.2627    0.0000       80.1070      0.0000       
3103.6250    51.7591      22.0466      30.4236      32.5829      6474.8936    5324.9907    0.0000       80.1077      0.0000       
3103.7500    52.7366      22.0088      31.9158      32.9132      7326.2417    3375.2554    0.0000       80.0449      0.0000       
3103.8750    52.9105      22.0089      30.8016      33.2181      5418.8696    2252.7644    0.0000       80.0136      0.0000       
3104.0000    52.1918      22.0469      29.9908      33.5738      3172.7908    1579.9216    0.0000       79.9192      0.0000       
3104.1250    51.5388      22.0467      31.0376      33.8533      2207.4780    1376.1378    0.0000       79.8566      0.0000       
3104.2500    51.6006      21.9962      33.1134      34.1586      1969.0795    1280.9285    0.0000       79.8574      0.0000       
3104.3750    52.4892      21.9202      31.1131      34.4633      1730.5135    1177.2648    0.0000       79.9214      0.0000       
3104.5000    52.9760      21.8445      31.9946      34.7681      1872.4486    1289.6252    0.0000       79.8898      0.0000       
3104.6250    52.6630      21.7940      29.8882      35.0980      2014.3405    1166.4744    0.0000       79.6688      0.0000       
3104.7500    52.2882      21.7054      28.4514      35.3525      1851.3074    679.1587     0.0000       79.5427      0.0000       
3104.8750    52.6436      21.6423      29.0314      35.6319      1032.8141    619.0946     0.0000       79.4800      0.0000       
3105.0000    52.2649      21.6045      28.2954      35.9619      706.6395     652.7394     0.0000       79.4172      0.0000       
3105.1250    51.8940      21.5792      28.4524      36.2417      777.2505     720.5759     0.0000       79.3864      0.0000       
3105.2500    51.7394      21.5793      29.8471      36.5720      832.3850     829.7775     0.0000       79.4187      0.0000       
3105.3750    51.7394      21.5920      31.3979      36.9023      1741.5585    2177.8652    0.0000       79.4193      0.0000       
3105.5000    51.2448      21.6426      31.4157      37.2324      3899.0195    2360.3784    0.0000       79.4200      0.0000       
