WELLNAME = well92
STDEP  =  3000.0000    
ENDEP  =  4553.7051    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR_DM, GR, K, MSFL, PE, R1, RT, RXO, SGR, SONPHI, SP, TH, U, VSH1

#DEPTH       AC           CAL          CGR_DM       GR           K            MSFL         PE           R1           RT           RXO          SGR          SONPHI       SP           TH           U            VSH1         
3004.0000    -99999.0000  23.7648      0.0000       22.0873      0.0000       0.0000       0.0000       12.7832      -99999.0000  -99999.0000  0.0000       0.0000       68.8251      0.0000       0.0000       0.0000       
3004.1250    -99999.0000  23.8274      0.0000       20.5662      0.0000       0.0000       0.0000       13.1756      -99999.0000  -99999.0000  0.0000       0.0000       68.7214      0.0000       0.0000       0.0000       
3004.2500    -99999.0000  23.8647      0.0000       18.7412      0.0000       0.0000       0.0000       13.7327      -99999.0000  -99999.0000  0.0000       0.0000       68.6254      0.0000       0.0000       0.0000       
3004.3750    -99999.0000  23.9020      0.0000       16.9414      0.0000       0.0000       0.0000       14.3467      -99999.0000  -99999.0000  0.0000       0.0000       68.5054      0.0000       0.0000       0.0000       
3004.5000    -99999.0000  23.9393      0.0000       15.5470      0.0000       0.0000       0.0000       15.0178      -99999.0000  -99999.0000  0.0000       0.0000       68.4254      0.0000       0.0000       0.0000       
3004.6250    -99999.0000  23.9639      0.0000       16.0783      0.0000       0.0000       0.0000       16.0436      -99999.0000  -99999.0000  0.0000       0.0000       68.3133      0.0000       0.0000       0.0000       
3004.7500    -99999.0000  24.0391      0.0000       17.1417      0.0000       0.0000       0.0000       16.5119      -99999.0000  -99999.0000  0.0000       0.0000       68.2334      0.0000       0.0000       0.0000       
3004.8750    -99999.0000  24.0638      0.0000       18.3318      0.0000       0.0000       0.0000       15.6247      -99999.0000  -99999.0000  0.0000       0.0000       68.1214      0.0000       0.0000       0.0000       
3005.0000    -99999.0000  24.1011      0.0000       19.3446      0.0000       0.0000       0.0000       14.3764      -99999.0000  -99999.0000  0.0000       0.0000       68.0651      0.0000       0.0000       0.0000       
3005.1250    -99999.0000  24.1510      0.0000       20.4840      0.0000       0.0000       0.0000       13.8123      -99999.0000  -99999.0000  0.0000       0.0000       67.9611      0.0000       0.0000       0.0000       
3005.2500    -99999.0000  24.2010      0.0000       21.3702      0.0000       0.0000       0.0000       13.7042      -99999.0000  -99999.0000  0.0000       0.0000       67.8811      0.0000       0.0000       0.0000       
3005.3750    -99999.0000  24.2383      0.0000       22.5856      0.0000       0.0000       0.0000       13.4567      -99999.0000  -99999.0000  0.0000       0.0000       67.7927      0.0000       0.0000       0.0000       
3005.5000    -99999.0000  24.3135      0.0000       23.3198      0.0000       0.0000       0.0000       13.0129      -99999.0000  -99999.0000  0.0000       0.0000       67.7446      0.0000       0.0000       0.0000       
