WELLNAME = well131
STDEP  =  2500.0000    
ENDEP  =  3961.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
2500.0000    49.3702      23.8940      35.3715      48.7398      18.1736      137.5635     94.9994      0.0000       28.7315      0.0000       0.0000       
2500.1250    48.8928      23.8603      37.3832      48.3757      17.9834      160.9944     112.5730     0.0000       28.4926      0.0000       0.0000       
2500.2500    48.6075      23.7948      39.2697      48.1581      17.6158      139.2836     89.1163      0.0000       28.4506      0.0000       0.0000       
2500.3750    49.7634      23.7298      41.1562      49.0397      17.4130      116.2783     67.4831      0.0000       28.6054      0.0000       0.0000       
2500.5000    50.7271      23.6964      43.5464      49.7748      17.1975      99.4513      58.7525      0.0000       28.9572      0.0000       0.0000       
2500.6250    51.7388      23.6629      46.0622      50.5465      16.7162      81.3441      50.6158      0.0000       29.3878      0.0000       0.0000       
2500.7500    53.1351      23.5980      48.3264      51.6115      16.0577      63.0166      42.1998      0.0000       29.5819      0.0000       0.0000       
2500.8750    54.6271      23.5326      50.5909      52.7495      15.4753      55.1344      37.1888      0.0000       29.5399      0.0000       0.0000       
2501.0000    55.6386      23.4674      47.5622      53.5211      14.9054      50.2026      34.9057      0.0000       29.4194      0.0000       0.0000       
2501.1250    56.1218      23.4338      48.5657      53.8896      14.4904      47.4617      33.6226      0.0000       29.2197      0.0000       0.0000       
2501.2500    56.5570      23.4316      49.8225      54.2215      13.9555      44.5618      31.9389      0.0000       28.9807      0.0000       0.0000       
2501.3750    57.1842      23.3982      47.6759      54.7000      13.1579      41.6449      29.9904      0.0000       28.7420      0.0000       0.0000       
2501.5000    57.9555      23.3332      48.9314      55.2883      11.9302      38.4680      27.5106      0.0000       28.5030      0.0000       0.0000       
2501.6250    59.8315      23.2681      48.1715      56.7192      12.0308      35.2869      24.6067      0.0000       28.2640      0.0000       0.0000       
2501.7500    61.7554      23.2026      44.3866      58.1867      12.4730      32.4430      21.3903      0.0000       28.0646      0.0000       0.0000       
2501.8750    63.4872      23.1689      41.4838      59.5076      12.8520      29.2146      19.5654      0.0000       27.8650      0.0000       0.0000       
2502.0000    64.9310      23.1357      43.1175      60.6089      12.5983      30.4069      22.7755      0.0000       27.7049      0.0000       0.0000       
2502.1250    62.8202      23.1023      44.7519      58.9989      12.4333      38.4355      28.2929      0.0000       27.6234      0.0000       0.0000       
2502.2500    60.0375      23.1631      42.2272      56.8764      12.5590      49.9876      36.7982      0.0000       27.5420      0.0000       0.0000       
2502.3750    57.7829      23.2870      41.8449      55.1566      12.7485      61.5141      45.5428      0.0000       27.5393      0.0000       0.0000       
2502.5000    56.8732      23.4740      43.8570      54.4628      13.0135      69.9010      48.3615      0.0000       27.6155      0.0000       0.0000       
2502.6250    58.6529      23.6924      41.2051      55.8202      13.2028      76.3371      46.2663      0.0000       27.6917      0.0000       0.0000       
2502.7500    61.2009      23.8478      42.2103      57.7637      13.4679      78.6509      44.6618      0.0000       27.7679      0.0000       0.0000       
2502.8750    62.1585      23.9087      43.5927      58.4941      13.7330      79.5619      45.4948      0.0000       27.8441      0.0000       0.0000       
2503.0000    60.9663      23.9066      44.8487      57.5848      13.9222      83.9256      47.5508      0.0000       27.9593      0.0000       0.0000       
2503.1250    59.8166      23.8730      47.4901      56.7078      13.6809      86.8856      50.5052      0.0000       28.0748      0.0000       0.0000       
2503.2500    59.0991      23.7763      46.3525      56.1606      13.5921      87.6816      51.9236      0.0000       28.1511      0.0000       0.0000       
2503.3750    59.4860      23.6481      44.8360      56.4557      13.3764      83.3020      47.9723      0.0000       28.2272      0.0000       0.0000       
2503.5000    60.7980      23.5516      42.4373      57.4565      13.4138      76.9383      44.3124      0.0000       28.2247      0.0000       0.0000       
2503.6250    62.2285      23.5181      40.0386      58.5476      13.7295      69.9697      40.3635      0.0000       28.0251      0.0000       0.0000       
2503.7500    61.9641      23.5159      37.6395      58.3459      14.0071      65.6422      37.1912      0.0000       27.5893      0.0000       0.0000       
2503.8750    61.2257      23.5452      35.9970      57.7827      14.2091      63.0900      38.0264      0.0000       27.0353      0.0000       0.0000       
2504.0000    60.0759      23.5746      34.3545      56.9056      14.4489      78.8144      46.2020      0.0000       26.6389      0.0000       0.0000       
2504.1250    58.9263      23.5725      32.7124      56.0288      14.7519      91.5856      55.7880      0.0000       26.4395      0.0000       0.0000       
2504.2500    57.8531      23.5705      30.6901      55.2101      15.0802      107.5820     67.0815      0.0000       26.2793      0.0000       0.0000       
2504.3750    56.9635      23.6313      31.3176      54.5316      15.3075      128.6433     81.7008      0.0000       26.1585      0.0000       0.0000       
2504.5000    56.0544      23.6922      32.8257      53.8382      15.5348      153.9280     107.4483     0.0000       26.1953      0.0000       0.0000       
2504.6250    55.3846      23.7217      34.4597      53.3273      15.8378      181.9141     137.6553     0.0000       26.3501      0.0000       0.0000       
2504.7500    54.2838      23.7826      34.7079      52.4877      16.1281      209.0778     161.4484     0.0000       26.5838      0.0000       0.0000       
2504.8750    53.7100      23.8436      34.3256      52.0500      16.4311      234.2877     178.3835     0.0000       26.8174      0.0000       0.0000       
2505.0000    52.8491      23.8730      35.5816      51.3933      16.7090      266.8376     189.0073     0.0000       26.9329      0.0000       0.0000       
2505.1250    52.2756      23.8392      34.5692      50.9559      17.0499      273.6328     196.5965     0.0000       26.9697      0.0000       0.0000       
2505.2500    52.5186      23.7426      36.4553      51.1412      17.2772      278.1055     202.1358     0.0000       26.9278      0.0000       0.0000       
2505.3750    53.4339      23.6147      38.0893      51.8394      17.5045      291.9628     212.2205     0.0000       26.8071      0.0000       0.0000       
2505.5000    52.8121      23.5181      39.8494      51.3652      17.7694      283.2214     215.6631     0.0000       26.6469      0.0000       0.0000       
2505.6250    52.0470      23.5160      41.2318      50.7815      17.9587      265.9195     207.2446     0.0000       26.4474      0.0000       0.0000       
2505.7500    51.8579      23.6081      39.8413      50.6373      18.1226      265.8486     212.5953     0.0000       26.2083      0.0000       0.0000       
2505.8750    52.2929      23.7636      37.8207      50.9691      18.2487      281.0872     223.1948     0.0000       26.0086      0.0000       0.0000       
