层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	3647.5        	3762.5        	-             	180-23-78-255 
茅三段        	3762.5        	3788.5        	-             	227-77-38-255 
茅二段        	3788.5        	3946.5        	-             	238-165-0-255 
茅一段        	3946.5        	4047.5        	-             	177-181-0-255 
栖二段        	4047.5        	4070.0        	-             	0-146-94-255  
栖一段        	4070.0        	4174.0        	-             	0-117-142-255 
梁山组        	4174.0        	4185.5        	-             	0-84-155-255  
石炭系        	4185.5        	4224.0        	-             	103-60-138-255
