层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	3980.5        	4091.5        	-             	180-23-78-255 
茅三段        	4091.5        	4112.5        	-             	227-77-38-255 
茅二段        	4112.5        	4272.0        	-             	238-165-0-255 
茅一段        	4272.0        	4361.0        	-             	177-181-0-255 
栖二段        	4361.0        	4383.0        	-             	0-146-94-255  
栖一段        	4383.0        	4485.5        	-             	0-117-142-255 
梁山组        	4485.5        	4498.5        	-             	0-84-155-255  
石炭系        	4498.5        	4536.0        	-             	103-60-138-255
