层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	3254.5        	3366.0        	-             	180-23-78-255 
茅三段        	3366.0        	3382.0        	-             	227-77-38-255 
茅二段        	3382.0        	3549.5        	-             	238-165-0-255 
茅一段        	3549.5        	3647.5        	-             	177-181-0-255 
栖二段        	3647.5        	3668.5        	-             	0-146-94-255  
栖一段        	3668.5        	3772.5        	-             	0-117-142-255 
梁山组        	3772.5        	3786.0        	-             	0-84-155-255  
石炭系        	3786.0        	3815.5        	-             	103-60-138-255
