层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	4570.0        	4678.0        	-             	180-23-78-255 
茅三段        	4678.0        	4686.0        	-             	227-77-38-255 
茅二段        	4686.0        	4842.0        	-             	238-165-0-255 
茅一段        	4842.0        	4932.0        	-             	177-181-0-255 
栖二段        	4932.0        	4952.0        	-             	0-146-94-255  
栖一段        	4952.0        	5053.5        	-             	0-117-142-255 
梁山组        	5053.5        	5060.5        	-             	0-84-155-255  
石炭系        	5060.5        	5108.5        	-             	103-60-138-255
