层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	4578.5        	4689.5        	-             	180-23-78-255 
茅三段        	4689.5        	4729.5        	-             	227-77-38-255 
茅二段        	4729.5        	4862.5        	-             	238-165-0-255 
茅一段        	4862.5        	4950.0        	-             	177-181-0-255 
栖二段        	4950.0        	4971.5        	-             	0-146-94-255  
栖一段        	4971.5        	5070.5        	-             	0-117-142-255 
梁山组        	5070.5        	5078.5        	-             	0-84-155-255  
石炭系        	5078.5        	5112.5        	-             	103-60-138-255
