层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	3254.0        	3374.5        	-             	180-23-78-255 
茅三段        	3374.5        	3393.0        	-             	227-77-38-255 
茅二段        	3393.0        	3553.0        	-             	238-165-0-255 
茅一段        	3553.0        	3646.5        	-             	177-181-0-255 
栖二段        	3646.5        	3669.0        	-             	0-146-94-255  
栖一段        	3669.0        	3772.5        	-             	0-117-142-255 
梁山组        	3772.5        	3783.0        	-             	0-84-155-255  
石炭系        	3783.0        	3819.0        	-             	103-60-138-255
