层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	4215.0        	4328.0        	-             	180-23-78-255 
茅三段        	4328.0        	4332.0        	-             	227-77-38-255 
茅二段        	4332.0        	4498.0        	-             	238-165-0-255 
茅一段        	4498.0        	4590.5        	-             	177-181-0-255 
栖二段        	4590.5        	4612.0        	-             	0-146-94-255  
栖一段        	4612.0        	4718.0        	-             	0-117-142-255 
梁山组        	4718.0        	4728.0        	-             	0-84-155-255  
石炭系        	4728.0        	4767.5        	-             	103-60-138-255
