层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	3403.5        	3521.5        	-             	180-23-78-255 
茅三段        	3521.5        	3557.5        	-             	227-77-38-255 
茅二段        	3557.5        	3702.5        	-             	238-165-0-255 
茅一段        	3702.5        	3796.0        	-             	177-181-0-255 
栖二段        	3796.0        	3818.0        	-             	0-146-94-255  
栖一段        	3818.0        	3918.5        	-             	0-117-142-255 
梁山组        	3918.5        	3926.5        	-             	0-84-155-255  
石炭系        	3926.5        	3964.0        	-             	103-60-138-255
