层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	3539.5        	3652.5        	-             	180-23-78-255 
茅三段        	3652.5        	3664.5        	-             	227-77-38-255 
茅二段        	3664.5        	3852.5        	-             	238-165-0-255 
茅一段        	3852.5        	3948.0        	-             	177-181-0-255 
栖二段        	3948.0        	3971.0        	-             	0-146-94-255  
栖一段        	3971.0        	4079.5        	-             	0-117-142-255 
梁山组        	4079.5        	4093.5        	-             	0-84-155-255  
石炭系        	4093.5        	4126.0        	-             	103-60-138-255
