层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	3356.5        	3466.0        	-             	180-23-78-255 
茅三段        	3466.0        	3486.0        	-             	227-77-38-255 
茅二段        	3486.0        	3646.0        	-             	238-165-0-255 
茅一段        	3646.0        	3751.0        	-             	177-181-0-255 
栖二段        	3751.0        	3772.5        	-             	0-146-94-255  
栖一段        	3772.5        	3868.5        	-             	0-117-142-255 
梁山组        	3868.5        	3874.5        	-             	0-84-155-255  
石炭系        	3874.5        	3914.5        	-             	103-60-138-255
