层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	4096.0        	4213.5        	-             	180-23-78-255 
茅三段        	4213.5        	4234.0        	-             	227-77-38-255 
茅二段        	4234.0        	4386.5        	-             	238-165-0-255 
茅一段        	4386.5        	4481.0        	-             	177-181-0-255 
栖二段        	4481.0        	4502.0        	-             	0-146-94-255  
栖一段        	4502.0        	4604.0        	-             	0-117-142-255 
梁山组        	4604.0        	4616.0        	-             	0-84-155-255  
石炭系        	4616.0        	4652.0        	-             	103-60-138-255
