层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	3562.5        	3678.5        	-             	180-23-78-255 
茅三段        	3678.5        	3725.5        	-             	227-77-38-255 
茅二段        	3725.5        	3911.0        	-             	238-165-0-255 
茅一段        	3911.0        	4047.5        	-             	177-181-0-255 
栖二段        	4047.5        	4095.5        	-             	0-146-94-255  
栖一段        	4095.5        	4864.0        	-             	0-117-142-255 
梁山组        	4864.0        	4886.0        	-             	0-84-155-255  
石炭系        	4886.0        	4915.0        	-             	103-60-138-255
