层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	3923.0        	4031.5        	-             	180-23-78-255 
茅三段        	4031.5        	4063.0        	-             	227-77-38-255 
茅二段        	4063.0        	4209.0        	-             	238-165-0-255 
茅一段        	4209.0        	4299.0        	-             	177-181-0-255 
栖二段        	4299.0        	4320.0        	-             	0-146-94-255  
栖一段        	4320.0        	4416.0        	-             	0-117-142-255 
梁山组        	4416.0        	4425.0        	-             	0-84-155-255  
石炭系        	4425.0        	4453.0        	-             	103-60-138-255
