层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	3931.0        	4045.0        	-             	180-23-78-255 
茅三段        	4045.0        	4074.0        	-             	227-77-38-255 
茅二段        	4074.0        	4235.0        	-             	238-165-0-255 
茅一段        	4235.0        	4326.5        	-             	177-181-0-255 
栖二段        	4326.5        	4348.0        	-             	0-146-94-255  
栖一段        	4348.0        	4448.0        	-             	0-117-142-255 
梁山组        	4448.0        	4455.0        	-             	0-84-155-255  
石炭系        	4455.0        	4493.5        	-             	103-60-138-255
