层号          	起始深度      	终止深度      	注释          	颜色          
()            	(meter)       	(meter)       	()            	()            
龙潭组        	4042.0        	4160.0        	-             	180-23-78-255 
茅三段        	4160.0        	4184.0        	-             	227-77-38-255 
茅二段        	4184.0        	4349.0        	-             	238-165-0-255 
茅一段        	4349.0        	4440.0        	-             	177-181-0-255 
栖二段        	4440.0        	4463.0        	-             	0-146-94-255  
栖一段        	4463.0        	4566.5        	-             	0-117-142-255 
梁山组        	4566.5        	4573.5        	-             	0-84-155-255  
石炭系        	4573.5        	4617.5        	-             	103-60-138-255
